[0003.34-0008.14] 同学们好,欢迎大家来到我的计算机组成原理维克堂。
[0008.14-0016.14] 从本节课开始,我们要用几册的时间给同学们介绍主存系统优化的相关知识。
[0016.14-0024.26] 随着计算机技术的发展,主存的存取速度已经成为提升计算机系统性能的平静。
[0024.53-0033.93] 因此,如何提高主存的存取速度,以缓解主存与CPU速度不匹配的问题,是值得研究的。
[0033.93-0047.22] 提高主存的存取速度方法有,使用高速原价来提高主存的访问速度,通过存主器的并行工作来提高主存的访问速度。
[0047.99-0057.79] 本节课,以及后续几节课,我们会依次介绍三种存主器并行工作的方法,以提高主存的访问速度。
[0057.79-0066.29] 分别是,双端口存主器,单体多字存主器,多体交叉存主器。
[0066.29-0077.85] 本节课,我们介绍双端口存主器,双端口存主器是指,同一个存主器,具有两个相互独立的存主器端口。
[0078.21-0084.01] 每个端口,都具有自己独立的数据总线,地址总线,控制总线。
[0084.01-0091.46] 因此,每个端口可以独立的进行独写操作,为了方便同学们的理解。
[0091.46-0099.49] 我们假设有一个双盒的CPU,每个盒通过该存主器的一个端口,对其进行访问。
[0099.49-0109.42] 假设两个盒同时访问该存主器,当他们各自给出的,要访问的存主单元的地址不相同时,
[0109.42-0115.96] 二者可以同时进行独写操作,也就是并行独写。
[0115.96-0125.28] 当他们各自给出的,要访问的存主单元的地址相同时,则二者会产生独写冲突。
[0125.28-0132.05] 学习过操作系统课程的同学,对该问题是否似曾相识呢?
[0132.05-0139.04] 而本节课中,双端口存主器的独写冲突问题,又如何解决呢?
[0139.04-0146.04] 不难想到,可以为每个端口添加一个盲标制,即为BZ。
[0146.04-0153.39] 但有上华线表示,低电瓶有效,通过这种方法,就可解决独写冲突问题。
[0153.39-0160.68] 当冲突发生时,由判断逻辑决定哪个端口,优先进行独写操作,
[0160.68-0168.84] 而将另一个端口的BZ信号输出低电瓶,以延迟该端口对存主器的访问。
[0168.84-0176.32] 高优先端口独写操作完成号,被延迟端口的BZ信号输出高电瓶号,
[0176.32-0184.22] 该端口就可以对存主器进行访问了,由于冲突访问是不可避免的。
[0184.22-0189.22] 因此,双端口存主器的访问速度不可能提高一倍。
[0189.22-0203.66] 需要说明的是,双端口存主器,广泛应用于数字信号处理、图像处理、网络通信、实时控制系统、医学影像处理以及人工智能等领域,
[0203.66-0213.76] 以及高速并行独写能力、显著提升数据处理效率和系统性能,但PC中的内存并未使用。
[0213.76-0220.24] 好的,本节课到这里就结束了。同学们,我们下节课见。
