[0003.12-0007.44] 同学们好,欢迎大家来到我的计算机组成原理维克堂
[0007.44-0011.04] 在前几次课中,我们分别给同学们介绍了
[0011.04-0014.76] 开始主存系统中地址应设的三种方式
[0014.76-0017.44] 一种是直接硬设方式
[0017.44-0020.93] 另一种是全相连硬设方式
[0020.93-0025.39] 直接硬设方式的开始命中率低,查照成本低
[0025.39-0030.24] 全相连硬设方式的命中率高,但查照成本也高
[0030.24-0033.12] 这两种方式的优缺点正好互补
[0033.28-0036.56] 将二者结合起来,可以取传补短
[0036.56-0040.24] 即提高命中率,又降低查照成本
[0040.24-0044.38] 这样就产生了组相连硬设方式
[0044.38-0049.01] 三节课是有关这三种地址硬设方式的集体课
[0049.01-0053.81] 以便加深同学们对这三种地址硬设方式的理解和记忆
[0053.81-0058.29] 在进行立体解析和408整体挑战之前
[0058.29-0062.29] 我们首先对这三种地址硬设方式进行比较
[0062.78-0065.10] 通过之前的学习,我们知道
[0065.10-0067.26] 这三种地址硬设方式下
[0067.26-0071.82] 一个主存数据块对应的开长的数量是不同的
[0071.82-0074.19] 请同学们回忆一下
[0074.19-0075.79] 直接硬设方式下
[0075.79-0079.87] 一个主存数据块对应的开长的数量是多少呢?
[0079.87-0087.60] 答案是一个主存数据块只对应一个固定的开长
[0087.60-0090.62] 那么全相连硬设方式下
[0090.62-0094.38] 一个主存数据块对应的开长的数量是多少呢?
[0094.54-0102.72] 答案是一个主存数据块可对应任何一个开长
[0102.72-0105.20] 那么组相连硬设方式下
[0105.20-0111.33] 一个主存数据块对应的开长的数量是多少呢?
[0111.33-0115.97] 答案是一个主存数据块可对应K个开长
[0115.97-0119.65] K为每个开始组所包含开长的数量
[0119.65-0122.45] 成为K路组相连
[0122.45-0125.97] 我们将一个主存数据块对应的开长的数量
[0125.97-0127.86] 成为关联度
[0127.94-0129.14] 组上所说
[0129.14-0131.78] 直接硬设方式的关联度为1
[0131.78-0136.40] 全相连硬设方式的关联度为开始的总航数
[0136.40-0140.08] K路组相连硬设方式的关联度为K
[0140.08-0143.44] 关联度与命中率命中时间
[0143.44-0146.56] 开始航中标记太个所占的空间
[0146.56-0152.16] 也就是开始航的额外存储开销的关系如下
[0152.16-0155.12] 关联度越低命中率越低
[0155.12-0158.56] 因此直接硬设方式的命中率最低
[0158.64-0162.06] 全相连硬设方式的命中率最高
[0162.06-0166.30] 关联度越低判断是否命中的开销越小
[0166.30-0168.22] 命中时间越短
[0168.22-0171.90] 因此直接硬设方式的命中时间最短
[0171.90-0175.28] 全相连硬设的命中时间最长
[0175.28-0176.64] 关联度越低
[0176.64-0180.00] 开始航中标记太个所占的空间越少
[0180.00-0184.16] 因此直接硬设方式的额外空间开销最小
[0184.16-0187.52] 全相连硬设方式的额外空间开销最大
[0187.60-0190.48] 不理解这一点的同学不用纠结
[0190.48-0193.26] 稍后我们会进行解释
[0193.26-0194.94] 请同学们注意
[0194.94-0197.26] 上述关系的前提条件是
[0197.26-0198.86] 开始容量相同
[0198.86-0201.30] 组存数据块大小相同
[0201.30-0203.62] 接下来我们来对比一下
[0203.62-0205.86] 这三种地址硬设方式下
[0205.86-0208.54] 信息的组存地址的划分
[0208.54-0210.46] 从该图不难看出
[0210.46-0214.13] s大于r大于g
[0214.13-0217.81] 当开始组锁硬部分的位宽g等于0时
[0217.89-0221.33] 相当于整个开始只划分为1组
[0221.33-0224.78] 组相连硬设变成了全相连硬设
[0224.78-0227.42] 当开始组锁硬部分的位宽g
[0227.42-0229.34] 却最大只r时
[0229.34-0233.42] 相当于每个开始组只包含一个开始航
[0233.42-0237.06] 组相连硬设变成了直接硬设
[0237.06-0241.66] 这是开始内每个开始航所包含的内容
[0241.66-0243.74] 这是其中的标记太个
[0243.74-0245.98] 对应三种地址硬设方式下
[0246.06-0248.75] 主存地址中的不同部分
[0248.75-0250.91] 之前我们曾总结过
[0250.91-0254.99] 关联度与开始航中标记太个所占的空间
[0254.99-0258.67] 也就是开始航的额外存储开销的关系
[0258.67-0260.91] 那就是关联度越低
[0260.91-0264.14] 开始航中标记太个所占空间越少
[0264.14-0267.90] 该图就很好的展示出了上述关系
[0267.90-0271.10] 直接硬设方式的额外空间开销最小
[0271.10-0273.26] 因为其关联度唯一
[0273.34-0276.46] 全相连硬设方式的额外空间开销最大
[0276.46-0278.14] 因为其关联度唯
[0278.14-0281.34] 开始内开始航的总数量
[0281.34-0284.54] 另外需要提醒同学们注意的是
[0284.54-0287.98] 尽管直接硬设方式和组相连硬设方式下的
[0287.98-0291.74] 主存地址都包含有主存分区部分
[0291.74-0295.31] 但他们的划分依据是不同的
[0295.31-0297.39] 在我们复习并对比了
[0297.39-0301.07] 开始主存系统中的三种地址硬设方式后
[0301.15-0305.90] 我们进入立体解析和408考研真体挑战部分
[0305.90-0309.58] 首先我们给同学们讲解这道立体
[0309.58-0315.39] 稍后会请同学们自行挑战类似的408考研真体
[0315.39-0319.39] 请同学们暂停播放视频认真审题
[0319.39-0321.47] 之后我们进行解析
[0321.47-0330.29] 我们来一起分析一下
[0330.29-0331.41] 题目给定
[0331.41-0332.69] 关联度唯一
[0332.69-0335.20] 这表明是直接硬设
[0335.20-0336.96] 这是直接硬设方式下
[0336.96-0338.83] 主存地址的构成
[0338.83-0339.87] 题目给定
[0339.87-0342.03] 主存地址为32位
[0342.03-0343.23] 如读所示
[0343.23-0347.28] 这是将主存划分成若干个等长的数据化
[0347.28-0348.40] 题目给定
[0348.40-0351.28] 主存数据化的大小为16字节
[0351.28-0352.56] 如读所示
[0352.56-0355.68] 这是包含若干个开场的开始
[0355.68-0356.80] 题目给定
[0356.80-0360.24] 开始数据虚大小为64k字节
[0360.24-0361.28] 我们知道
[0361.28-0365.36] 每个开场和存储一个主存数据化的副本
[0365.36-0366.24] 因此
[0366.24-0367.60] 我们可以计算出
[0367.60-0370.64] 该开始所包含开场的数量
[0370.64-0373.68] 用开始数据虚大小64k字节
[0373.68-0377.52] 除以一个主存数据化的大小16字节
[0377.52-0379.92] 结果为2的12次方
[0379.92-0381.04] 也就是说
[0381.04-0385.28] 该开始中包含有2的12次方个开场
[0385.28-0386.48] 开场的编号
[0386.48-0389.71] 从0到2的12次方减1
[0389.79-0390.43] 对啊
[0390.43-0391.63] 我们就得出了
[0391.63-0392.75] 主存地址中
[0392.75-0396.11] 开始行所应部分所占的位数为12
[0396.11-0398.43] 因为12个二经之位
[0398.43-0400.83] 可有2的12次方个组合
[0400.83-0404.62] 每个组合作为一个开场的编号
[0404.62-0405.82] 主存地址中
[0405.82-0408.30] 划内偏一部分所占的位数
[0408.30-0412.06] 可由主存数据化的大小16字节推出
[0412.06-0414.78] 将其写成2的四次方个字节
[0414.78-0416.30] 并且题目给定
[0416.30-0418.46] 主存按字节编制
[0418.46-0420.06] 因此可推出
[0420.06-0423.26] 划内偏一部分所占的位数为4
[0423.26-0426.90] 我们将其标记在上图中
[0426.90-0428.10] 不难看出
[0428.10-0429.30] 主存地址中
[0429.30-0432.10] 主存分区号部分所占的位数为
[0432.10-0434.50] 主存地址总位数32
[0434.50-0436.26] 简确主存地址中
[0436.26-0439.38] 开始行所应部分所占的位数12
[0439.38-0440.34] 再简确
[0440.34-0441.46] 主存地址中
[0441.46-0444.02] 划内偏一部分所占的位数4
[0444.02-0445.54] 结果为16
[0445.54-0449.58] 我们将其标记在上图中
[0449.58-0450.94] 因此可知
[0450.94-0455.34] 主存被划分成了2的16四方个分区
[0455.34-0459.18] 分区编号从0到2的16四方简移
[0459.18-0461.86] 如同所示
[0461.86-0462.90] 我们知道
[0462.90-0464.74] 在直接硬设方式中
[0464.74-0467.78] 每个分区中所包含的数据块数量
[0467.78-0468.82] 以开始中
[0468.82-0471.38] 开始行的数量是相同的
[0471.38-0472.66] 在本例中
[0472.66-0473.78] 每个分区中
[0473.78-0476.10] 包含有0到4095号
[0476.10-0478.50] 共4096个数据块
[0478.50-0482.02] 这正好与开始中的2的12四方个
[0482.26-0484.82] 也就是4096个开始行
[0484.82-0486.46] 11对应
[0486.46-0487.34] 例如
[0487.34-0488.78] 这是分区0中
[0488.78-0492.70] 各数据块与各开始行的对应关系
[0492.70-0493.90] 这是分区1中
[0493.90-0497.76] 各数据块与各开始行的对应关系
[0497.76-0499.36] 这是最后一个分区中
[0499.36-0503.52] 各数据块与各开始行的对应关系
[0503.52-0505.92] 再来看全相连硬设方式下
[0505.92-0508.59] 主存地址的构成细节
[0508.59-0510.59] 这是全相连硬设方式下
[0510.59-0512.64] 主存地址的构成
[0512.72-0514.72] 主存地址为32位
[0514.72-0516.64] 这是题目给定的
[0516.64-0517.68] 主存地址中
[0517.68-0520.24] 框内偏一部分所占的位数为4
[0520.24-0522.72] 这是之前已经分析过的
[0522.72-0523.92] 不难看出
[0523.92-0525.04] 主存地址中
[0525.04-0526.72] 主存数据块地址部分
[0526.72-0528.16] 所占位数为
[0528.16-0530.40] 主存地址总位数32
[0530.40-0531.20] 简确
[0531.20-0532.24] 主存地址中
[0532.24-0534.72] 框内偏一部分所占的位数4
[0534.72-0536.56] 结果为28
[0536.56-0540.19] 我们将其标记在上图中
[0540.19-0541.47] 因此可知
[0541.47-0545.71] 主存中包含有2-28四方个数据块
[0545.71-0549.07] 编号从明到2-28四方简一
[0549.07-0552.08] 如读所示
[0552.08-0553.12] 我们知道
[0553.12-0555.44] 在全相连硬设方式中
[0555.44-0559.52] 每个主存数据块可对应任何一个开始行
[0559.52-0560.24] 例如
[0560.24-0561.60] 主存数据块0
[0561.60-0564.03] 可对应任何一个开始行
[0564.03-0565.79] 最后一个主存数据块
[0565.79-0569.06] 也可对应任何一个开始行
[0569.06-0571.06] 再来看关联度为20
[0571.14-0573.84] 主存地址的构成细节
