[0004.62-0009.02] 同學們好,歡迎大家來到我的計算機組成原理維克堂
[0009.02-0012.54] 在上一課中,我們首先給同學們介紹了
[0012.54-0015.02] 現代持續應不先控制器的組成
[0015.02-0017.50] 之後,我們給同學們介紹了
[0017.50-0020.94] 現代持續應不先控制器的一般設計流程
[0021.01-0025.01] 從應不先控制器的組成和設計流程可以看出
[0025.01-0029.41] 其執行速度較快,但其內部結構相對複雜
[0029.41-0031.81] 設計和修改較為困難
[0031.97-0035.65] 尤其難以適應複雜指令級處理器的需求
[0035.65-0039.25] 目前,經典指令級處理器,例如ARM
[0039.25-0041.49] 普遍採用應不先控制器
[0041.90-0046.06] 為了追求更高的設計靈活性與可維護性
[0046.06-0048.78] 微程序控制器因人而生
[0048.88-0051.36] 因此,從本節課開始
[0051.36-0053.20] 我們要用幾次的時間
[0053.20-0056.64] 給同學們介紹微程序控制器的相關知識
[0056.64-0061.15] 本節課,我們介紹微程序控制器的相關基本概念
[0061.31-0064.67] 包括微程序控制器的核心思想
[0064.67-0067.07] 微命令和微操作
[0067.07-0069.57] 微指令和微程序
[0069.57-0071.63] 微指令週期
[0071.92-0074.88] 首先來看微程序控制的核心思想
[0074.88-0078.19] 那就是模仿程序設計的方式
[0078.19-0082.51] 將指令集中每一條指令執行所需要的相關控制信號
[0082.51-0085.79] 按照某種規則編碼成微指令
[0085.79-0089.02] 然後就可以使用相關的微指令
[0089.02-0092.30] 為每一條指令編寫相應的微程序
[0092.38-0094.46] 以實現指令功能
[0094.46-0098.66] 因此,微程序是由若干微指令構成的
[0098.66-0100.66] 將每一條指令的微程序
[0100.66-0104.10] 全部存放在一個指讀存儲器ROM中
[0104.10-0106.50] 這種存儲器位於CPU中
[0106.50-0108.59] 稱為控制存儲器
[0108.59-0112.83] 接下來,我們舉例說明微程序控制的核心思想
[0112.83-0114.03] 如讀所示
[0114.03-0116.03] 這是密普斯32指令集中
[0116.03-0118.19] LW指令的指令週期中
[0118.19-0120.75] 各時鐘週期所執行的操作
[0120.75-0123.47] 及其所需的相關控制信號
[0123.47-0125.23] 我們從之前的
[0125.23-0127.39] 有關數據通路的納捷克開始
[0127.39-0130.27] 就經常使用這幅圖來舉例
[0130.27-0132.90] 相信同學們對其並不陌生
[0132.90-0134.90] 我們可將這組控制信號
[0134.90-0138.02] 按某種規則編碼成微指令
[0138.02-0139.70] 將這組控制信號
[0139.70-0142.82] 按某種規則編碼成另一條微指令
[0142.82-0145.79] 以此類推就不再增數了
[0145.79-0150.19] 而這些微指令就構成了LW指令的微程序
[0150.27-0153.23] 用以實現LW指令的指令功能
[0153.23-0154.35] 如讀所示
[0154.35-0156.99] 這是CPU內部的控制存儲器
[0156.99-0158.83] 用於存儲指令集中
[0158.83-0161.58] 每條指令相應的微程序
[0161.58-0165.18] 通過微程序控制的核心思想可以看出
[0165.18-0166.94] 相較於應不限控制器
[0166.94-0168.38] 採用硬件實序
[0168.38-0171.34] 對控制信號進行定時控制
[0171.34-0172.54] 微程序控制器
[0172.54-0174.14] 採用軟件實序
[0174.14-0177.22] 對控制信號進行定時控制
[0177.22-0179.62] 簡化了複雜的控制邏輯
[0179.62-0183.14] 提高了設計的靈活性和可維護性
[0183.14-0187.46] 在同學們理解了微程序控制的核心思想後
[0187.46-0191.14] 我們來看微命令和微操作的概念
[0191.14-0192.50] 我們將控制部件
[0192.50-0195.22] 向執行部件發送的各種控制信號
[0195.22-0197.15] 稱為微命令
[0197.15-0198.99] 執行部件收到微命令後
[0198.99-0202.46] 執行相應的操作稱為微操作
[0202.46-0207.25] 例如PCOUT控制信號就屬於微命令
[0207.25-0209.81] 實際上在我們之前多次課中
[0209.89-0211.49] 經常使用的這幅
[0211.49-0214.85] 基於CPU內部單總線數據通路的圖中
[0214.85-0217.84] 就包含有大量的操作控制點
[0217.84-0220.24] 從微程序控制的思想來看
[0220.24-0221.84] 這些操作控制點
[0221.84-0225.12] 收到由控制器產生的各種控制信號
[0225.12-0227.46] 就屬於微命令
[0227.46-0228.90] 收到微命令後
[0228.90-0233.09] 相關執行部件會執行相應的微操作
[0233.09-0236.77] 例如指令具存器IR的相關操作控制點
[0236.77-0239.01] 收到IR-IN微命令時
[0239.09-0241.25] 就要執行相應的微操作
[0241.25-0244.45] 那就是將單總線上傳來的數據
[0244.45-0246.83] 顯入指令具存器
[0246.83-0248.11] 綜上所說
[0248.11-0252.32] 微操作是執行部件的最基本操作
[0252.32-0255.60] 為了對數據通路及各功能部件的使用
[0255.60-0257.12] 不產生衝突
[0257.12-0261.58] 微操作可分為相容性和護士性兩種
