[0003.79-0007.79] 同学们好,欢迎大家来到我的计算机组成员里维克堂
[0007.79-0011.47] 在上几课中,我们对IO控制方式进行了概述
[0011.47-0016.59] 本节课,我们给同学们介绍IO控制方式中的程序直接控制方式
[0016.59-0019.15] 也就是程序查询方式
[0019.15-0021.87] 这种IO控制方式的基本思想是
[0021.87-0026.83] CPU通过执行一段IO程序来实现与IO设备的数据交换
[0026.83-0030.67] 这是最原始最简单的IO控制方式
[0030.83-0036.83] 这种IO控制方式又可进一步分为程序查询方式和直接传送方式
[0036.83-0040.83] 其中程序查询方式也称为轮旋方式
[0040.83-0044.03] 在这种方式下,每次数据传送前
[0044.03-0047.23] CPU必须主动查询IO设备状态
[0047.23-0050.27] 在IO设备就序后才能进行操作
[0050.27-0052.67] 属于有条件传送方式
[0052.67-0056.82] IO程序通过与IO接口中的命令计准器DCR
[0056.82-0058.66] 状态计准器DSR
[0058.74-0062.26] 以及数据缓冲计准器DBR进行数据交互
[0062.26-0064.82] 来实现设备控制和传输
[0064.82-0066.26] 请同学们注意
[0066.26-0069.94] 上述个计准器的位宽、数目以及功能定义
[0069.94-0072.26] 因设备和厂商而异
[0072.26-0075.62] 编写驱动程序时必须遵循具体约定
[0075.62-0077.22] 不同类型的IO设备
[0077.22-0080.32] 其程序查询的流程有所不同
[0080.32-0082.08] 对于直接传送方式
[0082.08-0084.40] 则无需查询IO设备状态
[0084.40-0086.24] 直接进行数据交互
[0086.24-0088.64] 属于无条件传送方式
[0088.72-0091.68] 可将其看作是程序查询方式的测例
[0091.68-0094.24] 一般适用于非常简单的IO设备
[0094.24-0096.96] 例如开关、LED显示
[0096.96-0098.62] 就不再介绍了
[0098.62-0102.22] 接下来我们来举例说明程序查询方式
[0102.22-0105.26] 例如对于键盘这种简单的数据设备
[0105.26-0107.74] 其没有命令计准器DCR
[0107.74-0109.26] 当按下按键时
[0109.26-0112.22] 键盘控制器将被按下按键的键值
[0112.22-0113.82] 也就是ASCMA
[0113.82-0117.34] 存放在键盘的数据缓冲计准器DBR中
[0117.42-0120.70] 同时将键盘的状态计准器DCR中的
[0120.70-0122.70] Ready标志位置为1
[0122.70-0125.33] 表示当前有按键数据
[0125.33-0128.53] 当CPU需要从键盘获取按键数据时
[0128.53-0132.13] 则通过总线读取状态计准器DCR
[0132.13-0135.17] 以便查询DCR中的Ready标志位
[0135.17-0138.61] 若为0则继续查询直至该位为1
[0138.61-0143.73] 若为1则通过总线读取数据缓冲计准器DBR中的键值
[0143.73-0144.93] 完成操作后
[0144.93-0148.06] DCR中的Ready标志位自动清理
[0148.06-0150.14] 我们给出本利的流程图
[0150.14-0153.70] 相信同学们都能看懂就不再追数了
[0153.70-0155.06] 需要说明的是
[0155.06-0157.54] 如果需要连续获取多个按键
[0157.54-0161.44] 则需要给上属流程加上循环控制
[0161.44-0165.44] 接下来给出的是本利相应的MIPS会边程序
[0165.44-0169.20] 其中所涉及到的IO接口的统一编织方式
[0169.20-0172.24] 也就是使用仿存指令访问IO设备
[0172.32-0175.76] 我们在上上次课中已经给同学们介绍过了
[0175.76-0176.48] 因此
[0176.48-0179.52] 接下来请同学们暂停播放视频
[0179.52-0183.36] 根据这段MIPS会边程序的代码注释进行理解
[0183.36-0189.44] 我们就不再追数了
[0189.44-0192.96] 我们再给出本利相应的X86会边程序
[0192.96-0196.64] 其中所涉及到的IO接口的独立编织方式
[0196.64-0199.92] 也就是使用专用IO指令访问IO设备
[0199.92-0203.60] 我们在上上次课中也已经给同学们介绍过了
[0203.60-0204.32] 因此
[0204.40-0207.36] 接下来请同学们暂停播放视频
[0207.36-0211.12] 根据这段X86会边程序的代码注释进行理解
[0211.12-0218.27] 就不再追数了
[0218.27-0218.91] 好的
[0218.91-0221.63] 本利实际上给出的是输入设备
[0221.63-0222.35] 接下来
[0222.35-0224.67] 我们再来看一个输出设备的例子
[0224.67-0228.59] 例如对于自负显示中端这种简单的输出设备
[0228.59-0231.23] 其没有命令计存器DCR
[0231.23-0234.67] 当CPU需要输出自负到自负显示中端时
[0234.67-0239.47] 则通过总线读取自负显示中端的状态计存器DSR
[0239.47-0242.35] 以便查询DSR中的Ready标志位
[0242.35-0247.15] 若为1表示自负显示中端可以接收CPU的自负数据
[0247.15-0253.39] 此时CPU将自负数据写入自负显示中端的数据缓冲计存器DBR
[0253.39-0256.83] 若为0表示自负显示中端尚未就绪
[0256.83-0259.87] 则继续查询直至该位为1
[0259.87-0263.55] 当自负显示中端接收到来自CPU的自负数据号
[0263.55-0265.31] 执行以下操作
[0265.39-0268.91] 1 立即将DSR中的Ready标志位清零
[0268.91-0270.59] 也就是复位
[0270.59-0273.14] 2 进行显示处理
[0273.14-0276.90] 3 重新将DSR中的Ready标志位置1
[0276.90-0280.03] 表示可以接收新的自负数据
[0280.03-0282.19] 我们给出本例的流程图
[0282.19-0285.82] 相信同学们都能看懂就不再追数了
[0285.82-0287.26] 需要说明的是
[0287.26-0289.66] 如果需要连续输出多个自负
[0289.66-0293.30] 则需要给上述流程加上循环控制
[0293.30-0297.14] 接下来给出的是本例相应的MIPS挥边程序
[0297.14-0299.46] 请同学们暂停播放视频
[0299.46-0302.98] 根据这段MIPS挥边程序的代码注释进行理解
[0302.98-0308.88] 就不再追数了
[0308.88-0312.08] 我们再给出本例相应的X86挥边程序
[0312.08-0314.32] 请同学们暂停播放视频
[0314.32-0317.92] 根据这段X86挥边程序的代码注释进行理解
[0317.92-0319.44] 就不再追数了
[0324.78-0325.58] 好的
[0325.58-0328.22] 对于我们之前刚刚取过的这两个例子
[0328.22-0332.30] 如果将键盘程序和自负显示中端程序串接起来
[0332.46-0334.06] 加上循环控制后
[0334.06-0338.27] 还可以实现键盘输入回显功能
[0338.27-0339.63] 需要说明的是
[0339.63-0343.31] 上述两个例子中的键盘设备和自负显示中端设备
[0343.31-0345.55] 都属于典型的自负设备
