[0003.86-0007.86] 同学们好,欢迎大家来到我的计算机组成员里威克唐
[0007.86-0011.06] 从本节课开始,我们进入第八章的学习
[0011.06-0013.86] 第八章的内容是输入输出系统
[0013.86-0017.46] 本节课我们对输入输出系统进行概述
[0017.46-0020.66] 主要包含作用和构成两个方面
[0020.66-0024.66] 输入输出系统主要用于CPU与外部设备之间
[0024.66-0027.86] 外部设备与主存之间的信息交换
[0027.86-0032.46] 需要说明的是,输入输出系统可简称为IO系统
[0032.46-0035.66] 外部设备可简称为IO设备
[0035.66-0041.05] IO系统由IO硬价系统和IO软件系统两部分构成
[0041.05-0049.05] 其中,IO硬价系统主要包括IO设备、IO接口、IO管理部价以及总线等
[0049.05-0055.58] IO软件系统主要包括驱动程序、软件访问接口、用户程序等
[0055.58-0059.58] 在本章中,我们给同学们主要介绍一下内容
[0059.58-0062.76] IO设备的功能及其特性
[0062.96-0067.36] IO接口的功能,结构、编织、软件、分类
[0067.36-0072.21] CPU与IO设备进行信息交换的常见控制方式
[0072.21-0076.81] 例如,程序控制方式、程序中段控制方式
[0076.81-0079.01] 直接存储器访问方式等
[0079.01-0084.39] 常见IO设备,例如,硬盘存储器,磁盘阵列等
[0084.39-0088.10] 好的,本节课到这里就结束了
[0088.10-0090.50] 同学们,我们下节课见
