[0004.69-0008.79] 同學們好,歡迎大家來到我的計算機組成原理威克堂
[0008.79-0012.19] 在之前的幾次課中,我們給同學們介紹了
[0012.19-0016.59] 基於CPU內部單總線結構的數據通路的相關知識
[0016.59-0020.19] 當時,為了將重點放在數據通路上
[0020.19-0024.39] 我們請簡單介紹了CPU內部的控制器的作用
[0024.39-0027.69] 那就是產生操作控制信號序列
[0027.69-0030.89] 以控制對CPU內部單總線的使用
[0030.89-0034.88] 例如,這是取指週期的第一個節拍
[0034.88-0038.48] 數據通路中相關部件所要執行的操作
[0038.67-0042.39] 這是所需的相關操作控制信號
[0042.39-0045.49] 那麼,我們當時僅簡單介紹了
[0045.49-0049.89] 這些操作控制信號是由CPU內部的控制器產生的
[0049.89-0053.79] 但並沒有進一步介紹它們是如何產生的
[0053.79-0059.08] 我們當時將重點放在了指令、數據或運算結果等
[0059.18-0062.38] 是如何在相應操作控制信號的控制下
[0062.38-0065.87] 基於CPU內部單總線進行傳送的
[0065.87-0067.87] 那麼,從本節課開始呢
[0067.87-0072.77] 我們將重點從數據通路轉移到CPU內部的控制器
[0072.77-0076.36] 因為它是CPU的重要組成部分
[0076.36-0081.79] 從該圖可以看出,控制器有多個輸入源
[0081.79-0085.82] 其中,CPU時鐘是最基本的輸入源
[0085.82-0089.58] 控制器何時產生操作控制信號
[0089.68-0092.78] 這些操作控制信號持續多長時間
[0092.78-0095.68] 都取決於CPU的時序
[0095.68-0101.36] 因此,本節課我們介紹CPU的時序及其控制方式
[0101.36-0107.68] 早期計算機才用三級時序對操作控制信號進行定時控制
[0107.68-0109.98] 這三級時序分別是
[0109.98-0115.76] 狀態週期、節拍電位、節拍賣充
[0115.76-0120.06] 狀態週期是完成一個基本操作的時間單元
[0120.16-0123.26] 例如,指令週期中的渠治週期
[0123.26-0127.42] 是完成渠治令這個基本操作的時間單元
[0127.42-0129.52] 指令週期中的計算週期
[0129.52-0135.11] 是完成計算操作數有下地址這個基本操作的時間單元
[0135.11-0137.21] 指令週期中的執行週期
[0137.21-0141.73] 是完成指定執行這個基本操作的時間單元
[0141.73-0144.83] 從上所述,在三級時序中
[0144.83-0148.03] 渠治週期、計算週期、執行週期
[0148.03-0150.98] 屬於不同的狀態週期
[0151.08-0156.18] 節拍電位是由狀態週期劃分出的若干個操作階段
[0156.18-0159.38] 例如,將程序技術器PC的內容
[0159.38-0163.90] 送入若存儲器、地址基存器、MAR的操作階段
[0163.90-0167.70] 節拍賣充是節拍電位內的同步信號
[0167.70-0170.20] 用於觸發具體的微操作
[0170.20-0173.42] 例如,基存器的寫操作
[0173.42-0177.92] 如果有些同學一時沒有理解上述三級時序的劃分
[0177.92-0181.52] 不用糾結,我們稍後會給出相關舉例
[0181.52-0183.88] 以幫助同學們進行理解
[0183.88-0188.58] 如同所示,這是我們之前在有關數據通路的那節課中
[0188.58-0194.24] 給同學們介紹過的Mips32中的LW指定的指定週期劃分
[0194.24-0199.24] 在三級時序中,渠治週期、計算週期、執行週期
[0199.24-0201.30] 都可稱為狀態週期
[0201.30-0205.50] 而各狀態週期所包含的若干個操作階段
[0205.50-0208.30] 就是三級時期中的節拍電位
[0208.50-0210.30] 需要說明的是
[0210.40-0211.90] 為了簡單起見
[0211.90-0215.60] 當時並未給同學們介紹三級時序的概念
[0215.60-0220.40] 而是以CPU的時鐘脈衝作為三級時序中的節拍脈衝
[0220.40-0223.92] 並且沒有提出節拍電位的概念
[0223.92-0228.12] 經過本節課前半部分我們對三級時序的介紹
[0228.12-0231.88] 同學們應該對三級時序有了初步認識
[0231.88-0233.38] 那麼接下來呢
[0233.38-0236.28] 我們給出一個三級時序的時序圖
[0236.28-0240.21] 進一步幫助同學們理解三級時序的相關概念
[0240.51-0241.71] 如讀所示
[0241.71-0244.71] 這是某個三級時期系統的示意圖
