[0003.54-0007.88] 同学们好,欢迎大家来到我的计算机组成员里威克唐。
[0007.88-0013.22] 本节课是有关主存的扩展及其与CPU连接的齐提课。
[0013.22-0023.78] 经过前几次课的学习,我们知道,主存的扩展包括,未扩展、自扩展、自位同时扩展,共三种方式。
[0023.78-0032.86] 未扩展是当存主芯片的数据总线未宽,小于CPU数据总线未宽时应当采用的扩展方式。
[0033.15-0036.27] 这是我们当时给出的未扩展的例子。
[0036.27-0046.02] 自扩展是当存主芯片的存储容量不能满足存储器对存储容量的需求时应当采用的扩展方式。
[0046.02-0049.54] 这是我们当时给出的自扩展的例子。
[0049.54-0062.30] 自位同时扩展是当存储芯片的数据未宽和存储容量均不能满足存储器的数据未宽和存储总容量时应当采用的扩展方式。
[0063.01-0066.61] 这是我们当时给出的自位同时扩展的例子。
[0066.61-0078.53] 需要说明的是,CPU中存主芯地址计存器MAR的位数与地址总线的位宽是相等的,决定了可寻止空间的大小。
[0078.53-0084.99] 而存主芯数据计存器MDR的位宽与数据总线的位宽是相等的。
[0084.99-0090.56] 因此,我们可以画出CPU与主存连接的原理图。
[0091.04-0101.73] 这是CPU,这是主存,将代访问主存中存储单元的地址送入存主器地址计存器MAR中。
[0101.73-0116.05] 进而可以通过地址总线传送给主存,将代写入主存的数据送入存主器数据计存器MDR中,进而可以通过数据总线传送给主存。
[0116.43-0122.99] 当然了,从主存读取的数据,也是通过数据总线传送给MDR的。
[0122.99-0134.22] 要实现CPU对主存的访问,除地址总线和数据总线外,CPU还要通过控制总线对主存进行相关控制。
[0134.35-0146.13] 例如,存主器请求控制,读写控制,请同行注意,主存一般由ROM和RAM两部分构成,
[0146.29-0148.21] 他们是统一编织的。
[0148.21-0160.21] 好的,在我们复习了以上有关主存的扩展及其与CPU连接的相关支持后,我们来一起练习几个相关的408考研整体。
[0160.21-0170.24] 首先来做2009年的提示5,请同学们暂停播放视频,动手练习一下,然后给出你的答案。
[0170.24-0179.50] 本题的答案是选项D,大家都选对了吗?
[0179.50-0186.26] 我们来一起分析一下,这是题目给定的主存空间,按字节编制。
[0186.26-0197.63] 题目给定,主存容量为64K字节,其中ROM区为4K字节,因此剩余60K字节为RAM区。
[0198.11-0211.62] 这是题目给定的容量为2K×8位的ROM芯片,因此其数据总线位宽为8位,与主存的数据总线位宽相同,无需进行未扩展。
[0211.62-0224.27] 但是,题目要求ROM区的容量为4K字节,因此我们需要使用两片这样的ROM芯片进行自扩展,以满足ROM区的容量需求。
[0225.54-0246.90] 这是题目给定的容量为4K×4位的ROM芯片,因此其数据总线位宽为4位,由于主存的数据总线位宽为8位,因此我们需要使用两片这样的ROM芯片进行未扩展,以满足主存的数据总线的位宽要求。
[0247.47-0269.22] 由两片这样的ROM芯片进行未扩展后形成的ROM芯片组,其容量为4K×8位,而题目要求ROM区的容量为60K字节,因此我们需要使用15组这样的ROM芯片组进行自扩展,以满足ROM区的容量需求。
[0269.98-0293.63] 因此,需要题目给定的4K×4位的ROM芯片的数量,总线位2×15等于30,总上所说,本题的答案是选项D,再来做2010年的题15,请同学们暂停播放视频,动手练习一下,然后给出你的答案。
[0293.63-0329.97] 这个答案是选项D,大家都选对了吗?我们来一起分析一下,这是题目给定的2K×4位的存储芯片,题目要求才用这种存储芯片组成一个8K×8位的存储器,不难看出,一片该存储芯片,其数据总线位宽和存储容量都无法满足所要构建的存储器的要求,因此需要使用字位同时扩展。
[0330.66-0337.70] 首先,使用两片这样的存储芯片进行位扩展,以满足数据总线的位宽需求。
[0338.74-0351.15] 由两片这样的存储芯片进行位扩展后形成的存储芯片组,其容量为2K×8位,而题目要求的存储器容量为8K×8位。
[0352.04-0360.08] 因此,我们需要使用4组这样的存储芯片组进行字扩展,以满足存储器的容量需求。
[0361.09-0380.13] 这样,我们就构建好了题目要求的容量为8K×8位的存储器,接下来的工作就是解决该存储器与CPU的连接,8K可以写成2-13次方,因此地址总线的位宽应为13位。
[0380.99-0390.58] 其中,高两位地址线用于区分个存储芯片组,而低11位地址线用于区分每组内的存储单元。
[0391.31-0405.92] 我们来具体分析一下,这是13位地址总线,其中高两位地址线用于区分个存储芯片组,而低11位地址线用于区分每组内的存储单元。
[0406.88-0422.13] 对于这个存储芯片组,我们给它分配的编号为00,而该组内存储单元的最小地址为11.0,保持组编号00不变,组内存储单元的最大地址为11.1。
[0422.93-0438.08] 对于这个存储芯片组,我们给它分配的编号为01,而该组内存储单元的最小地址为11.0,保持组编号01不变,组内存储单元的最大地址为11.1。
[0438.88-0454.75] 对于这个存储芯片组,我们给它分配的编号为10,而该组内存储单元的最小地址为11.0,保持组编号10不变,组内存储单元的最大地址为11.1。
[0455.52-0471.15] 对于这个存储芯片组,我们给它分配的编号为11,而该组内存储单元的最小地址为11.0,保持组编号11不变,组内存储单元的最大地址为11.1。
[0471.97-0486.86] 这样,我们就得出了该存储器中,各个存储单元的地址,将它们写成16件的形式,这是同学们在学习完第二张号,就应该熟练掌握的基本功,我们就不再追数了。
[0486.86-0522.67] 不难看出,题目给定的地址,属于这个存储芯片组,所分配到的地址空间,这是该地址空间的最小地址,总上所说,本题的答案是选项地,再来做2011年的提示误,请同学们暂停播放视频,动手练习一下,然后给出你的答案,你的答案是选项地,大家都选对了吗?我们来一起分析一下。
[0523.23-0551.38] 请同学们注意,CPU中存储器地址基存器MAR的位数,决定了主存的可寻止空间大小,进而决定了CPU所能支持的最大主存容量,而主存所使用的实际存储器的容量,因小于等于CPU所能支持的最大主存容量,因此,实际存储器的容量并不能决定MAR的位数。
[0551.38-0573.50] 本题中决定的实际存储器的容量,实际上是迷惑同学们的,想明白了以上注意事项,该题就是非常简单的缩分题,根据题目给定的条件,主存按字节编制,主存地址空间大小为64兆字节,可以推出。
[0573.50-0585.86] MAR的位数,应满足主存的寻止范围为64兆,和写成2-26字方,因此,MAR的位数至少为26位。
[0585.86-0600.53] 综上所说,本题的答案是选项D,再来做2016年的题16,请同学们暂停播放视频,动手练习一下,然后给出你的答案。
[0600.53-0628.56] 题的答案是选项C,大家都选对了吗?我们来一起分析一下,这是题目给定的存储器空间,按字节编制,这是题目给定的弱目区的地址范围,请同学们思考一下,根据弱目区的地址范围,如何算出弱目区的地址空间大小呢?
[0630.23-0644.07] 我想同学们都会计算,那就是用弱目区的墨地址,剪去手地址,然后加1,即可得出弱目区的地址空间大小,将16进制形式转换成2的密次,
[0644.07-0674.77] 竟然可以得出弱目区的地址空间大小为8k,由于按字节编制,因此弱目区的容量为8k字节,我们将其标记在弱目区的旁边,题目给定,主存容量为64k字节,而我们已经计算出弱目区的容量为8k字节,因此剩余56k字节为RAM区,这是题目给定的,容量为8k乘4位的RAM芯片,
[0675.66-0692.29] 因此其数据总线位宽为4位,由于存储器的数据总线位宽为8位,因此我们需要首先使用两片这样的RAM芯片进行位扩展,以满足存储器的数据总线的位宽要求。
[0693.35-0714.96] 由两片这样的RAM芯片进行位扩展后形成的RAM芯片组,其容量为8k乘8位,而题目要求RAM区的容量为56k字节,因此我们需要使用7组这样的RAM芯片组进行字扩展,以满足RAM区的容量需求。
[0715.95-0724.05] 因此,需要题目给定的8k乘4位的RAM芯片的数量,总线位2乘7等于14。
[0725.00-0739.36] 从上所说,本题的答案是选项C,对比2009年的提示物不难发现,本题请多出了计算ROM区容量这一步,而其他步骤完全一致。
[0740.60-0758.53] 再来做2021年的提示物,请同学们暂停播放视频,动手练习一下,然后给出你的答案,本题的答案是选项C,大家都选对了吗?
[0758.93-0774.04] 我们来一起分析一下,这是题目要求我们构建的RAM区,题目给定,数据总线为32位,按字进行编织,存储自成为32位,也就是4字节。
[0775.00-0786.35] 这是题目给定的RAM区的地址范围,因此,我们可计算出RAM区的地址空间大小,将16斤的形式转换成2的密次。
[0786.85-0795.51] 既然可以得出RAM区的地址空间大小为2的12字方乘以K,我们将其标记在RAM区的旁边。
[0796.40-0803.20] 请同学们注意,RAM区的容量为2的12字方乘以K,然后乘以4字节。
[0804.27-0820.75] 这是题目给定的512K乘以8位的RAM芯片,不难看出,一片该RAM芯片,其8位数据总线为宽和512K字节的存储容量都无法满足所要构建的RAM区的要求。
[0821.44-0838.03] 因此,需要使用字位同时扩展,由于题目给定的数据总线为宽为32位,因此,首先使用4片这样的RAM芯片进行未扩展,以满足数据总线的未宽需求。
[0839.02-0848.82] 由4片这样的RAM芯片进行未扩展后形成的存储芯片组,其容量为512K乘以32位。
[0849.74-0865.19] 而题目要求的RAM区容量为2的12字方乘以K乘以32位,因此,我们需要使用8组这样的存储芯片组进行字扩展,以满足RAM区的容量需求。
[0866.59-0875.69] 因此,需要题目给定的512K乘以8位的RAM芯片数量,总线为4乘以8等于32。
[0875.69-0887.70] 东上所说,本题的答案是选项C。好的,本节课到这里就结束了。同学们,我们下节课见。
