[0003.31-0007.41] 同学们好,欢迎大家来到我的计算机组成员里维克唐。
[0007.41-0011.51] 本节课,我们介绍C元中的数据类型及转换。
[0011.51-0014.31] 首先来看计算机中的数据类型。
[0014.31-0021.11] 我们知道,计算机中的数据,以二经济的形式存储在计存器或存储器中。
[0021.11-0026.71] 例如,这是一个32位计存器,它可以存储32个比特信息。
[0026.71-0031.71] 从32个比特0到32个比特1,共2的32次方式组合。
[0031.91-0039.31] 我们之前已经学习过无符号数、有符号数、定点数、浮点数、机器码等知识。
[0039.31-0048.31] 那么请同学们思考一下,机器如何知道该计存器中存储的32位数据是定点数还是浮点数。
[0048.31-0053.47] 如果是定点数,那么是有符号数还是无符号数呢?
[0053.47-0059.07] 实际上,在会边语言中,数据类型取决于指令操作码。
[0059.27-0064.07] 存储在计存器、存储器中的操作数本身没有数据类型。
[0064.07-0068.87] 对该数进行何种数据类型的操作完全取决于指令。
[0068.87-0075.27] 换句话说,同一个操作数既可以当作有符号数,也可以当作无符号数,
[0075.27-0078.87] 既可以是定点数,也可以是浮点数。
[0078.87-0082.67] 而高级语言本身是具有数据类型的。
[0082.87-0085.87] 下面,以语言为例进行介绍。
[0085.87-0092.50] 语言中常见的整形数据类型有Char,Short,Int,Lang这四种,
[0092.50-0097.90] 也就是自符型、短整形、整形、长整形这四种。
[0097.90-0103.90] 它们各自的数据宽度分别为8位、16位、32位、64位。
[0103.90-0106.50] 默认表示有符号整数。
[0106.50-0111.90] 在这些数据类型前面,加上assigned就表示无符号数。
[0112.17-0117.13] 语言中主要的浮点数据类型有Float,Double这两种。
[0117.13-0122.33] Float对应于HPE754单经度32位浮点数标准。
[0122.33-0127.42] Double对应HPE754双经度64位浮点数标准。
[0127.42-0135.55] 由于我们上节课已经详细介绍过HPE754单经度浮点数和双经度浮点数的格式和编码规则,
[0135.55-0138.55] 因此本节课就不再坠述了。
[0138.75-0143.15] 接下来,我们来看C原中整形变量的取值范围。
[0143.15-0147.35] 以12型变量为例,该类型变量的数据宽度为8位。
[0147.35-0154.55] 首先来看assigned12型变量的取值范围,也就是无符号8位整形变量的取值范围。
[0154.55-0160.35] 这是该类型变量的机器码,获成机器数的所有取值组合,
[0160.35-0164.55] 从8个比克0到8个比克1共256个。
[0164.75-0173.35] 由于是无符号数,因此将每种组合的8个二经之位安全展开相加,即可得到相应的帧值。
[0173.35-0182.30] 可以看到8位无符号数的最小值为0,最大值为255,也就是2的8次方-1。
[0182.30-0188.30] 再来看12型变量的取值范围,也就是有符号8位整形变量的取值范围。
[0188.30-0191.90] 该类型变量的机器码同样有256个。
[0192.10-0198.10] 由于该类型变量为有符号整数,因此在机器内部采用符码表示,
[0198.10-0205.30] 为了方便我们区分符号位和数值位,将符号位和数值位用斗号分隔。
[0205.30-0209.30] 根据符码的定义是,可以求出相应的帧值。
[0209.30-0214.70] 当然了,也可以将符码转换成圆码,再通过圆码写出帧值。
[0214.70-0219.30] 相信同学们此时已经非常熟练了,就不再坠述了。
[0219.70-0224.90] 可以看到,8位符码表示的有符号整数的最小值为-128,
[0224.90-0230.50] 也就是-2的8-1次方,最大值为-127,
[0230.50-0234.10] 也就是-2的8-1次方,然后再-1。
[0234.10-0240.17] 在分析了差型变量的取值范围后,我们直接给出short, int,
[0240.17-0242.57] 浪形变量各自的取值范围。
[0242.57-0246.17] 相信同学们都能看懂,就不再坠述了。
[0246.57-0247.97] 需要说明的是,
[0247.97-0252.17] 该表格中显示的机器码没有采用二净之形式,
[0252.17-0255.77] 而采用十六净之形式,这样更简洁。
[0255.77-0260.57] 请同学们注意,无论是无符号数,还是有符号数,
[0260.57-0266.77] C原程序并不检测数据在加减程等运算中产生的一出现象。
[0266.77-0270.17] 程序原应尽量避免出现这种情况。
[0270.17-0274.97] 所编织的应用程序,应具有对一出进行判断的功能。
[0275.17-0279.17] 接下来,我们介绍C原中的数据类型转换。
[0279.17-0284.17] C原中不同类型的数据,可以互相进行强制类型转换。
[0284.17-0288.17] 基本转换原则是,尽量保持数的帧值不变。
[0288.17-0292.17] C原中的数据类型转换,主要分为两大类。
[0292.17-0294.77] 一类是整形数据之间的转换。
[0294.77-0299.17] 另一类是int, float, double 型数据之间的转换。
[0299.17-0302.17] 我们首先介绍整形数据之间的转换。
[0302.50-0304.30] 之前我们已经介绍了,
[0304.30-0309.70] chart, shot, int, long 这四种整形数据的表示范围是不一样的。
[0309.70-0314.10] 因此,很可能数据转换后出现精度缺失。
[0314.10-0320.70] 此时就只能尽量保持转换前后的机器码相同,或机器码部分相同。
[0320.70-0324.56] C原中整形数据之间的转换,分为三种。
[0324.56-0330.56] 一种是相同自长之间的转换,另一种是小自长转大自长。
[0330.76-0333.76] 还有一种是大和长转小自长。
[0333.76-0336.76] 首先来看相同自长之间的转换。
