[0003.50-0007.84] 同学们好,欢迎大家来到我的计算机组成原理维克唐
[0007.84-0012.54] 本节课,我们介绍补骂处罚运算的不恢复余术法
[0012.54-0014.78] 与原码处罚运算一样
[0014.78-0020.38] 补骂处罚运算也包含恢复余术法和不恢复余术法两种
[0020.38-0023.62] 由于不恢复余术法用的较多
[0023.62-0027.14] 因此,本课程仅介绍该方法
[0027.14-0032.26] 与原码处罚将符号位和数值部分分开处理不同
[0032.42-0037.54] 补骂处罚将符号位和数值部分一起参加运算
[0037.54-0041.54] 商服是在求商的过程中自然形成的
[0041.54-0044.66] 因此,补骂处罚的运算方法
[0044.66-0047.46] 没有原码处罚的运算方法之关
[0047.46-0050.42] 需要解决以下三个主要问题
[0050.42-0054.02] 分别是如何确定商值
[0054.02-0056.26] 如何形成商服
[0056.26-0058.86] 如何得到新余术
[0058.86-0063.11] 我们首先来看如何确定商值
[0063.64-0069.72] 由于补骂处罚中的备处数、处数和中间余数都是有符号的
[0069.72-0074.76] 因此,不能像原码处罚那样将符号位单独处理
[0074.76-0079.00] 而直接用做减法来判断是否构减
[0079.00-0082.34] 补骂处罚判断是否构减的依据是
[0082.34-0085.70] 中间余数出使为备处数
[0085.70-0088.42] 与处数之间符号的一同
[0088.42-0092.66] 以及相应做减法或加法后结果的符号
[0093.21-0097.51] 我们以同学们熟悉的实境制处法来举例说明
[0097.51-0098.95] 8除以2
[0098.95-0103.26] 显然备处数-处数是构减的
[0103.26-0106.62] 用备处数-处数得到余数
[0106.62-0110.30] 可以发现余数与处数同号
[0110.30-0112.07] 2除以8
[0112.07-0116.15] 显然备处数-处数是不构减的
[0116.15-0119.67] 用备处数-处数得到余数
[0119.67-0123.27] 可以发现余数与处数1号
[0123.98-0125.93] -8除以-2
[0125.93-0129.08] 备处数-处数是构减的
[0129.08-0130.76] 需要说明的是
[0130.76-0132.20] 这里所谓的构减
[0132.20-0135.88] 并不是一般意义上的备处数大于处数时
[0135.88-0138.28] 备处数-处数为构减
[0138.28-0140.26] 换成构处这个词
[0140.26-0142.50] 可能同学们更容易理解
[0142.50-0146.12] 用备处数-处数得到余数
[0146.12-0149.88] 可以发现余数与处数同号
[0149.88-0152.33] -2除以-8
[0152.33-0155.21] 备处数-处数是不构减的
[0155.37-0157.77] 或者说是不构处的
[0157.77-0160.81] 用备处数-处数得到余数
[0160.81-0162.01] 可以发现
[0162.01-0164.86] 余数与处数1号
[0164.86-0166.86] 通过上述四个例子
[0166.86-0168.38] 我们就要找出了
[0168.38-0171.50] 备处数与处数同号时
[0171.50-0174.04] 判断是否构减的方法
[0174.04-0178.71] 那就是用备处数-处数得到余数
[0178.71-0180.95] 如果余数与处数同号
[0180.95-0182.39] 则为构减
[0182.39-0184.87] 如果余数与处数1号
[0184.87-0186.95] 则为不构减
[0186.95-0189.91] 这是备处数与处数1号时
[0189.91-0192.15] 判断是否构减的举例
[0192.15-0194.23] 相信同学们都能看懂
[0194.23-0196.60] 我们就不再坠述了
[0196.60-0198.28] 通过这四个例子
[0198.28-0199.56] 我们可以找出
[0199.56-0202.28] 备处数与处数1号时
[0202.28-0204.62] 判断是否构减的方法
[0204.62-0209.10] 那就是用备处数-处数得到余数
[0209.10-0211.98] 如果余数与处数1号
[0211.98-0213.42] 则为构减
[0213.50-0215.98] 如果余数与处数同号
[0215.98-0217.93] 则为不构减
[0217.93-0218.97] 我们知道
[0218.97-0221.93] 有符号定点数在计算机内部
[0221.93-0224.17] 一般采用补码表示
[0224.17-0226.57] 而我们所举例的实境制处法
[0226.57-0228.89] 也是有符号数的处法
[0228.89-0229.85] 因此
[0229.85-0231.45] 根据我们的举例
[0231.45-0232.89] 就可以得出
[0232.89-0236.01] 补码处法判断是否构减的方法
[0236.01-0239.48] 我们将其总结到如下的表格中
[0239.48-0241.80] 将备处数计为x
[0241.80-0243.67] 处数计为y
[0243.75-0245.94] 余数计为Ri
[0245.94-0246.82] 因此
[0246.82-0248.90] 出示余数计为R0
[0248.90-0251.62] 它实际上是备处数x
[0251.62-0254.34] 而R1 R2 R3等
[0254.34-0256.34] 用来表示运算过程中
[0256.34-0258.02] 一次得出的余数
[0258.02-0260.84] 可统称为中间余数
[0260.84-0262.68] 当备处数x的补码
[0262.68-0265.62] 与除数y的补码同号时
[0265.62-0267.30] 余数R1的补码
[0267.30-0271.30] 由x的补码减y的补码而得出
[0271.38-0274.50] 若R1的补码与y的补码同号
[0274.50-0276.62] 则表示构减
[0276.62-0278.38] 当备处数x的补码
[0278.38-0281.13] 与除数y的补码1号时
[0281.13-0282.81] 余数R1的补码
[0282.81-0286.50] 由x的补码加y的补码而得出
[0286.50-0289.70] 若R1的补码与y的补码1号
[0289.70-0291.88] 则表示构减
[0291.88-0294.36] 在判断出是否构减后
[0294.36-0298.07] 就可以确定相应的商商位的值了
[0298.07-0299.91] 若备处数x的补码
[0299.91-0302.47] 与除数y的补码同号时
[0302.47-0304.07] 则商为正
[0304.07-0305.99] 构减10上商1
[0305.99-0308.15] 不构减10上商0
[0308.15-0311.21] 也就是按原码规则上商
[0311.21-0313.13] 若备处数x的补码
[0313.13-0315.77] 与除数y的补码1号时
[0315.77-0317.37] 则商为负
[0317.37-0319.21] 构减10上商0
[0319.21-0321.29] 不构减10上商1
[0321.29-0324.65] 也就是按反码规则上商
[0324.65-0327.13] 我们将这两条上商规则
[0327.13-0330.09] 添加到之前的表格中
[0330.09-0332.01] 当备处数x的补码
[0332.01-0333.45] 与除数y的补码
[0333.45-0334.81] 同号时
[0334.81-0336.71] 则商为正
[0336.71-0339.94] 构减10上商1
[0339.94-0342.50] 不构减10上商0
[0342.50-0344.26] 当备处数x的补码
[0344.26-0347.06] 与除数y的补码1号时
[0347.06-0348.86] 则商为负
[0348.86-0351.94] 构减10上商0
[0351.94-0354.73] 不构减10上商1
[0354.73-0358.09] 在我们知道了如何确定商值后
[0358.09-0361.14] 再来看如何形成商服
[0361.14-0362.66] 由于补码主法
[0362.66-0364.98] 将符号位和数值部分
[0364.98-0366.98] 一起参加运算
[0366.98-0367.94] 因此
[0367.94-0371.22] 商服实际上是在求商的过程中
[0371.22-0373.10] 自然形成的
[0373.10-0374.78] 请同学们注意
[0374.78-0376.54] 在定年小数
[0376.54-0379.74] 也就是纯小数的处法中
[0379.74-0381.42] 被除数的绝对值
[0381.42-0384.33] 必须小于除数的绝对值
[0384.33-0387.75] 否则商会大于1而溢出
[0387.75-0388.63] 这一点
[0388.63-0391.51] 我们在前两节有关定年小数
[0391.51-0393.51] 原码处法运算的课程中
[0393.59-0396.47] 已经给同学们介绍过了
[0396.47-0398.31] 当被除出x的补码
[0398.31-0401.03] 与除数y的补码同号时
[0401.03-0402.54] 商为证
[0402.54-0404.14] 于数re的补码
[0404.14-0408.02] 由x的补码减y的补码而溢出
[0408.02-0412.01] 由于x的绝对值小于y的绝对值
[0412.01-0412.89] 因此
[0412.89-0417.14] re的补码与y的补码必然是1号的
[0417.14-0418.74] 不理解的同学
[0418.74-0423.48] 可参看之前实际制处法的相关举例
[0423.48-0427.56] 由于re的补码与y的补码是1号的
[0427.56-0430.04] 因此表示不够简
[0430.04-0431.40] 上商名
[0431.40-0433.48] 而这恰好作为商服
[0433.48-0435.82] 表示商为证
[0435.82-0437.58] 当被除出x的补码
[0437.58-0440.22] 与除数y的补码1号时
[0440.22-0441.50] 商为副
[0441.50-0446.74] 于数re的补码由x的补码加y的补码而溢出
[0446.74-0450.58] 由于x的绝对值小于y的绝对值
[0450.58-0451.54] 因此
[0451.54-0453.78] re的补码与y的补码
[0453.86-0456.30] 必然是同号的
[0456.30-0458.62] 因此表示不够简
[0458.62-0460.06] 上商1
[0460.06-0462.14] 而这恰好作为商服
[0462.14-0464.81] 表示商为副
[0464.81-0466.01] 综上所说
[0466.01-0470.89] 商服实际上是在求商的过程中自然形成的
[0470.89-0471.77] 另外
[0471.77-0476.20] 商的符号还可以用来判断商是否溢出
[0476.20-0478.04] 当被除出x的补码
[0478.04-0480.98] 与除数y的补码同号时
[0480.98-0482.82] 若于数re的补码
[0482.82-0485.22] 与除数y的补码同号时
[0485.22-0486.10] 上商1
[0486.10-0487.70] 即为溢出
[0487.70-0489.62] 当被除出x的补码
[0489.62-0492.26] 与除数y的补码1号时
[0492.26-0494.10] 若于数re的补码
[0494.10-0496.50] 与除数y的补码1号时
[0496.50-0497.46] 上商0
[0497.46-0499.21] 即为溢出
[0499.21-0500.25] 在我们知道了
[0500.25-0501.93] 如何确定商值
[0501.93-0504.01] 如何形成商服之后
[0504.01-0507.13] 再来看如何得到新于数
[0507.13-0509.77] 新于数r i加1的补码
[0509.77-0511.13] 其获取方法
[0511.13-0514.01] 与原码处法不恢复于数法
[0514.01-0515.85] 也就是加减交替法
[0515.85-0517.48] 是类似的
[0517.48-0521.08] 我们将其总结到如下的表格中
[0521.08-0523.00] 若于数r i的补码
[0523.00-0525.32] 与除数y的补码同号
[0525.32-0527.10] 则上商1
[0527.10-0528.86] 然后将r i的补码
[0528.86-0530.14] 左移移位后
[0530.14-0531.98] 减去y的补码
[0531.98-0535.82] 即可得到新于数r i加1的补码
