[0002.99-0007.43] 同学们好,欢迎大家来到我的计算机组成员里威克唐。
[0007.43-0013.39] 本节课,我们介绍HP1754辅典加减法运算的相关知识。
[0013.39-0018.90] 在同学们学习本节课之前,建议大家首先复习一下,
[0018.90-0024.34] 第二章中HP1754辅典数标准那节课的主要内容。
[0024.34-0031.79] 好的,接下来呢,我们就给同学们介绍HP1754辅典加减法运算。
[0032.24-0037.04] 由于HP1754辅典数的接码,才用一码表示,
[0037.04-0042.92] 尾数才用原码表示,并且尾数的最高位隐藏。
[0042.92-0048.92] 因此,HP1754辅典数的加减运算与上节课介绍的,
[0048.92-0053.92] 基于补码表示的辅典数的加减运算有如下不同。
[0053.92-0061.34] 一,在对接和结果规划过程中,涉及到接码的加减运算时,
[0061.34-0064.75] 才用一码的加减运算规则。
[0064.75-0071.75] 二,违数运算才用原码运算规则,且隐藏位要参与违数运算。
[0071.75-0078.55] 三,隐藏位参与违数规格化判断和规格化过程。
[0078.55-0084.97] 若违数为这种形式,则本身就是规格化违数。
[0084.97-0088.97] 若违数为这种形式,则需要进行左规,
[0088.97-0096.97] 也就是将违数没左移移位,相应的就将接码减1,直到违数规格化为止。
[0096.97-0103.45] 若违数为这种形式,则只需要进行一次右规,
[0103.45-0108.45] 也就是将违数右移移位,相应的将接码加1。
[0108.45-0111.28] 四,舍入处理。
[0111.28-0116.34] HB1754标准,主要包含以下四种舍入处理。
[0116.34-0121.63] 究竟舍入,就是舍入为可表示的最近的数。
[0121.63-0127.79] 如果数据正好处于两个可表示的数的中间,则向偶数舍入。
[0127.79-0135.94] 潮正无穷方向舍入,就是总是取右侧可表示的最近的数。
[0135.94-0144.74] 潮复无穷方向舍入,就是总是取左侧可表示的最近的数。
[0144.74-0151.41] 阶段处理,就是直接丢弃多余位,潮临方向舍入。
[0151.41-0153.41] 五,溢出判断。
[0153.41-0162.10] 上节课已经介绍过了,浮电运算的溢出可通过接码的溢出来判断。
[0162.10-0166.10] 因此,对于HB1754单径度浮电数而言,
[0166.10-0173.14] 向右规格化时,若使接码加1号变为全1,则发生接码上溢。
[0173.14-0180.14] 由于是在进行规格化时产生的溢出,因此也称为规格化上溢。
[0180.14-0189.55] 向左规格化时,若使接码减1号变为全0,则发生接码下溢,也称为规格化下溢。
[0189.87-0197.97] 接下来,我们来举例说明HB1754浮电加减法运算的过程和溢出检测。
[0197.97-0208.80] 请同学们暂停播放视频,先认真阅读一下本例的内容。
[0208.80-0220.80] 好的,我们来一起分析,将本例给定的HB1754单径度浮电数X和Y的机器码的16精致形式,转换成2精致形式。
[0220.80-0228.34] 这是我们在第二章中曾介绍过的HB1754单径度浮电数标准,
[0228.34-0234.34] 其最高位是符号位S,取之零表示正数,取之一表示负数。
[0234.34-0241.34] 接下来的8位是接码1,为定点整数,采用一码表示。
[0241.34-0248.89] 请同学们注意,其偏一常数为127,而不是标准一码的128。
[0248.89-0254.89] 接下来的23位是违数i莫,为定点小数,采用圆码表示。
[0256.27-0261.27] 这样,我们就可以找出X和Y各自接码的一码表示,
[0261.27-0266.78] 竟然还得写出各自接码的真值,需要说明的是,
[0266.78-0273.23] 这里给出的是真值的实境制形式,以方便同学们理解。
[0273.23-0278.71] 由于X和Y的接码相同,因此无需对接,
[0278.71-0283.71] 我们还可以找出X和Y各自违数的圆码表示。
[0283.71-0289.71] 这是符号为S,这是23位违数i莫,而这是隐藏位。
[0289.71-0297.80] 可认为,小数点实际上是隐含固定在隐藏位和违数之间的。
[0297.80-0303.96] 进而,我们可以写出X和Y各自违数的真值,需要说明的是,
[0303.96-0309.96] 为了后续规格化方便,这里给出的是真值的二净值形式。
[0309.96-0315.06] 这次呢,我们可以写出X和Y各自的真值。
[0315.06-0321.31] 接下来,我们进行违数运算,本力是做减法运算。
[0321.31-0326.31] 请同学们注意,我们是将违数i莫的圆码,包括隐藏位,
[0326.31-0331.31] 转换成真值,然后进行真值的减法运算。
[0331.31-0337.63] 之前我们已经介绍过了,需要将违数转换成这种规格化形式。
[0337.63-0346.04] 对于本力,需要进行左规,也就是将违数没左移移位,
[0346.04-0352.36] 就将接码相应的减一,而本力只将违数左移了移位,
[0352.36-0355.94] 就已经转换成了规格化形式。
[0355.94-0363.26] 而接码减一后,其实净值为-127,相应的移码为全0。
[0363.26-0369.26] HV754规定,接码的移码为全0时,为非规格化辅典数。
[0369.26-0376.42] 因此,本力的运算结果,产生了接码下义,也称为规格化下义。
[0376.42-0380.70] 这是我们在第二章中,曾介绍过的内容。
[0380.70-0388.80] 也就是HV754辅典数,其接码的移码为全0时,为非规格化数。
[0388.80-0395.80] 非规格化数可用于处理接码下义,使得出现比最小规格化数还小的数十,
[0395.80-0398.80] 程序也能继续进行下去。
[0398.80-0403.96] 因此,本力的运算结果,只能是非规格化数。
[0403.96-0410.82] 这是其真值形式,可以写出相应的机器码。
[0410.82-0416.20] 这是机器码的十六净值形式,我们就不在这里数了。
[0416.20-0419.20] 好的,本节课到这里就结束了。
[0419.20-0422.20] 我们将本节课的内容,小节如下。
[0422.20-0428.43] 同学们,我们下节课见!
