[0003.60-0008.04] 同學們好,歡迎大家來到我的計算機組成原理威克堂。
[0008.04-0011.44] 本節課,我們介紹自衛同時擴展。
[0011.44-0016.83] 在前兩次課中,我們給同學們依次介紹了衛擴展和自擴展。
[0016.83-0026.17] 對於衛擴展,是當存儲芯片的數據總線位寬,小於CPU數據總線位寬時,應該採用的擴展方式。
[0026.36-0036.39] 而對於自擴展,是當存儲芯片的存儲容量,不能滿足存儲器對存儲容量的需求時,應該採用的擴展方式。
[0036.39-0043.33] 因此,同學們很自然地就會想到,本節課將要介紹的自衛同時擴展,
[0043.33-0054.01] 是當存儲芯片的數據位寬和存儲容量,均不能滿足存儲器的數據位寬和存儲總容量要求時,應該採用的擴展方式。
[0054.01-0064.54] 在這種情況下,應當首先通過衛擴展滿足數據位寬的要求,然後再通過自擴展滿足存儲容量的要求。
[0064.54-0073.72] 我們來舉例說明,這是本曆給定的CPU,其地質總線位寬為21位,記錄A0到A20。
[0073.72-0083.27] 根據地質總線的位寬為21位,我們可計算出,可循指空間的大小為2到21次方,也就是2兆。
[0083.83-0089.11] CPU數據總線的位寬為32位,記錄D0到D31。
[0089.11-0098.33] 這是本曆給定的SRAM存儲芯片,其數據總線位寬為8位,無法滿足CPU的數據總線位寬32位。
[0098.74-0107.14] 因此,我們首先使用4片這種存儲芯片進行衛擴展,以滿足CPU的數據總線位寬。
[0107.14-0116.54] 將4片存儲芯片的鞋齒能銀角WE、片線銀角CS以及18位地質銀角分別並聯在一起,
[0116.54-0125.37] 而將每片存儲芯片的8位數據銀角,連接到CPU的32位數據銀角中相應的8位如都所示。
[0129.48-0141.14] 進行4片存儲芯片的衛擴展後,存儲容量為每片256K乘8位乘上4片,將4片存儲芯片看成是1片存儲芯片,
[0141.14-0155.70] 其存儲容量為256K乘32位,然而本曆中的CPU其地質總線位寬為21位,因此可群指空間的大小為2到21次方,也就是2兆。
[0155.94-0164.42] 而數據總線的位寬為32位,因此該CPU支持的主存最大容量為2兆乘32位。
[0164.42-0172.57] 顯然,我們還需要進行自擴展,來滿足CPU支持的最大主存容量,如都所示。
[0176.44-0191.00] 我們共使用8組,4片存儲芯片進行衛擴展後的存儲芯片組,因此總存儲容量為每組256K乘32位乘以8組,等於2兆乘32位。
[0191.00-0202.65] 那麼接下來的工作呢,就是我們上節課給同學們介紹的,進行自擴展後主存與CPU的連接工作了,如都所示。
[0211.83-0215.75] 相信同學們都能看懂,我們就不再墜速了。
[0215.75-0228.25] 另外,CPU對主存的讀操作和寫操作過程,與上節課介紹的自擴展方式下,CPU對主存的讀操作和寫操作過程是一樣的。
[0228.25-0232.41] 請同學們自行分析,我們就不再墜速了。
[0232.41-0235.99] 好的,本節課到這裡就結束了。
[0235.99-0238.71] 同學們,我們下節課見!
