[0002.99-0007.15] 同学们好,欢迎大家来到我的计算机组成员里威克唐。
[0007.15-0012.51] 在上礼客中,我们首先给同学们介绍了数据通路的相关基本概念。
[0012.51-0018.51] 之后,我们举例说明了,CPU内部采用单总线数据通路的基本结构。
[0018.51-0024.35] 我们还给同学们介绍了几条MIF32典型指令,特别是LW指令。
[0024.35-0030.87] 我们将其指令周期中各节拍所要执行的操作,以及所需要的相应控制信号,
[0031.03-0038.15] 带入了之前介绍的CPU内部采用单总线结构的那副硬件框图中进行了动画演示。
[0038.15-0047.99] 最后,我们还总结出了5条MIF32典型指令,各自指令周期中各节拍所要执行的操作,以方便同学们对比。
[0047.99-0054.55] 为了加深同学们对CPU内部采用单总线数据通路的基本结构的理解和记忆。
[0054.71-0063.67] 从本节课开始,我们一共安排了三次习题课,所选题目大部分来自一年408考研的综合大题。
[0063.67-0073.91] 本节课,我们首先来挑战两道比较简单的408考研选择题,之后我们再挑战一道408考研的综合大题。
[0073.91-0082.98] 首先来挑战2016年的题20,请同学们暂停播放视频,思考一下,然后给出你的答案。
[0087.94-0091.54] 本题的答案是选项A,大家都选对了吗?
[0091.54-0099.14] 我们来一起分析一下,题目给定,单周期处理器中所有指令的指令周期为一个始终周期。
[0099.14-0114.26] 通过上节课的学习,我们知道,采用单总线结构作为CPU内部总线,则CPU内各部件,例如计存器、运算器、通用计存器组等,都需要通过单总线进行数据全售。
[0114.42-0125.46] 因此,各部件会竞争总线资源,为了避免总线数据冲突,需要平团的分时使用总线,导致很多操作不能并行。
[0125.46-0134.17] 一个始终周期内只允许一次总线操作,因此一个始终周期内无法完成指令的所有操作。
[0134.17-0140.87] 选项A的叙述错误,这是我们上节课给同学们介绍的5条MIP4.2指令。
[0141.03-0149.43] 可以看到,若采用单总线结构的数据通路,则每条指令的指令周期都包含有多个始终周期。
[0149.43-0152.74] 再来看选项B的叙述是否正确。
[0152.74-0159.78] 我们知道,不同指令实现的功能不同,所包含的操作和操作数的数量也不同。
[0159.78-0170.90] 由于单周期处理器中,所有指令的指令周期为一个始终周期,为了顾及所包含操作比较复杂的指令,也就是缴慢的指令。
[0171.06-0175.94] 因此,始终周期较长,相应的始终频率较低。
[0175.94-0181.45] 选项B的叙述正确,再来看选项C的叙述是否正确。
[0181.45-0187.08] 由于单周期处理器中,所有指令的指令周期为一个始终周期。
[0187.08-0191.56] 换句话说,每条指令的执行只有一个始终周期。
[0191.56-0195.56] 在一个始终周期内,控制信号不会发生变化。
[0196.06-0200.86] 对于多周期处理器,指令的执行需要多个始终周期。
[0200.86-0205.26] 每个始终周期,控制器会发出相应的控制信号。
[0205.26-0211.58] 因此,在指令执行过程中,控制信号每个始终周期都会发生变化。
[0211.58-0217.13] 选项C的叙述正确,再来看选项D的叙述是否正确。
[0217.13-0225.94] CPR是每条指令的始终周期数的因为所写词,也就是执行一条指令所需要的始终周期数量。
[0226.10-0232.34] 对于单周期处理器,执行每一条指令所需要的始终周期数量都唯一。
[0232.34-0235.62] 因此,每条指令的CPR唯一。
[0235.62-0241.53] 选项D的叙述正确,综上所述,本题的答案是选项A。
[0241.53-0245.35] 再来挑战2021年的题18。
[0245.35-0250.95] 请同学们暂停播放视频,思考一下,然后给出你的答案。
[0250.95-0260.17] 本题的答案是选项C,大家都选对了吗?
[0260.33-0262.17] 我们来一起分析一下。
[0262.17-0269.29] 通过上级课的学习,我们知道,数据通路是指数据在各功能部件之间传送的路径。
[0269.29-0278.57] CPU内的功能部件,包含专用和通用基层器、状态基层器、ALU、CASH、MMU、
[0278.57-0282.33] 福联运算逻辑、异常和中断处理逻辑等。
[0282.33-0289.94] CPU外的功能部件,包含有主存、IO设备等,因此选项A和B的叙述正确。
[0290.02-0298.36] 而选项C的叙述错误,另外,控制器会根据每条指令的功能,产生数据通路的控制信号,
[0298.36-0304.92] 以控制数据通路中的数据流动路径,因此选项D的叙述正确。
[0304.92-0312.89] 综上所说,本题的答案是选项C,再来挑战2009年的这道综合大题。
[0312.89-0317.37] 请同学们暂停播放视频,务必认真审题。
[0317.53-0327.19] 之后,我们来一起分析,我们来一起分析。
[0327.19-0335.19] 该表格给出了这条指令的取指和异满阶段,每个节拍的功能和有效控制信号。
[0335.19-0344.18] 你们要求我们参照该表格中的描述方式,给出这条指令的执行阶段的每个节拍的功能和有效控制信号。
[0344.18-0350.60] 那么,我们首先分析一下,该表格中每个节拍的功能和有效控制信号。
[0351.02-0356.49] 首先来看节拍一,这是实现该节拍的功能所需的控制信号。
[0356.49-0364.55] 一,表示有效,由于控制信号PC OUT为有效信号,因此即所控制的三台门打开。
[0364.55-0371.75] 这样,程序技术器PC的内容,就会通过该三台门传送到CPU内部单总线上。
[0372.07-0384.31] 经过单总线的传送,PC的内容会传送到CPU内部与单总线相连的所有计存器,以及算数逻辑单元LU的其中一个操作数输入端。
[0384.31-0393.30] 需要说明的是,为了简单起见,我们只演示出了传送到与实现该节拍功能相关的计存器的情况。
[0394.01-0404.92] 由于控制信号MARIN为有效信号,因此CPU内部单总线上传送来的内容,会被写入存主器地址计存器MAR。
[0404.92-0416.81] 此时,MAR的内容就是PC的值,MAR的内容还会通过CPU外部的地址总线AB传送到主存的地址输入端。
[0417.61-0426.76] 这次就完成了题目所给带的指令取指周期的第一个解拍,之后进入带的指令取指周期的第二个解拍。
[0426.76-0432.04] 这是实现该节拍的功能所期的控制信号,一表示有效。
[0432.04-0439.64] 由于通过CPU外部的控制总线CB传送到主存读控制端口的控制信号为有效信号,
[0439.80-0447.40] 因此,根据之前主存地址输入端所送入的地址,也就是程序记录器PC的值,
[0447.40-0454.68] 相应存主单元的内容,从主存的数据输出端输出到CPU外部的数据总线DB,
[0454.68-0460.84] 并从数据总线传送到CPU内部的存主器数据基存器MDR。
[0461.38-0471.94] 由于控制信号MDR应易为有效信号,因此,CPU外部的数据总线DB上传送来的内容会被写入MDR,
[0471.94-0476.82] 因此,MDR中的内容就是从主存中取出的指令。
[0476.82-0483.19] 与此同时,由于程序记录器PC的PC加1控制端为有效信号,
[0483.19-0485.75] 因此执行PC加1的操作,
[0486.71-0491.83] 这次就完成了题目所给爱的指令取指周期的第二个解判。
