[0003.22-0007.74] 同学们好,欢迎大家来到我的计算机组成员里维克堂
[0007.74-0011.40] 在前几次课中,我们分别给同学们介绍了
[0011.40-0015.30] 开始主存系统中地址硬设的两种方式
[0015.30-0018.59] 一种是直接硬设方式
[0018.59-0021.79] 另一种是全相连硬设方式
[0021.79-0026.02] 我们知道,直接硬设方式的开始命中率低
[0026.02-0027.68] 查找成本低
[0027.68-0030.24] 全相连硬设方式的命中率高
[0030.24-0032.36] 但查找成本也高
[0032.52-0035.40] 这两种方式的优缺点正好互补
[0035.40-0038.84] 将二者结合起来,可以取长补短
[0038.84-0042.50] 既提高命中率,又降低查找成本
[0042.50-0045.22] 这样就要产生了本节课
[0045.22-0049.37] 我们将要给同学们介绍的组相连硬设方式
[0049.37-0051.53] 组相连硬设的规则是
[0051.53-0056.33] 将开始中的所有行,划分成固定大小的组
[0056.33-0060.70] 每组包含K行,称为K路组相连
[0060.86-0063.74] 组存数据框,才用直接硬设方式
[0063.74-0066.06] 对应到开始中固定的组
[0066.06-0068.06] 这是硬设关系
[0068.06-0072.14] 既开始组号,等于组存数据框号
[0072.14-0074.65] 模上开始组数量
[0074.65-0079.61] 组存数据框在所对应的组内,才用全相连硬设
[0079.61-0083.06] 可对应到组内任何一个开始行
[0083.06-0085.30] 接下来,我们举例说明
[0085.30-0088.41] 组相连硬设的以上三个规则
[0088.49-0089.85] 如同所示
[0089.85-0092.49] 这是将开始中的所有开始行
[0092.49-0095.77] 每两行,划分为一个开始组
[0095.77-0097.93] 共划分出了N个组
[0097.93-0100.84] 组编号从0到N-1
[0100.84-0103.48] 由于每个组包含有两个行
[0103.48-0106.42] 因此成为二路组相连
[0106.42-0112.70] 这样,我们就解释了组相连硬设的第一条规则
[0112.70-0114.06] 如同所示
[0114.06-0118.94] 这是将组存划分成了M乘N个等长的数据块
[0119.02-0123.26] 数据块的编号从0到M乘N再减1
[0123.26-0126.06] 组相连硬设的第二条规则规定
[0126.06-0129.10] 组存数据块采用直接硬设方式
[0129.10-0131.83] 对应到开始中固定的组
[0131.83-0137.11] 可采用该式来计算组存数据块所对应的开始组
[0137.11-0140.95] 由于该式中的各个量都是恢复整数
[0140.95-0145.93] 因此,可将模运算简单看作是求予运算
[0145.93-0148.65] 例如,组存数据块号0
[0148.65-0151.21] 除以开始组的数量N
[0151.21-0154.17] 于数0就是开始组号
[0154.17-0156.41] 组存数据块号N-1
[0156.41-0158.81] 除以开始组的数量N
[0158.81-0161.93] 于数N-1就是开始组号
[0161.93-0163.75] 以此类推
[0163.75-0166.47] 又例如,组存数据块号N
[0166.47-0168.63] 除以开始组的数量N
[0168.63-0171.30] 于数0就是开始组号
[0171.30-0173.78] 组存数据块号2N-1
[0173.78-0175.86] 除以开始组的数量N
[0175.86-0179.06] 于数N-1就是开始组号
[0179.06-0180.08] 以此类推
[0180.76-0181.52] 又例如
[0181.78-0184.60] 主存数据块号m乘以n-n
[0185.10-0185.62] 除以
[0185.88-0187.16] 开始组的数量n
[0187.42-0189.20] 于数0就是开始组号
[0190.08-0192.64] 主存数据块号m乘以n然后-1
[0193.14-0193.66] 除以
[0193.92-0195.20] 开始组的数量n
[0195.46-0196.72] 于数n-1
[0196.98-0198.26] 就是开始组号
[0198.78-0199.54] 以此类推
[0200.65-0202.97] 组相连应设的第三条规则规定
[0203.49-0206.03] 主存数据块在所对应的组内
[0206.29-0207.83] 采用全相连应设
[0208.35-0211.15] 可对应到组内任何一个开始行
[0212.22-0212.72] 例如
[0213.24-0214.52] 0号主存数据块
[0214.78-0217.34] 在其所对应的0号开始组内
[0217.60-0219.38] 和对应任何一个开始行
[0220.45-0221.21] 又例如
[0221.73-0224.03] m乘以n-1号主存数据块
[0224.53-0227.09] 在其所对应的n-1号开始组内
[0227.61-0229.65] 和对应任何一个开始行
[0230.49-0231.25] 实际上
[0231.51-0233.05] 组相连应设的规则2
[0233.57-0234.33] 等效率
[0234.59-0235.61] 将主存数据块
[0235.87-0238.17] 按开始组的数量进行了分区
[0238.96-0239.88] 每个分区中
[0240.14-0241.78] 包含的数据块的数量
[0242.04-0243.84] 与开始组的数量相同
[0244.86-0246.40] 每个分区中的数据块
[0246.66-0248.96] 各自对应某个固定的开始组
[0249.72-0250.24] 例如
[0250.74-0252.02] 0到n-1号
[0252.28-0253.30] 这n个数据块
[0253.82-0256.64] 各自固定对应n个开始组终的某一个
[0257.56-0258.08] 因此
[0258.34-0259.36] 这n个数据块
[0259.62-0261.14] 被划分为分去0
[0262.30-0264.60] n到n-1号这n个数据块
[0265.12-0268.18] 各自固定对应n个开始组终的某一个
[0268.96-0269.46] 因此
[0269.76-0270.76] 这n个数据块
[0271.00-0272.40] 被划分为分区1
[0273.18-0273.94] 以此类推
[0274.38-0278.72] n-n到n-1号这n个数据块
[0279.24-0282.68] 各自固定对应n个开始组终的某一个
[0283.44-0283.98] 因此
[0284.24-0285.26] 这n个数据块
[0285.52-0287.18] 被划分为分区m
[0288.29-0290.61] 在主存数据块有了分区号之后
[0291.11-0292.19] 我们就没有必要
[0292.45-0294.49] 对主存中的全部数据块
[0294.75-0296.03] 进行统一编号了
[0296.79-0298.07] 而是对每个分区中的
[0298.33-0299.87] 第一个数据块编号为0
[0300.37-0301.91] 后续每个数据块的编号
[0302.17-0302.93] 1次加1
[0303.45-0305.37] 直到该分区中的数据块
[0305.63-0307.29] 全部都编号完成
[0307.79-0308.57] 如同所示
[0312.62-0313.14] 这样
[0313.40-0315.70] 各分区中的各个数据块的编号
[0315.96-0318.72] 就与开始中各开始组的编号
[0318.98-0320.30] 1对应相等了
[0320.92-0322.96] 可能有些同学已经发现了
[0323.48-0324.00] 这样做
[0324.24-0326.80] 实际上是将原来用于主存中
[0327.06-0329.36] 全部数据块统一编号的比特数量
[0329.62-0330.64] 减少了一部分
[0331.24-0333.68] 而这部分用于给分区编号
[0334.70-0336.14] 在同学们了解了
[0336.40-0338.02] 组相连应设规则之后
[0338.52-0340.06] 请同学们思考一下
[0340.58-0341.86] 应该如何描述
[0342.12-0344.06] 主存中某个信息的位置呢
[0344.98-0345.48] 例如
[0345.74-0347.22] 主存中的这个信息
[0347.64-0349.60] 它的位置应该如何描述呢
[0351.15-0352.83] 我想同学们都会描述
[0353.59-0356.07] 该信息位于主存分区号为排目
[0356.43-0358.83] 数据块号为n-1的数据块庄
[0359.63-0360.67] 这是该信息
[0360.83-0362.91] 在该数据块中的偏移位置
[0363.98-0364.78] 换句话说
[0365.22-0367.10] 采用组相连应设方式
[0367.50-0369.26] 我们可用主存分区号
[0369.58-0370.58] 区内块号
[0370.94-0372.46] 以及块内偏移
[0372.82-0373.82] 这三部分
[0374.06-0375.38] 一起来精确描述
[0375.58-0376.30] 某个信息
[0376.54-0378.30] 在主存中的具体位置
[0379.18-0380.78] 我们之前刚刚分析过
[0381.34-0382.22] 区内块号
[0382.46-0384.70] 与其所对应的开始组的组号
[0384.94-0386.18] 是完全相等的
[0386.90-0388.86] 那么通过区内块号
[0389.22-0391.02] 就可以精准的定位出
[0391.26-0393.10] 该数据块所应设到
[0393.10-0395.70] 开始组的那个固定组的组号
[0396.51-0398.99] 因此区内块号也称为
[0398.99-0401.31] 开始组号或开始组锁印
[0401.71-0402.95] 英文为index
[0403.94-0406.18] 主存分区号和区内块号
[0406.46-0408.10] 合起来和看作是
[0408.26-0409.26] 带访问信息
[0409.42-0411.22] 所在主存数据块的地址
[0411.96-0413.16] 而块的偏移
[0413.52-0415.04] 只出了带访问信息
[0415.24-0416.80] 在主存数据块地址
