[0002.99-0007.59] 同学们好,欢迎大家来到我的计算机组成原理维克堂。
[0007.59-0013.67] 本节课,我们给同学们介绍基于TLB和泰式的仿存流程。
[0013.67-0019.47] 在上节课中,我们给同学们介绍了基于TLB的仿能过程。
[0019.47-0026.58] 由于上节课的重点是TLB的作用、应酌方式以及TLB的基本工作原理。
[0026.58-0032.50] 因此,在介绍基于TLB的仿能过程中,为了简单起见,
[0032.66-0040.06] 我们将开始主存系统作为一个整体进行分析,没有考虑开始是否命中的情况。
[0040.06-0046.32] 本节课,我们给同学们介绍基于TLB和泰式的仿存流程,
[0046.32-0053.79] 也就是既要考虑TLB是否命中的情况,还要考虑开始是否命中的情况。
[0053.79-0058.70] 现在计算机一般都会采用虚拟存主器技术,
[0058.94-0066.50] 虚拟存主器需要硬价,例如MMU、TLD等和操作系统协同工作。
[0066.50-0077.52] 在操作系统引导完成之前,CPU使用物理地址访问主存,此时为实地址模式,简称实模式。
[0077.52-0088.01] 在操作系统引导完成之后,进入保护模式,或称虚地址模式,此时CPU使用虚拟地址访问主存。
[0088.45-0097.73] 接下来我们给出,在具有开始并采用虚拟存主器技术的计算机中,CPU的一次完成仿存流程。
[0097.73-0106.55] CPU给出虚拟地址,根据虚拟地址在TLD中快速查找相应的页表项。
[0106.55-0115.43] 若TLD命中,则可以得到物理业号,进而可以将虚拟地址转换成物理地址。
[0116.03-0121.47] 通过物理地址,在开始中快速查找相应的主存数据框。
[0121.47-0133.83] 若开始命中,则可以访问开始中的数据,若开始切失,则需要进行开始切失处理,之后才能访问开始中的数据。
[0133.83-0144.43] 若之前TLD未命中,则通过业表项地址,在开始中快速查找相应的业表项。
[0145.02-0149.93] 若开始命中,则可以得到相应的业表项。
[0149.93-0159.17] 根据业表项中有效位的取职,可以判断,相应的虚拟页面是否已经从辅存掉入了主存。
[0159.17-0171.99] 若虚拟页面已经掉入了主存,则将之前从开始中得到的业表项更新到TLD中,并通过业表项得到物理业号。
[0172.62-0177.94] 之后的访问流程,之前已经介绍过了,就不再坠述了。
[0177.94-0194.00] 若之前通过业表项地址,在开始中快速查找相应的业表项,开始未命中,则通过业表项地址,从常驻于主存的业表中获取相应的业表项。
[0194.60-0204.14] 根据业表项中有效位的取职,可以判断,相应的虚拟页面是否已经从辅存掉入了主存。
[0204.14-0212.30] 虚拟页面已经掉入主存的情况,及其后续流程,刚刚介绍过了,就不再坠述了。
[0212.30-0217.78] 若虚拟页面还未掉入主存,则会产生缺业异常。
[0218.06-0234.58] 由操作系统调用缺业异常处理程序进行处理,包括从辅存,例如磁盘,掉入虚拟页面到主存,更新TLB,重新启动发生缺业的指定。
[0234.58-0245.23] 需要说明的事,这部分流程是可选的,取决于相关的软件,因此我们用虚线来表示。
[0246.13-0256.77] 这次,我们就给同学们介绍了,在具有态势,并采用虚拟存主器技术的计算机中,CPU的一次完整仿存流程。
[0256.77-0265.67] 流程中的各个步骤所涉及到的细节问题,在我们之前的几次课中,分别有详细介绍。
[0265.99-0281.39] 因此,建议同学们将该流程图作为有关态势,业势虚拟存主器,以及TLB的知识大纲来记忆,并且能够联想出各步骤所涉及到的相关细节。
[0281.39-0294.69] 接下来,我们依据该流程图来填写这个表格,为了方便描述,我们将流程图中的三个条件判断改成为TLB命众,
[0295.46-0314.27] 开始命众,页面命众。首先来看这种情况的可能性,如所示,当存流程中是TLB命众,开始掩命中的情况。
[0314.27-0330.03] 根据TLB的侧点,我们知道,TLB命众就意味着页面已经从俯存掉入了主存。换句话说,从主存中一定可以获取到页面,因此成为页面命众。
[0330.23-0341.13] 总结一下就是,TLB命众则页一定命众。从上所说,TLB命众,页命众,开始命众的情况是有可能的。
[0341.13-0350.00] 根据所总结的TLB命众则页一定命众的规则,可以推出这两种情况是不可能的。
[0350.88-0377.42] 再来看这种情况的可能性,如所示,不难看出,这种情况是可能的。再来看这种情况的可能性,如所示,不难看出,这种情况是可能的。
[0377.42-0402.17] 再来看这种情况的可能性,如所示,不难看出,这种情况是可能的。再来看这种情况的可能性,如所示,不难看出,这种情况是可能的。
[0403.84-0406.28] 再来看这种情况的可能性
[0406.28-0407.48] 如都所示
[0407.48-0412.38] 不难看出
[0412.38-0415.14] 访问流程不会进行到判断
[0415.14-0417.10] 开始是否命中的步骤
[0417.10-0420.50] 因此这种情况是不可能的
[0420.50-0423.60] 我们将上述情况的简要说明
[0423.60-0425.16] 补充到表格中
[0425.16-0428.40] 以方便同学们自学和复习
[0428.50-0430.90] 通过改表格不能发现
[0430.90-0432.78] 这是最好的情况
[0432.78-0434.82] 不需要访问主存
[0434.82-0438.21] 这是最糟的情况
[0438.33-0439.81] 需要访问主存
[0439.81-0441.49] 例如死盘
[0441.49-0445.22] 并至少访问主存两次
[0445.22-0449.73] 这两种情况需要访问主存一次
[0449.73-0454.29] 这种情况需要访问主存两次
[0454.29-0458.46] 这三种情况是不可能出现的
[0458.46-0460.14] 请同学们注意
[0460.14-0461.58] 开始切施处理
[0461.58-0463.45] 由硬件完成
[0463.45-0465.65] 切业处理由操作系统
[0465.65-0469.13] 通过切业一堂处理程序来完成
[0469.13-0471.90] 也就是由软件完成
[0472.02-0473.70] TLB切施处理
[0473.70-0475.66] 既可以用硬件完成
[0475.66-0478.14] 也可以用软件完成
[0478.14-0479.94] 若用软件完成
[0479.94-0482.14] 则操作系统通过专门的
[0482.14-0486.10] TLB切施一堂处理程序来完成
[0486.10-0487.02] 好的
[0487.02-0490.26] 本节课的内容到此就介绍完了
[0490.26-0491.70] 为了加深同学们
[0491.70-0494.66] 对本节课内容的理解和记忆
[0494.66-0495.62] 接下来
[0495.62-0500.47] 请同学们挑战几个相关的408考研整体
[0500.47-0504.54] 首先来挑战2010年的题17
[0504.54-0507.18] 请同学们暂停播放视频
[0507.18-0508.42] 思考一下
[0508.42-0510.46] 然后给出你的答案
[0510.46-0517.93] 本题的答案是选项第
[0517.93-0520.61] 相信同学们都能正确完成
[0520.61-0523.28] 我们就不再坠述了
[0523.28-0526.86] 再来挑战2015年的题16
[0526.86-0529.22] 提醒一下跨招业的同学
[0529.22-0530.74] 题目给令的指令
[0530.74-0532.38] 其执行过程为
[0532.38-0533.38] 取述
[0533.38-0534.18] 运算
[0534.18-0536.07] 结果写回
[0536.07-0536.95] 好的
[0536.95-0539.55] 请同学们暂停播放视频
[0539.55-0540.71] 思考一下
[0540.71-0547.58] 然后给出你的答案
[0547.58-0549.90] 本题的答案是选项第
[0549.90-0551.74] 大家都选对了吗
[0551.74-0554.59] 我们来一起分析一下
[0554.59-0556.87] 根据题目中的观念词
[0556.87-0559.05] 夜市虚拟存储
[0559.05-0560.58] TLB
[0560.58-0561.85] 泰式
[0561.85-0563.45] 访问主存
[0563.45-0566.80] 我们就应该想到这副流程图
[0566.80-0567.92] 题目要求
[0567.92-0570.46] 访问主存的次数最少
