[0003.12-0007.72] 同学们好,欢迎大家来到我的计算机组成原理维克堂。
[0007.72-0012.02] 在上几课中,我们对寻止方式进行了概述。
[0012.02-0020.52] 同学们知道了,广义的寻止方式可以分为指令寻止方式和操作数寻止方式两大类。
[0020.52-0026.42] 其中,操作数寻止方式比指令寻止方式要复杂和灵活。
[0026.42-0031.78] 本节课,我们给同学们介绍比较简单的指令寻止方式。
[0032.05-0041.25] 从下节课开始,我们至少要用两次课的时间给同学们介绍相对复杂而灵活的操作数寻止方式。
[0041.25-0045.86] 首先来看,指令寻止方式中的顺序寻止。
[0045.86-0055.66] 我们知道,通常情况下,构成程序的所有机器指令,也就是指令序列,在主存中是按顺序存放的。
[0056.13-0061.16] 大多数情况下,程序是按照指令序列顺序执行的。
[0061.16-0074.79] 如果知道指令序列中,第一条指令的有效地址,在该有效地址的基础上,增加一条指令所占用主存单人的数量,就可以得到下一条指令的有效地址。
[0074.79-0081.11] 这种寻找指令有效地址的方法,就称为指令的顺序寻止。
[0081.11-0094.81] 不知同学们是否还记得,我们在第一张计算机的基本工作原理的那些课中,曾给同学们举过的这个例子,该例子就是一个典型的顺序寻止的例子。
[0094.81-0101.50] 这是程序所包含的五条机器指令,它们按序存放在主存中。
[0101.74-0107.54] 初始阶段,程序技术企业PC指向指令序列中的第一条指令。
[0107.54-0118.33] 对第一条指令进行取指号,PC会自动加一,进而指向下一条指令,以便后续对该指令进行取指。
[0118.33-0128.72] 当时由于同学们是初学,为了简单起见,我们对PC会自动加一中的一,并没有比较深入的介绍。
[0129.08-0137.68] 在同学们学习了第四张存储器系统的相关指示号,我们现在进入第五张指令系统的学习。
[0137.68-0145.68] 因此,有必要对指令顺序寻止时,程序技术企业PC的相应变化做进一步讨论。
[0145.68-0149.21] 我们通过两个例子来进行讨论。
[0149.54-0159.58] 首先来看第一,假设某八位计算机,采用八位指令自成的指令系统,这是该计算机中的主存。
[0159.58-0168.66] 一般来说,按字节编织,因此该途中的每个狙行框,表示一个字节的存储单元。
[0168.66-0173.99] 每个存储单元左侧的十六净之数,是该存储单元的地址。
[0174.19-0184.39] 本地给定,采用八位指令自成的指令系统,因此,每条指令的长度为一字节,占用一个存储单元。
[0184.39-0192.18] 这是某程序所包含的指令系列的一部分,它们按序存放在主存中。
[0192.18-0201.75] 假设某个时刻,程序技术企业PC的值为零差16,它只向指令1所在的存储单元。
[0201.95-0208.35] 当指令1的前一条指令,执行完成号,就可对指令1进行取指了。
[0208.35-0217.46] 取指完成号,PC的值会自动加一,进而只向指令1的下一条指令所在的存储单元。
[0217.46-0228.28] 再来看例二,假设某16位计算机,采用16位指令自成的指令系统,这是该计算机的主存。
[0228.48-0242.26] 一般来说,按字节编纸,本利给定采用16位指令自成的指令系统,因此,每条指令的长度为两个字节,占用两个存储单元。
[0242.26-0249.54] 这是某程序所包含的指令系列的一部分,它们按序存放在主存中。
[0249.74-0259.98] 假设某个时刻,程序技术器PC的值为0016,它指向指令1所在的两个存储单元中的第一个。
[0259.98-0266.66] 当指令1的前一条指令执行完成号,就可对指令1进行取指了。
[0266.66-0277.62] 取指完成号,PC的值会自动加二,进而只向指令1的下一条指令所在的两个存储单元中的第一个。
[0278.05-0291.65] 为了简单起见,对于指令的顺序循指,通常我们会描述为,每读取一条指令,PC会自动加一,以算出下一条指令的有效地址。
[0291.65-0302.62] 但同学们应该清楚,这里的一,实际上是以字节为单位的指令字长。上述两个例子就说明了这一点。
[0302.82-0310.48] 接下来,请同学们完成这个习题。请同学们暂停播放视频,思考一下。
[0310.48-0319.62] 相信同学们都能正确完成,我们就不再追数了。
[0319.62-0324.38] 接下来,我们介绍指令寻指方式中的跳跃寻指。
[0324.38-0335.54] 如果构成程序的指令序列中,包含有分支指令或跳转指令,则当程序执行到这种指令时,就会改变执行顺序。
[0335.74-0352.26] 此时,就要采取跳跃寻指。需要说明的是,分支指令通常用于基于条件来改变指令序列的执行顺序,跳转指令通常用于无条件改变指令序列的执行顺序。
[0352.26-0359.59] 为了简单起见,我们以跳转指令为例,来说明指令寻指方式中的跳跃寻指。
[0359.59-0365.42] 这是我们之前介绍指令顺序寻指时所采用的相似例子。
[0365.82-0377.02] 只不过对于本地,我们给出了指令一的具体内容,可以发现,这是一条跳转指令,要跳转到主存地址零差18处。
[0377.02-0386.17] 假设某个时刻,程序技术器PC的指为零差16,它指向指令一所在的存储单元。
[0386.17-0392.82] 当指令一的前一条指令执行完成号,就可对指令一进行取指了。
[0393.64-0402.33] 取指完成号,PC的指会自动加一,进而指向指令一的下一条指令所在的存储单元。
[0402.33-0407.73] 我们知道,CPU取指完成号,会对取到的指令进行一码。
[0407.73-0413.13] 一码完成号,CPU就知道了,应该进行怎样的操作。
[0413.13-0419.33] 于是,执行该操作,也就是跳转到主存地址零差18处。
[0419.59-0423.19] 这需要将PC的指设置为零差18。
[0423.19-0430.82] 当指令执行完成号,PC的指被设置为零差18,进而指向了指令三。
[0430.82-0445.97] 通过本地可以看出,对于指令的跳跃寻指,下一条指令的地址不是通过PC的指自动加一来获得的,而是由本条指令以及需要测试的条件决定的。
[0446.43-0451.47] 本地为了简单起见,为五条件跳转指令。
[0451.47-0455.10] 好的,本节课到这里就结束了。
[0455.10-0458.90] 我们将本节课的主要内容小结如下。
[0458.90-0464.36] 同学们,我们下节课见!
