[0003.02-0007.22] 同学们好,欢迎大家来到我的计算机组成员里威克唐。
[0007.22-0011.52] 本节课,我们给同学们介绍开始的写入策略。
[0011.52-0020.82] 在前几次课中,我们给同学们介绍了要读取某个主存地址中的内容时,对开始进行的相关操作。
[0020.82-0025.22] 对于数据命中,也就是读开始命中的情况。
[0025.42-0033.15] 直接从开始中读取数据即可,对于数据缺失,也就是读开始未命中的情况。
[0033.15-0039.35] 将数据所在主存数据框,从主存再入到开始中相应的太长。
[0039.35-0051.22] 若该太长之前不为空,则使用替换算法,例如随机替换,fifle算法,lfu算法,lru算法,进行替换。
[0051.42-0055.04] 之后,从该开始行中读取数据。
[0055.04-0064.00] 在本节课中,我们给同学们介绍要给某个主存地址写入内容时对开始进行的相关操作。
[0064.00-0072.42] 同样分为数据命中和数据缺失两种情况,不同情况下采用不同的写入策略。
[0072.42-0077.32] 首先来看写开始命中情况下所采用的写入策略。
[0077.42-0079.81] 我们以全相联应设为例。
[0079.81-0089.10] 该图所展示的状态表明,开始中的四个开始行,已经按全相联应设规则,再入了相应的主存数据框。
[0089.10-0093.40] 假设此时要向该主存单元写入新数据。
[0093.40-0098.80] 首先根据该主存单元的地址,在开始中进行快速查找。
[0098.80-0106.06] 不知同学们是否还记得,全相联应设方式下,在开始中进行快速查找的方法。
[0106.49-0114.59] 对于本地中的四行全相联应设,这实际上是用该主存单元地址中数据块地址部分的值,
[0114.59-0118.99] 与个开始行中标记Tag的值进行并发比较。
[0118.99-0121.79] 结果为地铃行开始命中。
[0121.79-0133.35] 于是按该主存单元地址中画那偏一部分的值,将带写入的新数据写入该开始行中数据块数本缓冲区的相应位置。
[0133.88-0141.97] 也就是说,当写开始命中时,只将新数据写入相应开场,而不立即写入主存。
[0141.97-0147.27] 但这样会导致开始与主存中数据不一致。
[0147.27-0150.63] 我们将这种数据成为脏数据。
[0150.63-0157.39] 加上一段时间后,该开始行中的数据块需要替换为主存数据块四。
[0157.39-0170.40] 则,首先要将脏数据写回主存号,才能替换掉该开始行中原有的主存数据块,如读所示。
[0170.40-0177.04] 相应的,该开始行中标记Tag的值会被更新为主存数据块四的地址。
[0177.04-0185.24] 在本例中,我们使用特定颜色的小方格来表示脏数据,同学们是非常容易看懂的。
[0185.24-0190.50] 然而,如何让计算机也能看懂呢?
[0190.50-0197.03] 方法很简单,只要在各开场中都添加一个脏数据标志位即可。
[0197.03-0204.56] 脏数据标志位的值为一,表明该开场中数据块数本缓冲区中包含有脏数据。
[0204.56-0212.70] 值为零则表明没有脏数据,假设现在该开场中的数据块需要替换。
[0212.70-0218.74] 根据该开场中的脏数据标志位的值为一可值,该行有脏数据。
[0218.74-0226.53] 于是,首先将该行的脏数据写入主存,然后再将该行数据块替换。
[0226.53-0236.52] 相应的,需要将该行的脏数据标志位的值清零,标记太克的值更新为新替换进来的主存数据块的地址。
[0236.52-0241.68] 假设一段时间后,该开场中的数据块又需要替换。
[0241.68-0247.68] 根据该行中的脏数据标志位的值为零可值,该行没有脏数据。
[0247.68-0252.20] 直接替换该行数据块即可,我们就不再掩饰了。
[0252.20-0262.49] 我们将上述这种写入策略总结如下,这种写入策略称为写回法,有着教材称其为回写法。
[0262.49-0273.49] 不难看出,写回法大大降低了写主存的次数,但是存在开始与主存中数据不一致的潜在隐患。
[0273.49-0278.28] 可能导致DMA操作时出现数据不一致的问题。
[0278.28-0290.08] DMA操作我们还没有学到,可简单理解为外部设备可以通过DMA来直接访问主存,而不需要通过CPU来访问主存。
[0290.08-0298.60] 这样外部设备通过DMA访问主存时,可能主存中的数据与开始中的数据不一致。
[0298.60-0306.82] 写开始命中的情况下,还可以使用另一种写入策略,这种写入策略称为写穿法。
[0307.02-0319.51] 有的教材称其为通写法、直写法、写直达法,具体操作很简单,也就是对开始和主存中的同一数据化都写入同一新数据。
[0319.51-0328.68] 因此,写穿法不需要为每个开场配置一个当数据标志位,也就不需要相应的判别逻辑。
[0328.68-0334.20] 在需要进行开场中数据化替换时,直接替换即可。
[0334.20-0345.49] 不难看出,写穿法大大增加了写操作的开销,因为不但要将数据写入快速开始,还要将其写入慢速主存。
[0345.49-0353.40] 但是在单CPU系统中,写穿法可使开始与主存的一致性得到保证。
[0353.40-0363.12] 在英特尔80486CPU的早期版本中,其片内开始在写开始命中时,采用的就是写穿法。
[0363.45-0366.35] 而后期版本改为写回法。
[0366.35-0383.63] 请同学们注意,对于目前主流的多核CPU和DMA高速外设,无论采用写回法还是写穿法,都可能导致开始与主存中的数据不一致,需要其他同步机制来解决。
[0383.63-0389.91] 接下来,我们来看写开始未命中情况下所采用的写入策略。
[0390.30-0395.60] 写分配法,分为写穿方式和写回方式两种。
[0395.60-0406.52] 对于写穿方式,首先将新数据写入到主存中,相应数据块的相应位置,然后在开始中分配一个开长。
[0406.52-0411.90] 将主存中新数据所在数据块再入到该开长。
[0411.90-0427.32] 对于写回方式,首先在开始中分配一个开长,将新数据所在主存数据块再入到该开长中,然后将新数据写入该开长中数据块的相应位置。
[0427.32-0444.93] 不难看出,写分配法可以充分利用空间举不性,但是还要从主存再入数据块到开始,增加了读主存的开销,而其写回方式还存在开始与主存一致性问题。
[0444.93-0449.99] 写开始未命中的情况下,还可以使用另一种写入策略。
[0449.99-0464.54] 这种写入策略称为非写分配法,具体操作很简单,仅将新数据写入到主存中相应数据块的相应位置,而不再入主存数据块到开始中。
