[0004.88-0009.28] 同學們好,歡迎大家來到我的計算機組成原理維克堂
[0009.28-0015.36] 在上一課中,我們給同學們介紹了維程序控制器的相關基本概念
[0015.36-0019.43] 在同學們對維程序控制器有了出不了解後
[0019.43-0023.99] 本節課,我們給同學們介紹維程序控制器的組成
[0023.99-0031.43] 如讀所示,維程序控制器主要由控制存儲器、地質轉移邏輯
[0031.88-0035.56] 以及微地質計存器三大部分組成
[0035.56-0042.09] 其中,控制存儲器用於存放指令集中各條指令的微程序
[0042.09-0046.34] 控制存儲器的字長等於微指令的字長
[0046.34-0053.12] 其存儲容量取決於所有指令的微程序總共包含的微指令的數量
[0053.12-0057.70] 每次可從控制存儲器讀取一條微指令
[0057.70-0063.35] 微指令由操作控制字段、判別測試字段
[0063.58-0067.14] 以及下指字段三部分組成
[0067.14-0070.24] 其中,操作控制字段的值
[0070.24-0074.84] 通過控制總線傳輸到所有執行部件的控制點
[0074.84-0078.48] 控制相關部件執行相應的微操作
[0078.48-0083.31] 例如,在我們之前多次課中都用來舉例說明
[0083.31-0087.71] 基於CPU內部單總線的數據通入的NAS圖中
[0087.71-0091.39] 這些都是相關執行部件的控制點
[0092.19-0094.63] 微指令中的判別測試字段
[0094.63-0097.56] 用於實現地址邏輯轉移
[0097.56-0099.76] 微指令中的下指字段
[0099.76-0103.36] 用於指出即將讀取的下一條微指令
[0103.36-0105.52] 在控制存儲器中的地址
[0105.52-0107.49] 需要說明的是
[0107.49-0109.37] 為了方便描述問題
[0109.37-0112.25] 圖中給出的是微指令的格式
[0112.25-0113.97] 而不是用於暫存
[0113.97-0118.37] 從控制存儲器中取出的微指令的微指令寄存器
[0118.37-0120.58] 請同學們注意
[0120.74-0125.14] 微指令寄存器也是微程序控制器的組成部分
[0125.14-0127.78] 匯編程序源不可見
[0127.78-0131.94] 再來看微程序控制器的另一個重要組成部分
[0131.94-0134.87] 那就是微地址寄存器
[0134.87-0140.15] 微地址寄存器為控制存儲器提供讀取微指令的地址
[0140.15-0145.92] 也就是微地址如讀所示
[0145.92-0148.68] 微地址寄存器初始化為0
[0148.68-0152.20] 相應的,在控制存儲器的0號單元
[0152.20-0157.39] 存儲的應該是取寄令微程序的第一條微指令
[0157.39-0160.11] 這樣,系統上電啟動號
[0160.11-0165.35] 會自動讀取控制存儲器中存儲的取寄令的微程序
[0165.35-0167.67] 並開始取寄令的操作
[0167.67-0174.02] 如讀所示
[0174.02-0175.98] 微地址寄存器的輸入
