[0003.92-0008.40] 同學們好,歡迎大家來到我的計算機組成原理維克堂
[0008.40-0014.00] 在上節課中,我們給同學們介紹了異常與中斷的處理過程
[0014.03-0019.63] 我們知道,整個中斷處理過程是硬件和軟件協同實現的
[0019.73-0024.13] 因此,從本節課開始,我們要用三次課的時間
[0024.13-0029.97] 從硬件角度給同學們介紹,如何為CPU增加中斷處理功能
[0030.19-0034.75] 本節課,我們給同學們介紹針對數據通路的改造
[0034.75-0038.10] 我們仍然以之前多次課中都採用的
[0038.10-0042.74] 基於CPU內部單總線結構的數據通路為例進行介紹
[0042.74-0047.87] 為了將重點放在中斷處理相關部件並方便畫圖
[0047.87-0051.31] 我們將該圖中的算數邏輯單元ALU
[0051.31-0053.95] 程序狀態自計存器PSW
[0053.95-0056.99] 計存器組等相關部件引去
[0056.99-0058.35] 如同所示
[0059.66-0065.26] 我們在CPU內部單總線上掛接一個異常指令地址計存器EPC
[0065.26-0068.45] 該計存器用於保存斷點
[0068.45-0070.61] 根據我們之前學習過的
[0070.61-0074.05] 有關異常與中斷的相關基本概念可知
[0074.05-0077.65] 斷點可能是異常指令地址的PC值
[0077.65-0080.21] 也可能是下一條指令的地址
[0080.21-0084.80] 將該計存器掛接在CPU內部單總線上的原因是
[0084.80-0088.88] 它需要與程序技術企業PC進行數據交換
[0089.04-0092.86] 也就是要保存斷點和返回斷點
[0092.86-0097.50] 與掛接在CPU內部單總線上的其他計存器類似
[0097.50-0102.16] 也需要給該計存器配套提供兩個控制信號
[0102.16-0105.04] 除異常指令地址計存器EPC外
[0105.04-0108.96] 還需要添加一個中斷使能位計存器IE
[0108.96-0111.44] 其職為1時開中斷
[0111.44-0114.14] 其職為0時關中斷
[0114.14-0117.86] 通過控制信號STI是IE-1
[0117.94-0121.14] 通過控制信號CLI是IE-10
[0121.68-0125.12] 此外還需要添加中斷控制邏輯
[0125.12-0129.01] 用於中斷識別和中斷優先級處理
[0129.01-0130.45] 在本例中
[0130.45-0136.45] 假設CPU支持四個Wav中斷元SA、SB、SC以及SD
[0136.45-0141.12] 則這四個中斷元中的一個或多個產生中斷時
[0141.12-0145.76] 中斷控制邏輯一方面產生中斷請求信號
[0145.92-0149.76] 同時還輸出優先級最高的中斷元的編號
[0149.76-0151.68] 簡稱為中斷號
[0151.68-0156.06] 中斷請求信號作為語文的其中一個輸入
[0156.06-0158.06] 語文的另一個輸入
[0158.06-0160.78] 來自中斷使能位計存器IE
[0160.78-0165.15] 將語文的輸出連接到控制器的中斷輸入端
[0165.15-0169.68] 這樣當IE的控制信號STI有效時
[0169.68-0171.20] IE被質疑
[0171.20-0173.76] 這相當於將語文打開
[0173.76-0176.72] 來自中斷控制邏輯的中斷請求
[0176.72-0180.96] 直接通過該語文連接到控制器的中斷輸入端
[0180.96-0183.54] 這就是開中斷操作
[0183.54-0185.63] 我們來舉例說明
[0185.63-0188.51] 假設在完成開中斷操作後
[0188.51-0192.27] 中斷元SA和SD都產生了中斷
[0192.27-0194.72] 相應的信號為有效
[0194.72-0198.80] 則中斷控制邏輯一方面產生中斷請求信號
[0198.80-0200.46] IE表示有效
[0200.46-0205.82] 同時還輸出這兩個中斷元中優先級高的中斷元的中斷號
[0205.98-0209.66] 我們假設SA的優先級高於SD
[0209.66-0214.80] 中斷請求信號通過語文到達控制器的中斷輸入端
[0214.80-0216.00] 如同所示
[0216.00-0223.73] 此時控制器因進行中斷響應的一系列控制操作
[0223.73-0224.69] 例如
[0224.69-0229.92] 關中斷保存斷點進入相應的中斷服務程序
[0229.92-0230.88] 相應的
[0230.88-0233.76] 我們還需要引入一個多路選擇器
[0233.76-0237.76] 該多路選擇器被用來選擇四路固定的地址
[0237.92-0240.00] 也就是四個中斷元
[0240.00-0243.81] 各自相應的中斷服務程序的入口地址
[0243.81-0246.93] 該多路選擇器的選擇輸出控制端
[0246.93-0250.77] 連接到中斷控制邏輯的中斷號輸出端
[0250.77-0255.73] 由中斷號來決定應將哪個中斷服務程序的入口地址
[0255.73-0258.59] 通過多路選擇器進行輸出
[0258.59-0259.71] 對於本地
[0259.71-0264.74] 是將中斷元SA的中斷服務程序入口地址進行輸出
[0264.74-0266.42] 需要說明的是
[0266.50-0270.42] 採用多路選擇器是為了便於同學們理解
[0270.42-0272.34] 而在具體實現時
[0272.34-0275.94] 中斷服務程序入口地址並不是固定的
[0275.94-0277.86] 可以通過中斷限量表
[0277.86-0280.18] 訪問存儲器來獲取
[0280.18-0284.26] 我們將在後續iOS系統那一張進行介紹
[0284.26-0285.14] 至此
[0285.14-0288.46] 我們就完成了對數據通路的改造
[0288.46-0289.34] 接下來
[0289.34-0293.18] 我們還需要對控制器進行相應的改造
[0293.18-0294.54] 後續兩節課
[0294.54-0300.58] 我們將分別針對應不限控制器和微程序控制器進行改造
[0300.58-0301.38] 好的
[0301.38-0303.86] 本節課到這裡就結束了
[0303.86-0304.66] 同學們
[0304.66-0306.18] 我們下節課見
