[0003.34-0007.54] 同学们好,欢迎大家来到我的计算机组成原理维克堂。
[0007.54-0012.82] 在上节课中,我们给同学们介绍了指令周期的相关知识。
[0012.82-0018.06] 本节课,我们给同学们介绍指令周期各阶段的数据流。
[0018.06-0023.95] 数据流是指,为实现指令功能,需要依次访问的数据序列。
[0023.95-0031.62] 请同学们注意,在指令周期的不同阶段,需要依次访问的数据序列是不同的。
[0031.78-0036.26] 另外,不同指令的数据流,也很可能是不同的。
[0036.26-0048.30] 通过上节课的学习,我们知道,指令周期可化分为,取指周期、坚指周期、执行周期、中段周期。
[0048.30-0052.05] 我们首先来看取指周期的数据流。
[0052.05-0058.43] 在取指周期阶段,需要完成任务时,根据程序技术器PC的值,
[0058.59-0063.94] 从主存中取出指令,并送入指令计存器IR。
[0063.94-0068.50] 我们在下图的基础上,划出取指周期阶段的数据流,
[0068.50-0076.96] 将程序技术器PC的值,也就是当前指令的地址,送到存储器地址计存器MAR中。
[0076.96-0085.12] 进而可以通过地址总线传送到主存,之后,由控制单元CEO通过控制总线,
[0085.20-0093.17] 向主存发送,读命令,使得PC所指向的主存单元,其内容,也就是指令,
[0093.17-0101.70] 通过数据总线传送到存储器数据计存器MDR中,再送入指令计存器IR中。
[0101.70-0112.83] 这样,IR中的内容就是取到的指令,之后,控制单元CEO,控制PC的内容加一,形成下一条指令的地址。
[0113.70-0119.92] 再来看兼指周期的数据流,在兼指周期阶段,需要完成的任务是,
[0119.92-0126.00] 根据指令中的地址码,从主存中获取操作数的有效地址,
[0126.00-0135.87] 将指令计存器IR中的内容,也就是指令,形式地址部分,记作AD-IR,
[0135.87-0143.10] 送到存储器地址计存器MAR中,进而可以通过地址总线传送到主存,
[0143.57-0150.05] 之后,由控制单元CEO,通过控制总线,向主存发送,读命令,
[0150.05-0157.34] 使得形式地址所指向的主存单元,其内容,也就是操作数的有效地址,
[0157.34-0162.78] 通过数据总线传送到存储器数据计存器MDR中。
[0162.78-0168.24] 这样,MDR中的内容就是取到的操作数的有效地址,
[0169.28-0175.70] 再来看执行周期的数据流,不同的指令在执行周期的操作不同,
[0175.70-0181.90] 可能涉及以下操作,CPU内部计存器之间的数据传送,
[0181.90-0190.16] 对主存或IO进行读写操作,对算数运算单元ALU的操作,
[0190.16-0196.35] 从上所述,执行周期无法用统一的数据流途来表示,
[0196.51-0200.90] 再来看中断周期的数据流,在中断周期阶段,
[0200.90-0208.90] 需要完成的任务是,保存断点,将中断服务程序的入口地质送入程序技术器PC,
[0208.90-0214.05] 我们在下屠的基础上画出中断周期阶段的数据流,
[0214.05-0220.42] 在控制单元CPU的控制下,首先将程序断点进行压占操作,
[0220.58-0225.14] 将堆占指针SP的内容-1号重新送入SP,
[0225.14-0227.54] 以便SP指向占定,
[0227.54-0231.33] -1的原因,不知同学们是否还记得,
[0231.33-0236.88] 我们在前一张有关操作数寻指方式的第二次课中,
[0236.88-0240.32] 曾给同学们介绍过堆占寻指方式,
[0240.32-0245.98] 我们知道占是向下增长的,也就是向低地址增长的,
[0246.14-0251.82] 这就是SP的内容-1,以便SP指向占定的原因,
[0251.82-0256.86] 将SP的内容送到存储器地址计存器MAR中,
[0256.86-0260.58] 今儿可以通过地址总线传送到主存,
[0260.58-0265.12] 只好由控制单元CPU通过控制总线,
[0265.12-0271.36] 向主存发送写命令,并将PC的值,也就是程序断点,
[0271.52-0275.14] 送到存储器数据计存器MBR中,
[0275.14-0278.74] 今儿可以通过数据总线存入主存,
[0278.74-0284.10] 具体来说就是,将程序断点存入了位于主存中的站中,
[0284.10-0290.08] 此外,CPU还要将中断服务程序的入口地址送入PC中,
[0290.08-0293.92] 为下一条指令周期的取指周期做好准备。
[0293.92-0297.89] 好的,本节课到这里就结束了,
[0298.13-0302.77] 请同学们快速回忆一下本节课的主要内容,
[0302.77-0321.54] 同学们,我们下节课见!
