[0003.22-0007.74] 同学们好,欢迎大家来到我的计算机组成员里威克唐
[0007.74-0014.66] 在上几课中,我们首先给同学们介绍了夜市虚拟存储器的访问流程
[0014.66-0020.02] 这是页面命中的情况,这是页面缺失的情况
[0020.37-0027.09] 之后,我们还给同学们介绍了结合开市的夜市虚拟存储器的访问流程
[0027.09-0032.22] 这是最理想的情况,这是比较糟糕的情况
[0032.85-0038.13] 最后,还请同学们思考了最糟糕的情况是怎样的
[0038.13-0044.32] 通过夜市虚拟存储器的上述访问流程,我们得出了这样的结论
[0044.32-0050.88] 那就是才有虚拟存储器技术会影响存储器的访问性能
[0050.88-0056.24] 那么本节课呢,我们给同学们介绍对其进行改善的方法
[0056.24-0060.51] 那就是使用快表来加速地址转化
[0060.90-0067.94] 为了加快存储器管理单元MMU进行虚拟地址到物理地址转换的速度
[0067.94-0072.98] 现在处理器内部都包含有一个转换后备缓冲器
[0072.98-0077.14] 专门用于缓存经常访问的夜表像
[0077.14-0081.28] 转换后备缓冲器的英文缩写词为TLB
[0081.28-0085.25] 可将TLB看作是一个容量讲小的开始
[0085.25-0090.13] 只不过仅用于缓存经常访问的夜表像
[0090.77-0094.29] 由于TLB的访问速度远高于主存
[0094.29-0098.53] 因此通常将TLB表称为快表
[0098.53-0102.21] 相应的将主存中的夜表称为慢表
[0102.21-0104.72] 为了提高查找速度
[0104.72-0109.12] TLB一般采用全相连或组相连方式
[0109.12-0114.13] 出现TLB缺失时,常采用随机替换算法
[0114.13-0119.84] 我们之前学习过开始主存系统中的三种地址应设方式
[0120.00-0125.20] 我们知道,不同地址应设方式有不同的地址划分方法
[0125.20-0127.28] 请同学们回忆一下
[0127.28-0132.16] 开始主存系统中的三种地址应设方式分别是什么
[0132.16-0134.40] 他们各自的地址划分
[0134.40-0138.56] 或者说,主存地址的构成是怎样的呢?
[0138.56-0148.27] 对于TLB可看作是夜市心理存主器系统中
[0148.27-0152.75] 专门用于缓存经常访问的夜表像的专用开始
[0152.91-0157.47] 因此,对于TLB采用不同的地址应设方式
[0157.47-0160.38] 其地址划分也是不同的
[0160.38-0167.26] 这是我们之前在有关夜市心理存主器的地址应设和夜表的那些课中
[0167.26-0171.02] 给同学们介绍过的心理地址的构成
