[0003.12-0007.60] 同学们好,欢迎大家来到我的计算机组成原理维克堂。
[0007.60-0014.80] 从本节课开始,我们要用几册的时间,给同学们介绍指令执行过程的相关知识。
[0014.80-0020.64] 主要包括指令执行的一般流程,指令中期的相关基本概念。
[0020.64-0024.24] 本节课,我们介绍指令执行的一般流程。
[0024.24-0031.47] 我们知道,计算机的本质任务,就是运行事先编制好,并存放在主存中的程序,
[0031.63-0033.79] 进而实现用户应用。
[0033.79-0040.43] CPU内的控制器,按照程序所对应的机器指令序列,逐条执行指令。
[0040.43-0047.39] CPU商量复位后,就进入了取指指令一般执行指令的永久循环。
[0047.39-0056.64] 对于上述过程,我们早在本课程第一章有关计算机的基本工作原理的那节课中,就给同学们简单介绍过。
[0056.86-0066.78] 经过第二到第五章的学习,同学们应该已经具备了对CPU上述工作循环进行细化和进一步学习的能力。
[0066.78-0074.22] 进而对中央处理器CPU的基本工作原理有更深入的理解,这也是本章的学习目标。
[0074.22-0081.63] 接下来,我们来一起写出,在CPU内的控制器的控制下,指令执行的一般流程。
[0082.03-0089.47] 首先,通过程序进入器PC的纸,找到指令所在的主存单元,竟然可以取到指令。
[0089.47-0095.20] 与此同时,PC的纸会被加一,一边只向下一条指令。
[0095.20-0100.24] 请同学们注意,这里的加一是指所取指令的程度。
[0100.24-0104.67] 取指令完成后,就可以对指令进行一码了。
[0104.67-0108.91] 根据指令一码的结果,就可以知道指令的功能。
[0109.23-0112.83] 根据指令功能,进入不同的执行路径。
[0112.83-0118.90] 为了简单起见,我们这里仅给出分支指令和其他指令两种选择。
[0118.90-0123.70] 若不是分支指令,就执行指令以实现指令功能。
[0123.70-0127.95] 指令执行完毕后,还需要进行中断请求的判断。
[0127.95-0133.98] 如果控制器检测到中断请求,则CPU就会进入中断响应阶段。
[0134.29-0140.86] 中断响应结束后,则进入下一个取指令指令一码指令执行的循环。
[0140.86-0149.58] 如果控制器未检测到中断请求,则CPU直接进入下一个取指令指令一码指令执行的循环。
[0149.58-0160.21] 如果之前所取指令为分支指令,并且满足分支条件,则仅需要重新修改PC的纸作为分支目标地址即可。
[0160.46-0170.22] 需要说明的是,执行指令可进一步细化为,取操作数,执行相应运算,存放运算结果。
[0170.45-0180.29] 在该流程途中,我们仅给出了分支指令和其他指令两种选择,实际上也有可能为无条件的挑战指令。
[0180.91-0194.94] 另外,中断相应可进一步细化为,关中断,保存断点,将中断服务程序的入口地址送入PC,执行中断服务程序,返回断点处。
[0194.94-0198.90] 好的,本节课到这里就结束了。
[0198.90-0202.26] 我们将本节课的主要内容小结如下。
[0202.26-0208.13] 同学们,我们下节课见!
