[0003.28-0007.28] 同学们好,欢迎大家来到我的计算机组成员里维克堂。
[0007.28-0013.28] 本节课是有关CPU内部采用单总线数据通路的第二次习题课。
[0013.28-0019.78] 在本次习题课中,我们安排了两道相关的4081年考研的综合大题。
[0019.78-0023.28] 首先来挑战2015年的题43。
[0023.28-0029.78] 请同学们暂停播放视频,务必认真审题,之后我们来一起分析。
[0029.78-0037.46] 好的,我们来一起分析本大题的第一小题。
[0037.46-0044.25] 该小题的第一问要求我们回答,右侧图中哪些计存器是程序员可见的。
[0044.25-0050.75] 不知同学们是否还记得,我们在本章的第一次课中就给同学们介绍过这个问题。
[0050.75-0059.75] 在那些课中,我们还请同学们挑战过有关该问题的一道408考研真题,也就是2010年的题18。
[0059.75-0067.75] 同样的问题,在2015年的题43中又出现了,只不过这次稍微换了一下考察形式。
[0067.75-0075.75] 题目给定,图中的R0-R3为通用计存器,而程序计数器PC我们已经非常熟悉了。
[0075.75-0082.75] 因此,右图中程序员可见的计存器有,通用计存器R0-R3,程序计数器PC。
[0082.75-0092.75] 另外,请同学们不要忘记了,程序状态字计存器PSW,也是认程序员可见的计存器,只是在该图中并未给出。
[0092.75-0098.97] 第一小题的第二问要求我们回答,在右图中,为何要设置暂存器T?
[0098.97-0112.42] 有关给算数逻辑单元ALU配套提供暂存计存器的问题,实际上我们在上上节有关CPU内部采用单总线数据通路的那些课中就给同学们介绍过了。
[0112.42-0123.42] 此外,在上节习迪克408考研2009年的提44的硬价框图中,算数逻辑单元ALU也配套提供了暂存计存器。
[0123.42-0133.42] 相信我们在分析,基于CPU内部单总线结构的数据通路时,同学们已经领会到了为什么要给ALU配套提供暂存计存器。
[0134.42-0147.42] 对于本题,ALU的操作数A和B都需要经过单总线来传送,我们知道A和B不可能同时通过单总线传送给ALU,因为这样会造成数据冲突。
[0147.42-0156.42] 从上数数A和B需要分时通过单总线传送给ALU,这样就需要暂存器T,暂存其中一个操作数。
[0156.42-0172.42] 另外,ALU的运算结果会送入图中所示的一位计存器S2,可将S2看作是比我们之前遇到过的给ALU的运算结果配套提供的暂存计存器,就有更多功能的暂存计存器。
[0172.42-0186.19] 再来分析本大题的第二小题,题目给定,ALU可实现七种操作,因此图中ALU的控制信号ALUOP至少应有七种不同的组合状态,
[0187.19-0201.19] 每一种组合状态用来表示一种ALU操作,从上所述,控制信号ALUOP的位数至少为三,因为二的三字方等于八,也就是三个二进之位可有八种组合状态。
[0201.19-0212.19] 再来分析本大题的第三小题,题目给定,一位计存器S2可实现三种操作,因此图中ALU的控制信号ALUOP至少应有三种不同的组合状态,
[0212.19-0227.67] 每一种组合状态用来表示一种ALU操作,从上所述,控制信号ALUOP的位数至少为二,因为二的二字方等于四,也就是两个二进之位可有四种组合状态。
[0227.67-0237.53] 再来分析本大题的第三小题,题目要求我们给出,图中控制信号ALUOP所控制部件的名称或作用。
[0237.53-0248.53] 不难看出,一位计存器S2的内容需要通过该部件才能送到CPU内部的单总线上,而能否通过该部件取决于控制信号ALUOP。
[0248.53-0264.53] 不知同学们是否还记得,我们在上上节有关CPU内部采用单总线数据通路的那些课中,就给同学们介绍过,CPU内部各个计存器的内容需要通过相应的三太门,才能送到CPU内部的单总线上。
[0264.53-0276.53] 各三太门在其相应控制信号的控制下打开或关闭,这样就可以确保同一时刻仅有一个计存器访问单总线以避免数据冲突。
[0276.53-0288.53] 此外,在上节习历课,308考研,2009年的提及44的印假框图中,需要向CPU内部单总线发送信息的计存器,都有其各自相应的三太门。
[0288.53-0296.53] 相信我们在分析,基于CPU内部单总线结构的数据通路时,同学们已经领会到了三太门的作用。
[0296.53-0306.53] 从上所述,本题中的该部件为三太门,该三太门用于将一位性能器SR受控接入到CPU内部的单总线。
[0306.53-0314.53] 换句话说,SROUT控制三太门的打开与关闭,竟然将SR接入总线或从总线断开。
[0314.53-0318.11] 再来分析本大题的第四小题。
[0318.11-0325.65] 题目要求我们给出,图中端点一到九中,哪些端点必须连接到控制部件的输出端。
[0325.65-0336.65] 经过之前的分析,我们知道,一位计存器SR相应的三太门的控制信号SROUT是由控制部件产生的,用于控制三太门的打开或关闭。
[0336.65-0344.68] 一位计存器SR的操作控制信号SROP是由控制部件产生的,用于控制SR执行哪种操作。
[0344.68-0352.68] 算数逻辑单元ALU的操作控制信号ALUOP是由控制部件产生的,用于控制ALU执行哪种操作。
[0352.68-0363.81] 此外,暂存器T的控制信号TIN,也应该是由控制部件产生的,用于控制是否将CPU单总线上传送的信息写入暂存器T。
[0363.81-0373.81] 多路选择器Max的控制信号MaxOP也应该是由控制部件产生的,用于控制多路选择器将两路输入中的哪一路进行输出。
[0373.81-0377.81] 这次,我们就完成了本大题第四小题的解析。
[0377.81-0380.81] 再来分析本大题的第五小题。
[0380.81-0386.68] 屏幕要求我们对图中所给的单总线数据通路进行完善。
[0386.68-0397.68] 根据我们之前的学习和作题经验,不难发现,本图中的端点4,端点7,端点9,端点6,还没有完成连接。
[0397.68-0402.68] 我们需要在他们之间进行相应连接,以完善单总线数据通路。
[0402.68-0410.68] 具体连接为单总线上的端点6,连接到多路选择器Max的其中一路输入,也就是端点9。
[0410.68-0420.68] 多路选择器Max的输出,也就是端点7,连接到算数逻辑单元LU的超多数B的输入端,也就是端点4。
