[0004.82-0009.02] 同学们好,欢迎大家来到我的计算机组成原理维克堂。
[0009.02-0016.02] 在上几课中,我们给同学们介绍了三级实序应不限控制器的一般设计流程。
[0016.02-0023.22] 在此基础上,本节课我们给同学们介绍现在实序应不限控制器的相关知识。
[0023.22-0034.18] 现在实序应不限控制器不再采用多级实序体制,也就是对操作控制信号的定时,直接采用基本时钟信号。
[0034.18-0042.58] 而不再采用基于基本时钟信号产生的节拍卖充信号、节拍电位信号以及状态周期信号。
[0042.58-0052.26] 而是给指令集中的每一条指令的执行过程都按需分配相应数量的时钟周期,以提高程序执行效率。
[0052.26-0059.66] 如读所示,这是上节课给同学们介绍过的传统三级实序应不限控制器的组成。
[0059.86-0066.86] 对于现代实序应不限控制器,就不再需要状态周期信号和节拍电位信号了。
[0066.86-0082.26] 因此,传统三级实序应不限控制器中的实序发生器的用于产生状态周期信号和节拍电位信号的这部分组合逻辑电路,对于现代实序应不限控制器而言,也就不再需要了。
[0082.66-0092.06] 而将状态计存器输出的现态,直接作为应不限控制器组合逻辑单元的输入,用于产生相应的操作控制信号。
[0092.06-0097.94] 这样,我们就得到了现代实序应不限控制器的组成框图。
[0097.94-0104.10] 现在需要解决的问题就是,如何设计有限状态机组合逻辑。
[0104.10-0107.70] 如何设计应不限控制器组合逻辑单元。
[0108.03-0114.03] 那么接下来呢,我们就给同学们介绍现代实序应不限控制器的设计流程。
[0114.03-0121.47] 这是我们上节课给同学们介绍的三级实序应不限控制器的一般设计流程。
[0121.47-0126.47] 我们来对比给出现代实序应不限控制器的一般设计流程。
[0126.47-0134.62] 步骤一是相同的,也就是对指令集中每一条指令执行时的数据通路进行分析。
[0134.82-0140.82] 得出每一条指令的执行操作流程和每一部操作所需的控制信号。
[0140.82-0149.01] 步骤二是不同的,也就是将每一条指令的每一个微操作划分到具体的时钟周期,
[0149.01-0152.81] 也就是对操作控制信号进行定时控制。
[0152.81-0158.93] 步骤二之所以不同,是因为对于现代实序应不限控制器而言,
[0158.93-0166.13] 传统三级实序应不限控制器中的状态周期信号和节拍电位信号已经不存在了。
[0166.13-0171.67] 由于步骤二是不同的,相应的步骤三也不同。
[0171.67-0178.20] 步骤三是以时钟周期为单位,划出指令执行的状态转换图,
[0178.20-0185.62] 得出状态转换表,构造相应的有限状态机,相应的步骤四也不同。
[0185.85-0191.25] 步骤四是同计每一个控制信号产生的所有状态条件,
[0191.25-0195.25] 竟然写出每一个控制信号的逻辑表达式。
[0195.82-0199.82] 完成上述四个步骤后,就要进入步骤五,
[0199.82-0205.42] 采用逻辑门和编程逻辑阵列PLA或指读存储器ROM
[0205.42-0209.62] 来实现每一个控制信号的逻辑表达式的功能。
[0209.62-0215.62] 该步骤与三级实序应不限控制器的设计流程中的步骤五是相同的。
[0216.07-0220.87] 接下来,我们仍然以基于CPU内部单总线的数据通路
[0220.87-0224.87] 和LiPS32指令集中的五条典型指令为例,
[0224.87-0230.27] 给同学们介绍现代实序应不限控制器的设计,如都所示,
[0230.27-0236.83] 这是我们上级课计传统三级实序应不限控制器时就分析过的内容。
[0236.83-0242.86] 这可以作为现代实序应不限控制器设计流程中的前两个步骤。
[0243.06-0247.26] 只不过,左侧表格中的状态周期和节拍电位
[0247.26-0251.85] 对于现代实序应不限控制器而言是不存在的。
[0251.85-0254.85] 这样,我们就可以基于左侧表格
[0254.85-0260.25] 进行现代实序应不限控制器设计流程中的步骤三和步骤四。
[0260.25-0265.50] 进而通过步骤五来实现现代实序应不限控制器。
[0265.50-0272.38] 从这张表格可以探出,这是取指令过程中所需要的控制信号。
[0272.38-0278.23] 这是计算操作数有效地址过程中所需要的控制信号。
[0278.23-0282.23] 这是指令执行过程中所需要的控制信号。
[0282.23-0288.32] 为了看得清楚,我们只保留表格中的这些控制信号即可。
[0288.32-0293.72] 请同胸注意,控制信号的持续时间为一个时钟周期。
[0293.72-0296.32] 每个时钟周期对应一个状态。
[0296.32-0302.92] 当时钟周期结束,也就是在时钟信号下降延时进行状态切换。
[0303.25-0309.10] 控制信号至于当前状态相关,可能很多同学已经意识到了。
[0309.10-0315.30] 接下来,我们就可以时钟周期为单位画出指令执行的状态转换图,
[0315.30-0319.30] 得出状态转换表,构造相应的有限状态机了。
[0319.30-0327.16] 首先来看LW指令,这是每个时钟周期各自所对应的状态,
[0327.16-0330.96] 以及在各状态下需要有效的控制信号。
[0331.45-0335.65] 进入状态S8后,S8为当前状态,
[0335.65-0342.85] 则在该状态所在时钟周期结束时,也就是时钟信号下降延时进行状态切换,
[0342.85-0347.78] 切换到次态S0,此时S0成为现态。
[0347.78-0358.61] 这样我们就可以画出相应的状态转换图了,如同所示。
[0358.61-0366.83] 再来看SW指令,实际上对于每一条指令,它们的取指过程是相同的,
[0367.03-0374.63] 因此就有相同的状态S0到S3,以及在相应状态下需要有效的控制信号。
[0374.63-0379.92] 这是计算和操作数有效地址的过程中,以及指令执行过程中,
[0379.92-0386.32] 每个时钟周期各自所对应的状态,以及在各状态下需要有效的控制信号。
[0386.32-0394.02] 进入状态S13后,S13为当前状态,则在该状态所在时钟周期结束时,
[0394.22-0402.82] 也就是时钟信号下降源时进行状态切换,切换到次态S0,此时S0成为现态。
[0402.82-0406.71] 这样我们就可以画出相应的状态转换图了。
[0406.71-0415.15] 由于对于每一条指令,取指过程所包含的四个状态S0到S3都是相同的,
[0415.15-0420.75] 因此我们从取指令过程的最后一个状态,也就是S3开始,
[0420.75-0425.75] 画出SW指令所涉及的其他状态,如度所适。
[0425.75-0435.09] 再来看BETU指令,我们之前介绍过了,对于每一条指令,
[0435.09-0441.69] 它们的取指令过程是相同的,因此就有相同的状态S0到S3,
[0441.69-0445.49] 以及在相应状态下需要有效的控制信号。
[0445.65-0450.65] 这是计算操作术有效地址的过程中,以及指令执行过程中,
[0450.65-0457.70] 每个时钟周期各自所对应的状态,以及在各状态下需要有效的控制信号。
[0457.70-0462.70] 进入状态S18后,S18为当前状态,
[0462.70-0470.30] 自在该状态所在时钟周期结束时,也就是时钟信号下降延时进行状态切换,
[0470.30-0476.99] 切换到次态S0,此时S0成为现态,需要说明的是,
[0476.99-0481.79] 对于BETU指令,上述状态转化还有一个条件,
[0481.79-0487.09] 那就是程序状态自计存器PSW的VF标志位置为一,
[0487.09-0492.29] 此时才会包含指令执行过程,也就是执行跳转,
[0492.29-0495.29] 否则不包含指令执行过程,
[0495.29-0500.29] 从计算操作术有效地址的最后一个状态,也就是S15,
[0500.29-0504.69] 切换到取指令过程的第一个状态,也就是S0。
[0504.89-0508.89] 这样我们就可以画出相应的状态转换图了,
[0508.89-0516.39] 由于对于每一条指令,取指令过程所包含的四个状态S0到S3都是相同的,
[0516.39-0521.69] 因此我们从取指令过程的最后一个状态,也就是S3开始,
[0521.69-0526.59] 画出BETU指令所涉及的其他状态,如同所示,
[0526.59-0534.15] 这是程序状态自计存器PSW的VF标志位置为一时的状态转换情况,
[0534.35-0538.15] 再来看ADDI指令,我们之前介绍过了,
[0538.15-0543.12] 对于每一条指令,它们的取指令过程是相同的,
[0543.12-0547.99] 因此就有相同的状态S0到S3,
[0547.99-0551.79] 以及在相应状态下需要有效的控制信号,
[0551.79-0555.99] ADDI指令没有计算操作术有效地址的过程,
[0555.99-0558.79] 这是指令执行过程中,
[0558.79-0561.25] 在其中一个状态,
[0561.35-0564.25] 没有计算操作术有效地址的过程,
[0564.25-0566.15] 这是指令执行过程中,
[0566.15-0569.35] 每个时钟周期各自所对应的状态,
[0569.35-0572.98] 以及在各状态下需要有效的控制信号,
[0572.98-0577.38] 进入状态S21后,S21为当前状态,
[0577.38-0580.38] 自在该状态所在时钟周期结束时,
[0580.38-0583.18] 也就是时钟信号下降延时,
[0583.18-0587.08] 进行状态切换,切换到次态S0,
[0587.08-0589.80] 此时S0成为现态,
[0589.90-0594.00] 这样我们就可以画出相应的状态转换图了,
[0594.00-0596.20] 由于对于每一条指令,
[0596.20-0598.60] 取指令过程所包含的四个状态,
[0598.60-0601.60] S0到S3都是相同的,
[0601.60-0605.00] 因此我们从取指令过程的最后一个状态,
[0605.00-0607.00] 也就是S3开始,
[0607.00-0614.65] 画出ADDI指令所涉及的其他状态如都所示,
[0614.65-0617.52] 再来看ADD指令,
[0617.52-0619.22] 我们之前介绍过了,
[0619.22-0620.82] 对于每一条指令,
[0620.82-0623.62] 他们的取指令过程是相同的,
[0623.62-0627.42] 因此就有相同的状态S0到S3,
[0627.42-0631.41] 以及在相应状态下需要有效的控制信号,
[0631.41-0635.31] ADD指令没有计算操作数有效地址的过程,
[0635.31-0637.11] 这是指令执行过程中,
[0637.11-0640.41] 每个时钟周期各自所对应的状态,
[0640.41-0644.37] 以及在各状态下需要有效的控制信号,
[0644.37-0649.37] 进入状态S24后,S24为当前状态,
[0649.37-0652.37] 则在该状态所在时钟周期结束时,
[0652.37-0655.07] 也就是时钟信号下降眼时,
[0655.07-0656.97] 进行状态切换,
[0656.97-0659.23] 切换到次态S0,
[0659.23-0662.16] 此时S0成为现态,
[0662.16-0666.22] 这样我们就可以画出相应的状态转换图了,
[0666.22-0668.22] 由于对于每一条指令,
[0668.22-0674.12] 取指令过程所包含的四个状态S0到S3都是相同的,
[0674.12-0677.72] 因此我们从取指令过程的最后一个状态,
[0677.72-0679.72] 也就是S3开始,
[0679.82-0688.56] 画出ADD指令所涉及的其他状态,如都所示。
[0688.56-0692.96] 至此我们就得到了本理中完整的状态转换图,
[0692.96-0697.05] 也就是有限状态机的图形化表示,
[0697.05-0703.76] 接下来就可以根据状态转换图,写出状态转换表了。
[0703.76-0708.56] 类似工作,我们在之前的有关时序发生期的那些课中,
[0708.56-0711.36] 给同学们进行过详细介绍,
[0711.36-0714.54] 不知大家是否还有印象。
[0714.54-0717.44] 另外,学习过数学课程的同学,
[0717.44-0720.64] 在学习同步时序电路这部分内容时,
[0720.64-0725.61] 也应该练习过多次,因此就不再追数了。
[0725.61-0727.71] 请同学们思考一下,
[0727.71-0731.51] 对状态转换表中的每一个状态进行编码,
[0731.51-0738.81] 或者说编序号,需要多少个比特呢?
[0738.81-0741.01] 答案是需要五个比特,
[0741.01-0745.11] 因为五个比特共有二的五次方等于32个组合,
[0745.11-0747.71] 接五个零到五个一。
[0747.71-0750.41] 从中选取25个不同的组合,
[0750.41-0754.79] 分别分配给状态S0到S24。
[0754.79-0756.59] 那么接下来的工作呢,
[0756.59-0758.49] 就是从状态转换表中,
[0758.49-0762.39] 得出现态与次态之间的逻辑关系,
[0762.39-0765.49] 进而设计现代时序应不限控制器中的
[0765.49-0768.88] 有限状态机组合逻辑电路。
[0768.88-0771.68] 之后,还要根据状态转换表中,
[0771.68-0774.18] 每一个现态与相应输出,
[0774.28-0777.78] 也就是操作控制信号的逻辑关系,
[0777.78-0780.08] 写出每一个操作控制信号
[0780.08-0782.81] 与现态之间的逻辑表达式。
[0782.81-0784.41] 上述类似工作,
[0784.41-0788.01] 我们在之前的有关时序发生器的那些课中,
[0788.01-0790.61] 给同学们进行过详细介绍,
[0790.61-0793.24] 就不再赘述了。
[0793.24-0799.93] 至此,我们就完成了现代时序应不限控制器设计流程中的前四个步骤,
[0799.93-0802.43] 之后就可以进入步骤五了,
[0802.43-0804.23] 也就是采用逻辑门,
[0804.33-0808.33] 和编程逻辑阶列PLA或指读损组器ROM,
[0808.33-0811.93] 实现每一个控制信号的逻辑表达式的功能,
[0811.93-0814.99] 竟然实现硬不限控制器。
[0814.99-0816.59] 请同学们注意,
[0816.59-0819.19] 硬不限控制器的执行速度较快,
[0819.19-0821.99] 但其内部结构相对复杂,
[0821.99-0824.65] 设计和修改较为困难,
[0824.65-0828.45] 尤其是难以适应复杂指令级处理器的需求。
[0828.45-0829.15] 目前,
[0829.25-0831.05] 金简指令级处理器,
[0831.05-0832.35] 例如ROM,
[0832.35-0835.11] 普遍采用硬不限控制器,
[0835.11-0839.31] 为了追求更高的设计灵活性与可维护性,
[0839.31-0842.24] 微程序控制器因人而生。
[0842.24-0844.04] 那么从下节课开始,
[0844.04-0846.14] 我们要用多次课的时间,
[0846.14-0850.46] 给同学们介绍微程序控制器的相关知识。
[0850.46-0853.86] 好的,本节课到这里就结束了。
[0853.86-0856.26] 请同学们快速回忆一下,
[0856.26-0879.55] 本节课的主要内容。
[0879.55-0881.65] 同学们,我们下节课见!
