[0004.18-0008.18] 同學們好,歡迎大家來到我的計算機組成員裡威克堂
[0008.18-0011.18] 在上節課中,我們以個人計算機為例
[0011.18-0014.48] 給同學們介紹了系統總線結構的發展和演進
[0014.48-0016.78] 在同學們學習本章的過程中
[0016.78-0020.78] 已經陸續接觸過個人計算機中各種各樣的總線標準
[0020.78-0023.78] 本節課是本章的最後一次課
[0023.78-0028.78] 我們將個人計算機中常用的一些總線標準進行分類列表總結
[0028.78-0033.18] 因此,本節課基本上沒有什麼原理性的內容需要講解
[0033.18-0037.38] 主要以同學們瀏覽我們總結好的各類總線的表格內容為主
[0037.38-0039.98] 請同學們不要小瞧這項任務
[0039.98-0042.58] 因為其中所涉及到的總線分類
[0042.58-0048.08] 串形、並形、同步、自同步、一步、全雙功、差分信號
[0048.08-0051.98] 總線時鐘頻率、總線工作頻率、總線位寬
[0051.98-0058.28] SDR、DDR、QDR、總線帶寬等概念都屬於本章重點內容
[0058.28-0060.88] 同學們在瀏覽各類總線表格時
[0060.88-0063.28] 涵應體會總線的發展趨勢
[0063.28-0066.68] 那就是不斷追求高帶寬、高性能
[0066.68-0069.98] 高速設備靠近甚至集成到了CPU中
[0069.98-0073.08] 例如內存控制器和圖形接口等
[0073.08-0075.48] 而慢速設備遠離CPU
[0075.48-0077.87] 另外還需要關注的問題是
[0077.87-0080.57] 病情傳輸存在時鐘偏異問題
[0080.57-0083.97] 其頻率受限且多路信號難以對齊
[0083.97-0089.67] 因此,現代高速總線中普遍採用多路高速串形總線並發傳輸
[0089.67-0091.47] 也稱為多通道
[0091.47-0096.17] 例如前端總線FSB演變成了QPI串形總線
[0096.17-0098.97] PCIe總線演變成了PCIe總線
[0098.97-0103.27] 磁板總線ATA也就是 IDE演變成了SATA
[0103.27-0104.87] 需要說明的是
[0104.87-0107.27] AMD和INTER兩大陣營
[0107.27-0110.87] 均沒有公開其片內總線的具體實現細節
[0110.87-0114.07] 例如協議、電器特性、時序等
[0114.07-0117.47] 這些屬於核心知識產權和商業機密
[0117.67-0122.27] 他們通常只會公開高層次的架構概述和編程接口
[0122.27-0127.06] 好的,接下來就請同學們自行瀏覽本節課的內容
[0127.06-0128.96] 在同學們完成任務後
[0128.96-0134.59] 還會請同學們挑戰兩道與本節課內容相關的408考研一年整體
[0134.59-0137.99] 接下來,每個換能篇會展示5秒鐘
[0137.99-0140.79] 以方便同學們暫停播放視頻
[0140.79-0178.73] 好的,接下來請同學們挑戰2010年的題20
[0178.93-0181.13] 請同學們暫停播放視頻
[0181.13-0182.13] 思考一下
[0182.13-0189.03] 然後給出你的答案
[0189.03-0191.03] 本題的答案是選項第
[0191.03-0192.53] 大家都選對了嗎?
[0192.53-0194.63] 我們來一起分析一下
[0194.63-0195.83] 如族所示
[0195.83-0200.03] 這是本節課一開始我們就總結出的一些常用總線
[0200.03-0202.93] 因此,相信同學們能夠判斷出
[0202.93-0205.93] 四個選項中各自包含的總線標準
[0205.93-0210.03] 我們再來看看其他不是總線標準的英文縮寫詞
[0210.33-0211.53] CRT是指
[0211.53-0212.73] 因即設限管
[0212.73-0214.43] 用於顯示設備
[0214.43-0217.53] 可能很多同學對這個縮寫詞比較陌生
[0217.53-0220.53] 因為CRT顯示器到2008年左右
[0220.53-0223.16] 以基本從消費市場消失
[0223.16-0225.86] CPI是指每條指令週期數
[0225.86-0228.82] 是計算機系統的性能指標之一
[0228.82-0231.52] RAM是指隨機存取存儲器
[0231.52-0233.52] 是存儲器類型
[0233.52-0236.42] NIPS作為計算機系統的性能指標時
[0236.42-0239.15] 是指每秒百萬條指令
[0239.15-0241.45] 作為處理器架構時是指
[0241.45-0244.85] 一種經典的經典指令級處理器架構
[0244.85-0245.95] 總上所述
[0245.95-0248.58] 本題的答案是選項第
[0248.58-0251.48] 再來挑戰20年提20
[0251.48-0253.78] 請同學們暫停播放視頻
[0253.78-0254.78] 思考一下
[0254.78-0261.10] 然後給出你的答案
[0261.10-0263.10] 本題的答案是選項第
[0263.10-0264.60] 大家都選對了嗎?
[0264.60-0266.70] 我們來一起分析一下
[0266.70-0270.10] 本題中選項A和選項C的描述正確
[0270.10-0273.30] 通過我們的日常應用體會就可判定
[0273.30-0275.40] 選項B的描述也正確
[0275.40-0278.20] USB使用分層的星星錯誤
[0278.20-0279.80] 計算機的USB接口
[0279.80-0282.50] 也稱為主機控制器作為根
[0282.50-0285.20] 和連接USB Hub進行擴展
[0285.20-0288.30] 每個USB Hub提供多個下游端口
[0288.30-0292.00] 和連接外設或其他 Hub形成集連
[0292.00-0294.10] 最多支持5G Hub
[0294.10-0295.80] 對於選項B的描述
[0295.80-0298.50] 很多同學也有日常應用體會
[0298.50-0301.00] 特別是使用清保筆記本的情況下
[0301.00-0303.40] 由於其自帶的USB接口渺少
[0303.40-0307.17] 很多情況下需要使用USB Hub進行擴展
[0307.17-0308.27] 綜上所述
[0308.27-0310.27] 根據我們的日常應用體會
[0310.27-0313.83] 採用排除法就可以選出本題的答案
[0313.83-0314.63] 當然了
[0314.63-0317.93] 如果同學們對USB總線有進一步的認識
[0317.93-0321.73] 也就是使用一對差分信號進行串行傳輸
[0321.73-0324.03] 則可以直接判定選項第中
[0324.03-0328.01] 同時可傳輸兩位數據的描述是錯誤的
[0328.01-0328.81] 好的
[0328.81-0331.61] 至此第七章總線系統的相關內容
[0331.61-0333.71] 我們就全部介紹完了
[0333.71-0335.11] 從下節課開始
[0335.11-0338.71] 我們進入第八章輸入輸出系統的學習
[0338.71-0339.51] 同學們
[0339.51-0340.61] 我們下節課見
