[0003.22-0007.62] 同学们好,欢迎大家来到我的计算机组成原理维克堂
[0007.62-0012.22] 本节课,我们介绍串情净位加法器的硬件逻辑实现
[0012.22-0018.02] 在上节课中,我们首先回忆了手工进行二进制加法预算的过程
[0018.02-0023.82] 然后得到了本位加数XIYI,来自低位的净位CI的各种组合
[0023.82-0030.02] 与本位和SI以及本位向高位的净位CI加1的逻辑关系的真知表
[0030.28-0036.88] 通过真知表,我们得出了本位加数XIYI,来自低位的净位CI作为输入
[0036.88-0040.28] 本位和SI作为输出的逻辑表达式
[0040.28-0045.68] 以及本位加数XIYI,来自低位的净位CI作为输入
[0045.68-0050.28] 本位向高位的净位CI加1作为输出的逻辑表达式
[0050.28-0057.38] 通过上述两个逻辑表达式,我们画出了实现一位二进制加法运算的组合逻辑电路
[0057.58-0061.87] 我们称其为一位全家器,并给出了它的符号
[0061.87-0067.27] 那么本节课呢,我们就利用一位全家器来构建加法器
[0067.27-0070.40] 以便实现多位二进制加法运算
[0070.40-0074.00] 需要说明的是,本节课介绍的加法器
[0074.00-0079.20] 根据其净位信号的产生特点,称为串形净位加法器
[0079.20-0082.16] 也称为行波净位加法器
[0082.16-0087.51] 下面呢,我们以8位二进制数的加法运算为例进行介绍
[0087.51-0093.31] 这是8位加数X,它由X0到X7共8个数位构成
[0093.31-0097.51] X0是最低位,X7是最高位
[0097.51-0102.87] 这是另一个8位加数Y,对这两个数进行加法运算
[0102.87-0107.90] 运算过程中,各数位产生的净位C如同所示
[0107.90-0118.37] 我们以D两位为例解释一下净位C的下标的含义
[0118.37-0123.97] C0表示这是参与0号数位运算的,来自D位的净位
[0124.53-0131.81] C0加1等于1,表示这是参与1号数位运算的,来自0号数位的净位
[0131.81-0139.06] 这是加法运算的结果,即8位和数S,这是最高数位产生的净位
[0139.18-0144.38] 仔细观察,不能发现,在上述两个8位二进制数的加法运算中
[0144.38-0151.58] 其中的任何一个数位的加法运算,都可以用我们上节课介绍的一位全家器来实现
[0151.91-0159.31] 这样,可以使用8个一位全家器,通过净位串联,得到8位串型净位加法器
[0159.31-0164.31] 如同所示,这是用于最低位加法运算的一位全家器
[0164.31-0172.84] 我们将其计为FA0,将FA0的净位输出端,连接到另一个一位全家器的净位输入端
[0172.84-0178.44] 该全家器用于1号数位的加法运算,我们将其计为FA1
[0178.70-0188.36] 以此类推,最终我们就得到了,使用8个一位全家器,通过净位串联,构成的8位串型净位加法器
[0188.36-0198.18] 请同学们思考一下,这个8位串型净位加法器,是否具有溢出检测功能呢?
[0198.18-0205.18] 我们知道,对于无符号数的加法运算,最高位产生的净位,就是溢出检测信号
[0205.18-0212.06] 而对于补码加减法运算,一般有两种溢出检测方法
