[0003.38-0007.54] 同学们好,欢迎大家来到我的计算机组成员里维克堂
[0007.54-0011.14] 从本节课开始,我们要用两词课的时间
[0011.14-0014.90] 给同学们介绍以下这些操作术寻止方式
[0015.54-0018.42] 通过前两词课的学习,我们知道
[0018.42-0024.50] 不同指令可能采用不同的操作术寻止方式来获取操作术
[0024.50-0030.34] 因此,可将指令格式中的地址码自断划分为以下两个部分
[0030.53-0035.73] 一部分是寻止方式,也称为寻止特征自断
[0035.73-0040.90] 用大写字母M表示,另一部分是形式地址自断
[0040.90-0044.83] 用大写字母D来表示,如读所示
[0044.83-0049.23] 这是我们之前给同学们介绍过的指令的一般格式
[0049.23-0052.75] 由操作码和地址码两个自断构成
[0052.75-0055.38] 将操作码自断保持不变
[0055.38-0060.26] 地址码自断划分为寻止方式自断和形式地址自断
[0060.56-0065.92] 这样就构成了含有寻止方式的单地址指令格式
[0065.92-0072.29] 寻止方式自断的位数取决于所要支持不同寻止方式的数量
[0072.29-0074.21] 操作术寻止的过程
[0074.21-0078.93] 实际上就是把寻止方式和形式地址的不同组合
[0078.93-0082.69] 转换成操作术的有效地址的过程
[0082.69-0085.25] 在同学们了解了上述概念后
[0085.25-0088.05] 本节课我们给同学们介绍
[0088.21-0092.29] 左侧这些操作术寻止方式装比较简单的五个
[0092.29-0095.15] 首先来看立即寻止方式
[0095.15-0098.98] 指令中的寻止方式自断的值
[0098.98-0102.42] 就是用来表明立即寻止方式的特征码
[0102.42-0104.29] 例如明明明
[0104.29-0107.65] 这表明指令中形式地址自断的值
[0107.65-0109.33] 就是操作术本身
[0109.33-0110.99] 从上所述
[0110.99-0112.91] 在立即寻止方式下
[0112.91-0116.99] 操作术与指令是一起存放在主存中的
[0116.99-0118.99] 例如下属所示
[0119.15-0123.23] 这是主存中存放的某条立即寻止指令
[0123.23-0128.27] 可以看到操作术与指令是一起存放在主存中的
[0128.27-0129.74] 因此可知
[0129.74-0131.42] 在取指令时
[0131.42-0134.14] 操作术随指令一起被读取
[0134.14-0137.74] 并送到CPU内的指令寄存器IR中
[0137.74-0139.81] 在指令执行时
