[0003.38-0007.78] 同学们好,欢迎大家来到我的计算机组成员里维克堂。
[0007.78-0013.54] 在上几课中,我们给同学们介绍了开始中主存数据块的替换算法。
[0013.54-0017.70] 本节课是有关替换算法的第一次习题课。
[0017.70-0020.66] 我们首先会给同学们讲解一道立题。
[0020.66-0024.58] 之后,会请同学们自行完成一道习题。
[0024.58-0026.61] 首先来看这道立题。
[0026.61-0030.61] 请同学们暂停播放视频,认真审题。
[0030.77-0032.93] 之后,我们进行解析。
[0032.93-0039.49] 好的,我们来一起分析。
[0039.49-0043.09] 首先分析是用LFU算法的访存过程。
[0043.09-0050.21] 如同所示,我们用三个不同的图标来分别表示命中,再入,替换。
[0050.21-0058.78] 这一行用来记录题目给定的访存序列,也就是依次访问的各主存数据块,它们各自的编号。
[0058.78-0061.84] 这是题目给定的四个开始行。
[0062.18-0069.06] 这一列是各开始行中的主存数据块复本缓中区,题目给定初始维空。
[0069.06-0072.72] 这一列是各开始行的淘汰技术。
[0072.98-0080.66] 首先访问主存数据块零,由于此时各开始行维空,因此开始访问未命中,
[0080.66-0087.50] 需要将主存数据块零再入到开始中,题目给定,才用全项面硬设方式。
[0087.50-0092.14] 因此,主存数据块零可再入到任意一个开始行。
[0092.38-0098.22] 为了简单起见,我们按照开始行号从小到大的顺序进行再入。
[0098.22-0102.64] 因此,主存数据块零被再入到开始行零。
[0102.64-0107.36] 相应的,需要将该行的淘汰技术器的值设置为零。
[0107.36-0113.17] 接下来访问主存数据块一,这是各开始行的当前状态。
[0113.17-0119.73] 可以发现,开始访问未命中,将主存数据块一再入到开始行一。
[0119.89-0124.29] 相应的,需要将该行的淘汰技术器的值设置为零。
[0124.29-0130.11] 接下来访问主存数据块二,这是各开始行的当前状态。
[0130.11-0136.35] 可以发现,开始访问未命中,将主存数据块二再入到开始行二。
[0136.35-0140.75] 相应的,需要将该行的淘汰技术器的值设置为零。
[0140.75-0146.88] 接下来访问主存数据块一,这是各开始行的当前状态。
[0147.36-0156.00] 可以发现,开始访问命中,相应的,需要将该行的淘汰技术器的值加一,这是加一后的结果。
[0156.00-0161.82] 接下来访问主存数据块零,这是各开始行的当前状态。
[0161.82-0171.01] 可以发现,开始访问命中,相应的,需要将该行的淘汰技术器的值加一,这是加一后的结果。
[0171.68-0186.05] 接下来访问主存数据块二,这是各开始行的当前状态,可以发现,开始访问命中,相应的,需要将该行的淘汰技术器的值加一,这是加一后的结果。
[0186.05-0200.64] 接下来访问主存数据块零,这是各开始行的当前状态,可以发现,开始访问命中,相应的,需要将该行的淘汰技术器的值加一,这是加一后的结果。
[0201.23-0219.79] 接下来访问主存数据块三,这是各开始行的当前状态,可以发现,开始访问命中,将主存数据块三,再入到开始行三,相应的,需要将该行的淘汰技术器的值设置为零,此时,开始一满。
[0220.32-0234.77] 接下来访问主存数据块三,这是各开始行的当前状态,可以发现,开始访问命中,相应的,需要将该行的淘汰技术器的值加一,这是加一后的结果。
[0234.77-0249.41] 接下来访问主存数据块四,这是各开始行的当前状态,可以发现,开始访问未命中,需要将主存数据块四,再入到开始中,由于此时开始一满。
[0249.61-0276.66] 根据LFU算法,技术值最小的开始行中的主存数据块被替换,由于此时有三个开始行的技术值,是当前技术最小值一,因此,可采用随机替换或fifo算法,假设本力采用fifo算法,因此,开始行一中的主存数据块被替换,此时,该行中的主存数据块被替换为主存数据块四,
[0277.06-0302.98] 相应的,需要将该行的淘汰技术器的值清明,接下来访问主存数据块五,这是各开始行的当前状态,可以发现,开始访问未命中,需要将主存数据块五,再入到开始中,根据LFU算法,技术值最小的开始行中的主存数据块被替换,因此,开始行一中的主存数据块被替换。
[0302.98-0331.08] 此时,该行中的主存数据块被替换为主存数据块五,而该行的技术值已经是最小值零,不用清零,接下来访问主存数据块六,这是各开始行的当前状态,可以发现,开始访问未命中,需要将主存数据块六,再入到开始中,根据LFU算法,技术值最小的开始行中的主存数据块被替换。
