[0003.86-0008.30] 同學們好,歡迎大家來到我的計算機組成原理微課堂。
[0008.30-0012.54] 本節課,我們介紹補碼陣列懲罰器的相關知識。
[0012.54-0018.50] 在上級課中,我們給同學們介紹了無符號陣列懲罰器的相關知識。
[0018.50-0023.02] 然而,由於計算機中,採用補碼表示數據。
[0023.02-0030.26] 因此,本節課,我們設法基於無符號陣列懲罰器,設計補碼陣列懲罰器。
[0030.58-0038.82] 在設計補碼陣列懲罰器之前,我們首先來回憶一下上節課介紹的無符號陣列懲罰器。
[0038.82-0051.37] 對於N乘N無符號陣列懲罰器,其輸入為N為無符號倍乘數和N為無符號乘數,而輸出為2N為無符號乘機。
[0051.37-0060.65] 需要說明的是,為了簡單起見,我們沒有給出N乘N無符號陣列懲罰器的組合邏輯電路的構成細節。
[0061.05-0066.53] 它由N乘N減1個全家器,以及N乘N個與門構成。
[0066.53-0073.46] 接下來呢,我們就基於該無符號陣列懲罰器,設計補碼陣列懲罰器。
[0073.46-0081.52] 我們知道,如果不考慮原碼的符號位,則原碼的數值位可看作是無符號數。
[0081.52-0087.82] 換句話說,如果將原碼的符號位單獨處理,則原碼乘法運算,
[0087.82-0096.42] 可將倍乘數原碼的數值位和乘數原碼的數值位直接帶入無符號陣列懲罰器進行運算。
[0096.42-0105.86] 得到的結果為無符號乘機,再起前面添加單獨處理的符號位,即可得到原碼乘法的結果。
[0105.86-0113.66] 我們還知道,原碼與補碼之間可以相互轉換,和採用繁瑪法或掃描法。
[0114.01-0127.33] 這是我們在學習完第二章中,有關原碼、補碼、繁瑪以碼之間的轉換的那節課,並進行大量練習後,應該掌握的基本功,我們就不再墜速了。
[0127.33-0141.36] 因此,不難想到,如果將補碼的符號位單獨處理,將補碼的數值位轉換成原碼的數值位,就可利用無符號陣列乘法器進行乘法運算。
[0141.67-0154.63] 得到的結果為無符號乘機,將其轉換成補碼的數值位,然後再起前面添加單獨處理的符號位,即可得到補碼乘法的結果。
[0154.63-0168.33] 基於上述思想,我們就可以基於無符號陣列乘法器來設計補碼陣列乘法器了,被乘數X和乘數Y,各自的補碼如讀所示。
[0168.53-0187.74] 其中,XF和YF是它們各自的符號位,我們之前已經分析過了,將符號位單獨處理,也就是將XF與YF進行異貨運算,得到補碼乘機的符號位,繼為PF。
[0187.74-0196.94] 對於被乘數X和乘數Y各自補碼的N個數值位,我們需要設計相應的N位求補電路。
[0197.14-0210.70] 以便將補碼的數值位轉換成相應原碼的數值位,這相當於轉換成了無符號數,竟然可以利用無符號陣列乘法器進行乘法運算了。
[0210.70-0225.24] 乘法運算的結果為N位無符號乘機,因此我們還需要設計相應的N位求補電路,將N位無符號乘機轉換成相應補碼的數值位。
[0225.44-0232.00] 它們與之前單獨處理得到的補碼乘機的符號位,就構成了補碼乘機。
[0232.00-0243.62] 請同學們注意,被乘數X的補碼和乘數Y的補碼各自對應的N位求補電路,需要根據它們各自的符號位做相應轉換。
[0243.62-0254.87] 而N位無符號乘機對應的N位求補電路,需要根據之前單獨處理得到的補碼乘機的符號位做相應轉換。
[0255.34-0267.17] 我們來舉例說明,假設被乘數X和乘數Y都是正數,因此XY各自補碼的符號位都為0,表示正數。
[0267.17-0284.25] X的補碼和Y的補碼各自對應的N位求補電路,會根據X的補碼和Y的補碼各自的符號位為0,對X的補碼和Y的補碼各自的數值位不進行變換,而直接輸出。
