[0003.25-0007.25] 同学们好,欢迎大家来到我的计算机组成原理维克堂。
[0007.25-0012.25] 在上节课中,我们给同学们介绍了指令执行的一般流程。
[0012.25-0017.34] 本节课,我们给同学们介绍指令周期的相关知识。
[0017.34-0024.54] 指令周期是指,CPU从主存取出并执行一条指令所需要的时间。
[0024.54-0029.54] 对于无条件转移指令,只需要取指阶段和执行阶段。
[0029.54-0035.18] 需要说明的是,取指阶段还包含了一码操作。
[0035.18-0041.18] 对于采用间接寻指方式的指令,需要进行两次仿存,才能取出操作数。
[0041.18-0047.18] 也就是,先取操作数有效地址,然后从有效地址处取出操作数。
[0047.18-0052.18] 因此,需要取指阶段、坚指阶段和执行阶段。
[0052.18-0055.34] 有关操作数寻指方式的相关知识,
[0055.34-0060.34] 我们在之前的第五章指令系统中才学习过没有多久。
[0060.34-0066.37] 当时,还请同学们对常见的操作数寻指方式进行过总结。
[0066.37-0074.37] 不难发现,间接寻指以及间接寻指加辨指寻指,除取指令需要进行一次仿存外,
[0074.37-0078.37] 还需要额外两次仿存,才能最终取到操作数。
[0078.37-0084.59] 当指令执行完毕后,如果出现中断请求,CPU将进入中断响应阶段。
[0085.59-0091.59] 进行保存断点,将中断处理程序入口地址送入程序技术器PC,
[0091.59-0095.59] 进而实现当前程序与中断处理程序的切换。
[0095.59-0105.85] 从上所说,一个完整的指令周期,包含取指周期、坚指周期、执行周期和中断周期四个阶段,
[0105.85-0116.18] 例如下注所示,需要说明的是,以上仅仅是一桩典型的指令周期划分方式,
[0116.18-0121.18] 但这并不意味着所有架构的计算机都是这样划分指令周期的,
[0121.18-0132.47] 除上述四个阶段外,还可能包括总线周期,也就是完成总线操作以及总线控制权转移所需要的时间。
[0132.47-0138.86] Io周期,也就是完成输入输出操作所需要的时间。
[0138.86-0146.53] 尽管我们还没有学习总线和Io的相关知识,但没有关系,目前仅了解即可。
[0147.53-0152.82] 请同学们注意,不同指令的指令周期可能不同。
[0152.82-0159.82] 例如,无条件转移指令的指令周期,仅包含取指周期和执行周期,
[0159.82-0168.14] 才用间接寻止方式的指令,其指令周期至少包含取指周期、坚指周期和执行周期。
[0168.14-0174.55] 那么,请同学们思考一下,如何表示一个指令周期的具体时长呢?
[0174.55-0185.63] 相信同学们已经想到了,那就是利用我们在第一章有关与运算速度相关的性能指标那一刻中,
[0185.63-0191.63] 曾经同学们介绍过的CPU十中周期,来表示一个指令周期的具体时长。
[0191.63-0199.62] 我们来举例说明,这是CPU的十中信号,它是一种卖中信号。
[0199.62-0205.62] 卖中信号是周期性出现的,这里的周期称为CPU十中周期。
[0206.91-0212.91] 为了便于各指令同步,可将指令周期划分成若干个机器周期。
[0212.91-0220.10] 机器周期一般是指,从主存取出一个存储字,所需的最短时间。
[0220.10-0224.23] 而每个机器周期由若干个十中周期构成,
[0224.23-0230.58] 例如在下股中,每四个CPU十中周期构成一个机器周期。
[0230.58-0234.58] 在这个机器周期阶段,完成取指令的任务。
[0234.58-0239.87] 在接下来的这个机器周期,完成取操作数有效地址的任务。
[0239.87-0245.13] 在接下来的这个机器周期,完成执行指令的任务。
[0245.13-0250.42] 这样,在本地中,指令周期由三个机器周期构成,
[0250.42-0255.61] 而每个机器周期由四个CPU十中周期构成。
[0255.61-0259.61] 请同学们注意,不要把思维局限在本地上。
[0259.61-0264.61] 实际上,每个指令周期所包含的机器周期的数量,
[0264.61-0270.61] 每个机器周期所包含的十中周期的数量,并不一定是固定的。
[0270.61-0275.61] 这与处理器架构的具体实现有关,一般分为以下两种,
[0275.61-0280.80] 一种是定长指令周期,另一种是变长指令周期。
[0280.80-0286.02] 对于定长指令周期,所有指令的指令周期相同,
[0286.02-0291.02] 也就是指令周期所包含的机器周期的数量固定,
[0291.02-0295.02] 机器周期所包含的十中周期的数量也是固定的。
[0295.02-0299.50] 例如,上面这个例子,需要说明的是,
[0299.50-0303.50] 早期计算机采用的就是定长指令周期,
[0303.50-0308.92] 对于变长指令周期,各指令按CPU十中周期,
[0308.92-0311.92] 而不是机器周期进行同步。
[0311.92-0317.05] 每条指令的执行,所需的十中周期数量按虚分配,
[0317.05-0321.05] 因此,机器周期的概念逐渐消失了,
[0321.05-0323.21] 需要说明的是,
[0323.21-0327.40] 现代计算机往往采用变长指令周期,
[0327.40-0330.40] 例如,下图所示的某个变长指令周期,
[0330.40-0333.40] 仅包含有两个机器周期,
