[0003.38-0007.54] 同学们好,欢迎大家来到我的计算机组成园里维克堂。
[0007.54-0011.18] 本节课是本章综合习题课的第三词课。
[0011.18-0014.34] 我们仍然安排了两道与本章相关的
[0014.34-0017.30] 第1年408考研真题中的综合大题。
[0017.30-0022.06] 以便帮助同学们加深对本章所学知识点的理解和记忆。
[0022.06-0025.37] 首先挑战2019年的题45。
[0025.37-0031.61] 请同学们暂停播放视频,务必认真审题,之后我们来一起分析。
[0036.66-0038.94] 好的,我们来一起分析。
[0038.94-0041.70] 首先来看本大题的第一小题。
[0041.70-0052.28] 我们将题目给定的计算fn,也就是计算n的阶程的C元函数f1的原程序,单独提出来以方便分析。
[0052.28-0058.96] 不能看出,函数f1在自身内部调用自己,也就是进行了地规调用。
[0058.96-0067.17] 函数地规调用的侧点是,在地规调用之前,要测试一个防止函数无限调用自身的停止条件。
[0067.65-0070.93] 若测试条件为真,才进行地规调用。
[0070.93-0076.93] 每次进行地规调用时,要给函数提供一个更接近停止条件的参数。
[0076.93-0083.25] 本小题第一问,要求我们给出,计算时的阶程需要调用函数f1的次数。
[0083.25-0087.21] 我们就从最简单的计算1的阶程开始分析。
[0087.21-0095.41] 要计算1的阶程,则给函数f1的行参n提供的数值为1,相应的,测试条件中n的值为1。
[0095.57-0102.29] 很显然,不满足测试条件,因此,不会地规调用函数f1,而直接返回1。
[0102.29-0107.77] 从上所说,1的阶程的计算结果为1,调用函数f1共一次。
[0107.77-0117.76] 再来计算2的阶程,要计算2的阶程,则给函数f1的行参n提供的数值为2,相应的,测试条件中n的值为2。
[0117.76-0123.08] 很显然,满足测试条件,因此,会地规调用函数f1。
[0123.36-0133.36] 此时,这两处n的值都是2,可以看到,第一次地规调用函数f1时,参数为2.1等于1,我们将其记录如下。
[0133.36-0149.22] 接下来就是第一次地规调用函数f1了,此时,参数n的值为1,相应的测试条件中n的值为1,很显然,不满足测试条件,因此,不会继续地规调用函数f1,而直接返回1。
[0149.54-0158.14] 从上所述,2的阶程的计算结果为2×1,雕用函数f1共两次,其中包含一次地规调用。
[0158.14-0170.29] 以此类推,相信同学们都能得出计算时的阶程时函数f1的雕用情况,那就是,雕用函数f1共10次,其中包含9次地规调用。
[0170.29-0172.97] 我们将答案标记在问题旁边。
[0173.93-0179.17] 本小题第二问要求我们给出,执行哪条指令会地规调用f1?
[0179.17-0184.33] 这需要从题目所给的,非语言程序的反汇变内容来分析。
[0184.33-0192.49] 所谓反汇变,实际上就是,集成开发环境在编译非语言程序时得出的相应的汇变指令。
[0192.49-0198.41] 这是地规调用f1的c元代码,这是相应的汇变语言指令。
[0199.08-0206.56] 从汇变语言指令注计符CORN以及函数名f1可知,执行该指令会地规调用f1。
[0206.56-0217.48] CORN中的这创16进制数是虚拟地址,它是函数f1中的第一条汇变指令的虚拟地址,或者说是函数f1的首地址。
[0217.48-0225.84] 通过指令注计符PUSH可知,这是一条压占指令,对于本小题,不知道这一点也没有什么影响。
[0226.12-0231.45] 我们将答案标记在问题旁边,再来看本大题的第二小题。
[0231.45-0240.84] 提名要求我们回答,在左侧代码中,哪条指令是条件转移指令,哪几条指令一定会是程序跳转执行。
[0240.84-0256.16] 那么我们就来一起分析一下左侧代码,这是C元中的一副语句,它是一个条件语句,它允许程序根据条件是否为真,来执行不同的代码跨,这是该一副语句相应的汇变指令。
[0257.01-0265.33] 该操作数,相当于该一副语句中的一,不难想象,这是另一个操作数,相当于该一副语句中的N。
[0265.33-0284.43] 而汇变指令注计符CMP,表明这是一条比较指令,根据该一副语句,不难想到,CMP指令所执行的操作是,用奏号前面的操作数,简去奏号后面的操作数,并根据运算结果,设置标志计准器中相关标志位。
[0284.75-0299.31] 竟而我们不难想到,CMP指令后面的这条JLE指令,就是题目所问的条件转移指令,该指令根据之前CMP指令的执行结果,决定是转移执行,还是顺序执行。
[0299.63-0316.27] 从该指令的注计符JLE,不难想到,它是JARP IF LESS OR EQUAL的缩写,具体来说就是,当CMP指令中,奏号前面的操作数,小于或等于,奏号后面的操作数,则转移执行,否则顺序执行。
[0316.27-0324.30] 这是转移目标地址,其中F1是函数F1的手地址,而16进至35,是偏一辆。
[0324.77-0343.57] 夸号中的这创16进至数,就是具体的转移目标地址,我们找到该转移目标地址处,可以看到,从该地址处开始的以下这些会边语言指令,所对应的是这部分C语言程序,也就是函数返回到调用处,并带有返回之一。
[0344.10-0355.86] 从最后这条会边指令的注计符RET不能想到,它是Return的缩写,因此其功能为返回到本函数调用处,这属于无条件转移指令。
[0355.86-0368.99] 如果之前一符语句的条件为真,则执行这部分C语言程序,相应的,如果之前条件转移指令GRE所判断的条件为假,则执行这部分会边语言指令。
[0369.55-0390.35] 我们在解答本大题第一小题时,已经分析出了该会边语言指令就是地规调用函数F1,而这部分的最后一条会边语言指令,从其注计符JMP,也就是JAP的缩写,不难看出,这是一条无条件跳转指令,它会使程序无条件转移到该虚拟地址处。
[0390.35-0397.15] 接下来,我们针对本小题要求我们回答的问题,对之前进行的分析进行小节。
[0397.78-0420.74] 第十二行的GRE指令,是条件转移指令,第十六行的Quart指令,是函数调用指令,第二十行的GMP指令,是无条件转移指令,第三十行的RET指令,是函数,或者是此程序返回指令,其中这三条指令,一定会是程序跳转之行。
[0421.17-0434.19] 这次,本大题第二小题解答完毕,从本小题的解答过程不能看出,即使同学们不是非常熟悉会边语言指令,实际上也不太影响我们解题。
[0434.19-0442.59] 一般来说,对于计算机专业的同学,左侧这种类型的图,大家在实践中或多或少都会接触过。
[0442.79-0447.19] 对于跨战业的同学,由于陌生,就显得稍有难度。
[0447.19-0455.19] 但是,经过一段时间的学习和背靠,这种类型的题目,对大家而言,实际上是相对简单的。
