[0003.22-0007.46] 同学们好,欢迎大家来到我的计算机组成员里维克堂。
[0007.46-0011.46] 在上级课中,我们对指令系统进行盖述。
[0011.46-0018.34] 本节课,我们给同学们介绍指令的一般格式,以及什么是指令字长。
[0018.34-0030.90] 首先介绍指令的一般格式,如读所示,指令一般由操作码自断和地址码自断两部分构成,分别用于存放操作码和地址码。
[0031.17-0044.51] 操作码一般用OP来表示,地址码一般用A来表示,操作码用于指名进行何种操作,例如加,剪,移位,传送等。
[0044.51-0055.41] 地址码用于指名相应的操作数可以包含多个操作数,而如何获取操作数,一般由寻指方式决定。
[0055.95-0062.03] 换句话说,寻指方式决定了操作数的存放位置和访问方式。
[0062.03-0069.36] 寻指方式可以显示的包含在地址码自断中,例如英特尔X86指令级。
[0069.36-0077.78] 寻指方式也可以隐示的包含在操作码自断中,例如MIPS和Risk5指令级。
[0077.78-0085.06] 在同学们了解了指令的一般格式后,我们给同学们介绍什么是指令字长。
[0085.63-0089.78] 指令字长是指,构成指令的二净之位数。
[0089.78-0100.58] 根据指令系统中,各条指令是否固定为相同的长度,可将指令系统分为定长指令系统和变长指令系统。
[0100.58-0106.40] 对于定长指令系统,每条指令的长度都是固定相同的。
[0106.40-0112.83] 因此,结构简单,有利于指令的顺序寻指,取指和异码。
[0113.10-0115.94] 进而起,硬件实现较容易。
[0115.94-0124.74] 然而,定长指令系统的平均指令长度较长,容易状态较多,因此浪费存储空间。
[0124.74-0133.58] 可能有的同学会有这样的疑问,那就是定长指令系统中,每条指令的长度都是固定相同的。
[0133.58-0139.58] 因此,使用平均指令长度进行相关描述,似乎没有什么意义。
[0140.16-0146.24] 这样做的目的是,为了与变长指令系统的平均指令长度进行对比。
[0146.24-0150.80] 而所谓容易状态较多,可以这样理解。
[0150.80-0155.92] 有些复杂的操作,需要较长的指令字长才能描述。
[0155.92-0161.20] 而有些简单的操作,只需要较短的指令字长就可以描述。
[0161.20-0168.30] 但是,为了取指和异码的方便,将每条指令设计成相同的程度。
[0168.46-0174.06] 那么,对于那些简单的操作,其指令长度的荣誉就比较多了。
[0174.06-0182.29] 另外,由于指令长度固定,因此受指令长度限制,很难扩展指令功能。
[0182.29-0189.26] 定长指令系统在经典指令级计算机中较为常用,例如MIFS系列。
[0189.26-0198.91] 对于变长指令系统,指令长度可变,因此结构灵活,但给取指和异码带来不变。
[0199.15-0205.66] 其指过程可能涉及多次广存操作,竟然使得其硬件实现难度较大。
[0205.66-0215.89] 相较于定长指令系统,变长指令系统的平均指令长度矯短,容易状态较少,由于指令长度可变,
[0215.89-0224.90] 因此不受指令长度限制和扩展信号,变长指令系统在复杂指令级计算机中采用。
[0225.14-0236.43] 例如,英特尔X86系列,请同学们注意,由于存储器的基本编织单位为字节,而指令是存储在存储器中的。
[0236.43-0244.51] 因此,无论是定长指令系统,还是变长指令系统,指令字长都是字节的整数倍。
[0244.51-0252.35] 指令字长越长,则占用主存空间就越大,所耗费的仿存时间也就越长。
[0253.07-0265.79] 根据指令字长与机器字长的关系,指令可分为以下三类,半字长指令,三字长指令,多字长指令。
[0265.79-0270.85] 机器字长是计算机系统的重要性能指标之一。
[0270.85-0278.37] 我们在第一张中有关计算机系统的性能指标的第一次课中,已经给同学们介绍过了。
[0278.53-0283.57] 忘记了的同学,请暂停播放视频,快速复习一下。
[0283.57-0291.38] 对于半字长指令,CPU进行一次仿存,可以读取两条。
[0291.38-0297.47] 对于单字长指令,CPU进行一次仿存,可以读取一条。
[0297.47-0301.79] 对于多字长指令,需要进行多次仿存。
[0302.32-0311.92] 综上所述,为了提高速度,在变长指令系统中,一般会将最常用的指令设计为矫短的指令格式。
[0311.92-0315.87] 好的,本节课到这里就结束了。
[0315.87-0319.47] 我们将本节课的主要内容小节如下。
[0319.47-0326.02] 同学们,我们下节课见!
