[0003.63-0007.95] 同学们好,欢迎大家来到我的计算机组成员里维克堂。
[0007.95-0016.51] 从本节课开始,我们要用几时刻的时间,给同学们介绍定点数的加法和减法运算的相关知识。
[0016.51-0020.59] 本节课,我们介绍补码加减法运算公式。
[0020.59-0033.34] 经过之前第二章的学习可知,定点数在计算机内部采用补码表示,这是因为补码的符号位可以与数值位一起参加运算。
[0033.66-0046.70] 采用补码可将减法运算转换成加法运算,因此,定点数采用补码加减法进行运算,具有运算规则简单,亦于实现等优点。
[0046.70-0057.30] 我们之前在第二章中有关补码基本知识的那节课中,就总结过补码的上述优点,并举了相关的例子用于说明。
[0057.65-0065.53] 然而,那仅仅是举例说明,而不是完备的证明,可能很多同学并不能完全信服。
[0065.53-0074.73] 因此,在本节课中,我们首先给出补码加法和减法的运算公式,然后对它们进行证明。
[0074.73-0086.61] 之后,我们利用补码加法和减法的运算公式,完成几个补码加减法的相关练习,以帮助同学们熟练掌握补码的加减法运算。
[0087.47-0093.11] 补码加法和减法的运算公式如下,这是补码加法运算公式。
[0093.11-0102.16] 简单来说就是,两数补码的和,等于两数和的补码,这是补码减法运算公式。
[0102.16-0107.75] 简单来说就是,两数补码的差,等于两数差的补码。
[0107.75-0116.35] 通过补码加法运算公式,不难看出,我们可将补码减法运算,转换成补码加法运算。
[0116.67-0142.38] 只要将补码加法运算公式中的B,换成複B即可,由于我们讨论的是补码,其前提是魔术,对于定点整数,魔术等于2的N加1次方,其中N为补码数值位的位数,对于定点小数,魔术等于2的1次方,等于2,上述有关补码魔术的知识点。
[0142.38-0152.54] 我们在之前第二章有关补码基本知识的那节课中,在介绍定点数的补码定义时,已经给同学们介绍过了。
[0152.54-0158.56] 忘记该知识点的同学,请暂停播放视频,快速复习一下。
[0158.56-0168.19] 接下来,我们基于定点小数的补码定义,来证明补码的加法和减法运算公式,需要说明的是,
[0168.35-0175.07] 也可以基于定点整数的补码定义,来证明补码的加法和减法运算公式。
[0175.07-0180.82] 只不过相比之下,证明过程的书写内容会稍微麻烦一些。
[0180.82-0189.58] 那么,我们首先来证明补码加法运算公式,根据定点小数的补码定义中,真值的取之范围。
[0189.58-0196.70] 我们可以写出补码加法运算公式中,真值A,B,以及A加B的取之范围。
[0197.12-0206.24] 需要说明的是,将A加B的取之范围,规定为与A和B的取之范围都相同,以确保无异出。
[0206.24-0217.28] 如果同学们对异出的概念还不了解,没有关系,下节课我们就会介绍异出的概念,以及补码加减法运算的异出检测。
[0217.54-0227.78] 目前和简单认为,A加B得到一个真值,该真值也应该满足定点小数的补码定义中真值的取之范围。
[0227.78-0234.02] 根据真值A和B的取之范围,我们需要分以下四种情况证明。
[0234.02-0238.22] 第一种情况是A大与0,B大与0的情况。
[0238.22-0242.46] 第二种情况是A大与0,B小与0的情况。
[0242.46-0246.59] 第三种情况是A小与0,B大与0的情况。
[0246.59-0250.72] 第四种情况是A小与0,B小与0的情况。
[0250.72-0254.42] 第一种情况是符号从正的情况。
[0254.42-0258.10] 第四种情况是符号从负的情况。
[0258.10-0262.48] 而第二第三种情况是符号相反的情况。
[0262.48-0269.41] 因此对于第二种和第三种情况,我们只需证明其中一个即可。
[0269.41-0276.24] 接下来,我们首先证明符号从正的情况,由于A大与0,B大与0。
[0276.32-0279.76] 因此可以推出A加B大与0。
[0279.76-0289.87] 根据定年小数的补码定义可知,当真值为0获为小于1的正数时,真值的补码就等于真值本身。
[0289.87-0298.30] 因此我们可以得出A的补码等于A,B的补码等于B,A加B的补码等于A加B。
[0298.72-0308.27] 通过上述这三个式子,不难推出A的补码加B的补码等于A加B,等于A加B的补码。
[0308.27-0314.86] 再来证明符号相反的情况,例如A大与0,B小与0的情况。
[0314.86-0322.22] 根据定年小数的补码定义可知,A的补码等于A,B的补码等于2加B。
[0322.54-0328.94] 因此可以推出A的补码加B的补码等于2加上A加B。
[0328.94-0340.75] 当A加B在于0时,则2加上A加B在于2,根据定年小数的补码定义可知,2作为魔数可直接舍弃。
[0340.75-0346.19] 因此可得A的补码加B的补码等于A加B。
[0346.19-0351.71] 由于A加B在于0,根据定年小数的补码定义可知,
[0351.87-0362.83] 当真值为0获为小于1的正数时,真值的补码就等于真值本身,因此A加B等于A加B的补码。
[0362.83-0372.64] 当A加B小于0时,根据定年小数的补码定义可知,A加B的补码等于2加上A加B。
[0372.64-0380.64] 因此可得A加B的补码等于2加上A加B,等于A的补码加B的补码。
[0381.70-0392.30] 再来证明符号重复的情况,根据定年小数的补码定义可知,A的补码等于2加A,B的补码等于2加B。
[0392.30-0399.68] 因此可以推出A的补码加B的补码等于2加上2加A加B。
[0399.68-0408.34] 我们将该式记为是1,由于A大于等于-1小于0,B大于等于-1小于0。
[0408.50-0418.77] 因此可以推出A加B大于等于-2小于0,进而可以推出2加上A加B大于等于0小于2。
[0418.77-0426.26] 我们将该式记为是2,综合是1和是2,舍去魔术2可得。
[0426.26-0436.70] A的补码加B的补码等于2加上A加B,由于A小于0,B小于0可以推出A加B小于0。
[0437.02-0446.40] 根据定年小数的补码定义可以推出A加B的补码等于2加上A加B,综合这两个式子可得。
[0446.40-0454.82] A的补码加B的补码等于A加B的补码,这样我们就证明了补码加法的运算公式。
[0454.82-0465.65] 对于补码减法的运算公式,我们首先来证明这一部分,A-B的补码可写成A加上-B,然后取补码。
[0466.00-0479.06] 利用我们之前以证明的补码加法运算公式,可得A-B的补码等于A加-B然后再取补码,等于A的补码加-B的补码。
[0479.06-0488.19] 这样我们就证明了补码减法运算公式的这一部分,接下来只需要证明这一部分成立即可,
[0488.67-0502.78] 要证明这一部分,只需要证明,複B的补码等于B的补码取付,也就是需要证明该式,该式等号左侧可写为複B的补码加B的补码。
[0502.78-0515.12] 利用我们之前以证明的补码加法运算公式,可得结果为0,因此我们就证明了複B的补码等于B的补码取付。
[0515.71-0538.96] 至此我们就证明了补码减法的运算公式,从补码减法的运算公式可以看出,补码减法运算可以转换成补码加法运算,这样在机器内部就可以不设计减法器,而将补码减法运算转换成补码加法运算,利用加法器来完成运算。
[0539.65-0545.81] 接下来,我们通过几个立题,加深同学们对补码加减法运算的理解。
[0545.81-0569.06] 首先来看立题一,我们一起来解题,我们首先写出真之X和真之Y各自的补码,由于本例所给的X和Y都是正数,因此他们各自的补码就是他们各自本身,而小数点左侧的0作为符号位表示正数,
[0569.71-0581.38] 将X的补码与Y的补码进行加法运算并得出结果,相信同学们对二净值加法运算已经非常熟悉了,我们就不再坠述了。
[0582.59-0604.14] 我们也可以先计算X加Y,然后对其结果求补码,如都所示,可以看到X的补码加Y的补码的结果与先计算X加Y,然后对其结果求补码得到的结果是相同的。
[0604.98-0621.14] 因此,可采用上述两种方法进行补码加法运算,这句话是针对我们手工计算而言的,我们心里应该很清楚,在机器内部采用的是操作数各自的补码进行加法运算的。
[0622.04-0635.73] 再来看立题二,我们来一起解题,我们首先写出真之X和真之Y各自的补码,由于本例所给的X和Y都是负的定点小数,
[0636.39-0649.07] 因此,可以通过补码的定义是求出他们各自的补码,也可以先写出他们各自的圆码,然后通过反码法或扫描法,求出他们各自的补码。
[0649.63-0662.39] 这应该是同学们在学习完第二章后,就熟练掌握的基本功,我们就不再坠述了,将X的补码与Y的补码进行加法运算并得出结果。
[0663.48-0669.00] 请同学们注意,符号位敬畏的位权值作为魔术,应该舍去。
[0669.72-0678.24] 这个知识点,我们在之前第二章有关补码基本知识的那节课中,已经给同学们介绍过了,就不再坠述了。
[0679.25-0692.93] 再来计算一下X加Y的补码,如同所示,可以看到X加Y的补码与X的补码加上Y的补码的结果相同。
[0694.74-0709.66] 再来看立题三,我们来一起解题,我们首先写出帧字X和帧字Y各自的补码,将X的补码与Y的补码进行加法运算并得出结果。
[0710.87-0714.39] 符号位敬畏的位权值作为魔术,应该舍去。
[0715.62-0729.27] 再来计算一下X加Y的补码,如同所示,可以看到X加Y的补码与X的补码加上Y的补码的结果相同。
[0730.54-0743.43] 之前这三个例子都是做补码加法运算,我们再来举两个做补码减法运算的例子,首先来看立题四,我们来一起解题。
[0744.35-0760.54] 根据补码减法运算公式可知,我们可以将补码减法运算转换成补码加法运算,对于本例,就是将X的补码减去Y的补码,转换成X的补码加上腐外的补码。
[0761.61-0774.16] 由于本例所给的X和Y都是正数,因此,它们各自的补码就是它们各自本身,而小数点左侧的零,作为符号位,表示正数。
[0775.18-0786.54] 现在,我们还需要得出腐外的补码,不知同学们是否还记得,已知外的补码,如何求出其相反数的补码,也就是腐外的补码。
[0787.49-0802.22] 没错,那就是将外的补码的全部位暗位取反,然后末位加一,该知识点,我们在之前第二章中的定点数的编码的习题课中,给同学们介绍过,就不再赘述了。
[0803.17-0811.78] 这样,我们就得到了腐外的补码,将X的补码与腐外的补码进行加法运算,并得出结果。
[0812.66-0831.94] 腐外位尽位的位权值,作为魔术,应该舍去,再来计算一下X-Y的补码,如读所示,可以看到X-Y的补码与X的补码,加上腐外的补码的结果是相同的。
[0832.77-0857.98] 再来看立体五,我们来一起解题,根据补码减法运算公式可知,我们可以将补码减法运算转换成补码加法运算,对于本地,就是将X的补码减去外的补码,转换成X的补码,加上腐外的补码,我们首先写出X和腐外各自的补码。
[0858.74-0884.45] 将X的补码与腐外的补码进行加法运算并得出结果,腐二位尽位的位权值,作为魔术,应该舍去,再来计算一下X-Y的补码,如读所示,可以看到X-Y的补码与X的补码加上腐外的补码的结果是相同的。
