[0003.54-0008.02] 同学们好,欢迎大家来到我的计算机组成原理维克堂
[0008.02-0012.90] 经过上节课的学习,同学们对开始有了初步了解
[0012.90-0017.02] 本节课通过介绍开始的读写操作流程
[0017.02-0020.10] 我们引出实现开始的关键技术
[0020.10-0025.87] 而这些实现开始的关键技术将在后续几节课中依次介绍
[0025.97-0029.65] 我们首先来看开始读操作的基本流程
[0029.65-0033.23] CPU要读取慢速主存中的数据
[0033.39-0036.98] 它首先会在高速开始中进行查找
[0036.98-0040.02] 这需要通过主存地址进行查找
[0040.05-0044.43] 若数据命中,则读取数据即可
[0044.43-0050.02] 若数据缺失,则需要将缺失的数据所在的数据跨
[0050.02-0054.58] 从主存调入开始中,之后才能读取数据
[0054.83-0057.71] 上述开始读操作的基本流程
[0057.71-0060.91] 我们在上节课就曾给同学们介绍过
[0061.15-0063.63] 本节课,我们更进一步
[0063.63-0069.15] 请同学们思考一下,开始读操作涉及哪些关键技术呢?
[0069.15-0074.98] 我想很多同学都会想到其中的一些关键技术
[0074.98-0079.86] 例如,如何对要访问的数据进行快速查找
[0079.86-0084.74] 主存中的数据跨因喪置到开始中的什么位置
[0084.74-0088.10] 是随意放置呢?还是有什么规则呢?
[0088.10-0091.68] 这就引出了地址硬设这个关键技术
[0092.24-0095.76] 而对要访问的数据进行快速查找的方法
[0095.76-0098.08] 也取决于地址硬设
[0098.08-0103.78] 例如,全关联硬设中通过相连存储器实现快速查找
[0103.78-0108.59] 另外,当从主存再入数据块到开始时
[0108.59-0111.95] 若开始移满,应该如何处理呢?
[0111.95-0115.78] 这就引出了替换策略这个关键技术
[0115.78-0120.78] 接下来,我们画出开始读操作的基本流程图
[0121.28-0124.56] CPU收到带读取数据的主存地址
[0124.56-0129.55] 是用快速查找机制来判断数据是否在开始中
[0129.55-0134.08] 若数据命中,则CPU读取开始中的数据
[0134.08-0135.76] 读操作结束
[0135.76-0141.12] 若数据缺失,则为缺失数据分配开始数据块
[0141.12-0144.64] 这可能需要进行开始数据块替换
[0144.64-0150.21] 之后,再入主存地址对应的主存数据块到开始中
[0150.37-0154.93] 还需要更新进行快速查找时用到的查找表
[0154.93-0158.67] 之后,CPU读取开始中的数据
[0158.67-0160.19] 读操作结束
[0160.19-0164.64] 从开始读操作的基本流程图也不难看出
[0164.64-0167.36] 数据命中时的访问时间最短
[0167.36-0171.38] 如果数据缺失,则访问时间缺慢
[0171.38-0175.22] 这主要是因为需要访问慢速主存
[0175.98-0181.82] 接下来,我们对开始读操作所涉及到的关键技术进行小节
[0182.56-0185.12] 我们知道,进行读操作
[0185.12-0188.56] 在数据命中的情况下,访问时间最短
[0188.75-0193.79] 因此,构建开始系统时应尽可能提高命中率
[0193.79-0196.03] 以提升读操作性能
[0196.03-0198.75] 通过较好的替换策略
[0198.75-0202.91] 将经常访问的热数据保留在开始中
[0202.91-0206.35] 将不经常访问的冷数据淘汰
[0206.35-0211.07] 来充分利用时间局不幸,以提高命中率
[0211.23-0215.47] 数据缺失时,会将缺失数据所在数据块中的
[0215.47-0217.86] 其他数据一起带入
[0217.86-0221.86] 这种预读策略,可以充分利用空间局不幸
[0221.86-0225.63] 来提高顺序访问的命中率
[0225.63-0229.79] 接下来,我们来看开始写操作的基本流程
[0229.79-0233.71] CPU收到代写入数据的主存地址
[0233.71-0239.17] 使用快速查找机制来判断数据是否在开始中
[0239.33-0244.37] 若数据命中,则CPU将代写入数据写入开始中
[0244.37-0248.91] 如读所示,新写入开始中的数据
[0248.91-0252.43] 与主存中的原始数据是不一致的
[0252.43-0254.43] 成为脏数据
[0254.43-0257.79] 若采用写回策略,可理解成
[0257.79-0260.22] 仅写入开始就返回
[0260.22-0262.67] 此时写操作结束
[0262.67-0266.03] 很显然,这种方式想用速度最快
[0266.03-0268.75] 但会产生不一致性
[0268.91-0272.51] 如果还要将脏数据写入慢速的主存号
[0272.51-0275.95] 才能返回,则成为写穿策略
[0275.95-0278.43] 可理解成一写到底
[0278.43-0282.29] 也就是开始和主存都要写
[0282.29-0285.73] 很显然,这种方式想用速度较慢
[0285.73-0288.48] 但没有脏数据产生
[0288.48-0291.60] 以上我们只看了数据命中的情况下
[0291.60-0294.48] 采用写回策略和写穿策略的
[0294.48-0296.86] 开始写操作流程
[0296.86-0298.94] 再来看数据缺失情况下的
[0298.94-0301.23] 开始写操作流程
[0301.23-0303.58] 若数据缺失
[0303.58-0307.26] 将数据写入慢速主存号就返回
[0307.26-0310.24] 这称为非写分配策略
[0310.24-0311.92] 非写分配是指
[0311.92-0316.48] 这种方式不用为写入数据分配开始数据化
[0316.48-0320.16] 因为仅将该数据写入了慢速主存
[0320.16-0322.80] 而没有写入快速开始
[0322.80-0324.96] 也就是说,这种方式
[0324.96-0328.40] 将数据写入慢速主存即可返回
[0328.48-0331.02] 结束写操作
[0331.02-0334.38] 如果首先将缺失数据所在主存的数据化
[0334.38-0335.98] 再入开始中
[0335.98-0339.82] 然后进行与写命中一样的写入流程
[0339.82-0342.37] 则称为写分配策略
[0342.37-0344.37] 写命中时的写入流程
[0344.37-0346.29] 之前我们刚刚介绍过
[0346.29-0348.54] 就不再赘述了
[0348.54-0349.42] 接下来
[0349.42-0353.84] 我们画出开始写操作的基本流程图
[0353.84-0357.36] CPU收到带写入数据的组成地址
[0357.36-0359.20] 使用快速查找机制
[0359.28-0362.51] 来判断数据是否在开始中
[0362.51-0364.11] 若数据命中
[0364.11-0366.75] 则写数据到开始中
[0366.75-0369.47] 如果采用的是写回策略
[0369.47-0371.47] 则写数据到开始后
[0371.47-0373.62] 写操作结束
[0373.62-0376.58] 否则采用的是写穿策略
[0376.58-0379.68] 还要写数据到慢速主存中
[0379.68-0382.56] 之后写操作结束
[0382.56-0384.64] 在数据缺失的情况下
[0384.64-0387.36] 若采用的是非写分配策略
[0387.36-0390.14] 则写数据到慢速主存中
[0390.22-0392.75] 之后写操作结束
[0392.75-0395.31] 若采用的是写分配策略
[0395.31-0398.59] 则为缺失数据分配开始数据跨
[0398.59-0402.51] 这可能需要进行开始数据跨替换
[0402.51-0403.39] 之后
[0403.39-0406.03] 再入主存地址对应的主存数据跨
[0406.03-0407.70] 到开始中
[0407.70-0408.82] 还需要更新
[0408.82-0412.74] 进行快速查找时用到的查找表
