[0002.99-0007.39] 同学们好,欢迎大家来到我的计算机组成员里维克堂。
[0007.39-0018.39] 经过之前几次课的学习,同学们已经知道了,指令的一般格式,指令中的操作码自断,指令中的地址码自断的相关知识。
[0018.39-0022.69] 我们还给同学们简单提到过寻止方式的概念。
[0022.69-0026.89] 它决定了操作数的存放位置和访问方式。
[0027.28-0035.28] 寻止方式可以显示的包含在地址码自断中,也可以隐释的包含在操作码自断中。
[0035.28-0044.01] 那么从本节课开始的,我们要用几课的时间,给同学们进一步介绍寻止方式的相关知识。
[0044.01-0048.10] 本节课,我们对寻止方式进行概述。
[0048.10-0054.76] 寻止方式是指寻找指令或指令中操作数的有效地址的方式。
[0055.35-0062.94] 有效地址可以是主存地址,也可以是采用虚拟存储技术的虚拟地址。
[0062.94-0069.80] 广易的寻止方式分为指令寻止方式和操作数寻止方式两大类。
[0069.80-0075.69] 指令寻止方式包含顺序寻止和跳跃寻止两种方式。
[0075.69-0092.29] 而操作数寻止方式包含立即寻止、直接寻止、间接寻止、技存器寻止、技存器间接寻止、相对寻止、电制寻止、机制寻止、堆战寻止等多种寻止方式。
[0092.29-0098.82] 很显然,操作数寻止方式比指令寻止方式复杂且灵活。
[0099.05-0104.45] 这是因为,操作数是程序执行时需要处理的数据。
[0104.45-0111.78] 为了满足不同程序设计技巧的需要,操作数的存取方式应该比较灵活多样。
[0111.78-0121.70] 从程序设计角度看,操作数可能是长数、简单面量、数组和结构体中的某个元素。
[0122.12-0127.78] 战中的数据,外设IO接口中的状态字或控制字等。
[0127.78-0143.66] 从指令角度看,操作数的存放位置可能是CPU内部的通用技存器、主存、IO端口、上述因素也决定了操作数灵活多样的寻止方式。
[0143.66-0151.25] 需要说明的是,由于指令寻止方式比较简单,一般情况下很少提到。
[0151.45-0159.45] 因此,当我们提到寻止方式时,除特别说明,往往指的是操作数的寻止方式。
[0159.45-0169.25] 这也是我们之前将寻止方式分为上述两大类时,将寻止方式称为广义的寻止方式的原因。
[0169.25-0180.03] 综上所说,寻止方式是指令系统的重要组成部分,它对指令的格式和功能设计都有较大的影响。
[0180.03-0192.22] 灵活高效的寻止方式不仅能够为程序员提供多样化的程序设计手段,还能显著提升程序的运行速度和存储空间的利用率。
[0192.22-0196.30] 好的,本节课到这里就结束了。
[0196.30-0199.10] 同学们,我们下节课见!
