[0004.14-0008.46] 同學們好,歡迎大家來到我的計算機組成原理維克堂
[0008.46-0011.58] 在上幾課中,我們給同學們介紹了
[0011.58-0016.30] 為了給CPU增加中斷處理功能而針對數據通路的改造
[0016.30-0020.34] 在此基礎上,本節課我們給同學們介紹
[0020.34-0025.62] 針對三級時序應不限控制器和現代時序應不限控制器的改造
[0025.62-0031.46] 如讀所示,這是我們之前在本章有關時序發生器的那節課
[0031.46-0035.70] 給同學們介紹過的三級時序發生器的構建過程
[0035.70-0042.10] 其中,這是針對變長指定週期所構建出的三級時序狀態轉換圖
[0042.10-0045.22] 也就是有線狀態機FSM
[0045.22-0049.18] 那麼接下來呢,我們就在此基礎上進行改造
[0049.18-0053.50] 進而實現為採用三級時序應不限控制器的CPU
[0053.50-0055.42] 增加中斷處理功能
[0055.42-0058.47] 我們需要在該狀態轉換圖的基礎上
[0058.63-0061.99] 增加包含兩個節派電位的中斷顯磷週期
[0061.99-0063.19] 如讀所示
[0063.19-0072.20] 在中斷顯磷週期的第一個節派電位
[0072.20-0075.48] 也就是狀態轉換圖中的狀態S9
[0075.48-0077.16] 執行的操作是
[0077.16-0080.12] 將中斷使能位計存器IE清零
[0080.12-0081.80] 實現關中斷
[0081.80-0085.32] 同時,還需要將程序計入器PC的值
[0085.32-0091.16] 經CPU內部單總線傳送到異常指令地址計存器EPC中進行保存
[0091.16-0092.92] 實現保存斷點
[0093.45-0095.21] 我們將勝屬操作
[0095.21-0100.33] 帶入基於CPU內部單總線數據通路的這幅圖中進行掩飾
[0100.33-0102.81] 以方便同學們理解
[0102.81-0106.65] 假設圖中感視的是某條指令執行完成後
[0106.65-0108.25] 檢查中斷請求
[0108.25-0111.21] 發現中斷員SA產生了中斷
[0111.21-0114.89] 這是同學們上解課已經學習過的知識
[0114.89-0117.19] 我們就不再墜速了
[0117.19-0120.07] 控制器在收到中斷請求後
[0120.07-0122.47] 會發出這些控制信號
[0123.02-0127.56] 我們將其標記在圖中如讀所示
[0127.56-0130.92] 由於IE的控制信號CLI有效
[0130.92-0133.11] 因此IE被清零
[0133.11-0136.15] IE的輸出作為與門的一個輸入
[0136.15-0138.92] 此時相當於關閉的與門
[0138.92-0142.36] 儘管中斷控制邏輯產生的中斷請求信號
[0142.36-0145.56] 通過與門的另一個輸入端進入與門
[0145.56-0147.56] 但與門的輸出為零
[0147.56-0150.76] 也就是控制器的中斷輸入端輸入零
[0150.76-0153.56] 這樣就實現了關中斷
[0153.83-0155.03] 與此同時
[0155.03-0157.67] 由於控制信號PCOUT有效
[0157.67-0160.15] 其所控制的三探門打開
[0160.15-0163.67] 這樣PC的內容就通過該三探門
[0163.67-0166.34] 到達CPU內部的單總線
[0166.34-0168.74] 經過在單總線中的傳送
[0168.74-0171.90] PC的內容就被傳送到了EPC
[0171.90-0174.86] 由於控制信號EPC硬有效
[0174.86-0178.92] 因此PC的內容被寫入EPC
[0178.92-0182.10] 這樣就實現了保存斷點
[0182.18-0185.14] 再來看中斷想贏週期的第二個節派電位
[0185.14-0189.02] 也就是狀態轉換途中的狀態S10
[0189.02-0190.62] 執行的操作是
[0190.62-0193.18] 將當前中斷服務程序入口地質
[0193.18-0197.78] 經CPU內部單總線傳送到程序技術器PC
[0197.78-0200.02] 我們基於之前的狀態
[0200.02-0203.06] 開始執行中斷想贏週期的第二個節派電位中
[0203.06-0204.79] 應執行的操作
[0204.79-0207.99] 這是控制器發出的相關控制信號
[0207.99-0213.02] 我們將其標記在途中如足所適
[0213.18-0215.34] 由於該控制信號有效
[0215.34-0220.78] 因此多數選擇器輸出的中斷員SA的中斷服務程序的入口地質
[0220.78-0225.05] 通過該三代門到達CPU內部的單總線
[0225.05-0227.45] 經過在單總線中的傳送
[0227.45-0230.65] 中斷員SA的中斷服務程序的入口地質
[0230.65-0233.78] 就被傳送到了程序技術器PC
[0233.78-0236.50] 由於控制信號PC硬有效
[0236.50-0240.34] 因此中斷員SA的中斷服務程序的入口地質
[0240.34-0242.25] 就被寫入了PC
[0242.41-0243.21] 至此
[0243.21-0248.07] 中斷想贏週期的第二個節派電位中所執行的操作完畢
[0248.07-0252.39] 接下來進入的是取指週期的第一個節派電位
[0252.39-0255.27] 也就是開始執行中斷服務程序
[0255.27-0257.03] 為什麼這麼說呢
[0257.03-0258.87] 請同學們不要忘記了
[0258.87-0260.39] 我們剛剛分析過
