[0003.47-0007.67] 同学们好,欢迎大家来到我的计算机组成员里维克唐
[0007.67-0011.43] 本节课,我们介绍主存的基本结构
[0011.43-0015.83] 主存是机器指令直接操作的存储器
[0015.83-0019.83] 需要基于主存地址,对其进行随机反问
[0019.83-0023.43] 如都所示,这是我们在第一张概述中
[0023.43-0027.63] 就给同学们介绍过的主存的基本硬件组成
[0027.63-0032.43] 包括存储体,存储器数据计存器MDR
[0032.59-0035.55] 存储器地址计存器MDR
[0035.55-0039.38] 存储体有很多个存储单元组成
[0039.38-0044.06] 而每个存储单元由若干个存储原价组成
[0044.06-0048.98] 每个存储原价能存储一位二净之数0或1
[0048.98-0054.45] 因此,每个存储单元中可存储一创二净之信息
[0054.45-0058.45] 我们称这创二净之信息为一个存储字
[0058.45-0062.65] 而这创二净之信息的位数称为存储自常
[0062.81-0066.41] 可以是8位、16位或32位等
[0066.41-0069.69] 存储器数据计存器MDR
[0069.69-0074.81] 用来存放从存储体的某个存储单元取出的信息
[0074.81-0078.53] 或者准备往某个存储单元存入的信息
[0078.53-0083.46] 因此,MDR的位数应该与存储自常相等
[0083.46-0086.42] 存储器地址计存器MAR
[0086.42-0089.86] 用来存放与访问的存储单元的地址
[0090.22-0094.34] 当CPU要访问主存中的某个存储单元时
[0094.34-0098.87] 首先要将该存储单元的地址送到MAR中
[0098.87-0104.07] 因此,MDR的位数就决定了存储单元的数量
[0104.07-0107.91] 具体为二的MDR的位数次方格
[0107.91-0112.37] 以上就是我们在第一章中就给同学们介绍过的
[0112.37-0114.81] 有关主存的相关知识
[0114.81-0117.28] 由于第一章是概述
[0117.44-0121.12] 因此,没有必要让同学们过早地接触到
[0121.12-0124.00] 主存的更多底层细节
[0124.00-0127.56] 例如,为什么将在访问的存储单元的地址
[0127.56-0129.12] 写入MAR中
[0129.12-0134.10] 就可以找到存储体中的这个具体的存储单元了呢?
[0134.10-0138.82] 现在,我们的学习已经进入了第四章存储系统
[0138.82-0143.81] 因此,我们就可以给同学们介绍这些相关细节了
[0143.81-0145.93] 我们来举例说明
[0146.09-0147.77] 为了简单起见
[0147.77-0149.09] 在本例中
[0149.09-0151.37] 存储自成仅为8位
[0151.37-0155.23] 存储体也仅由8个存储单元构成
[0155.23-0159.99] 这样,我们可以比较容易的话出本例中的存储体
[0159.99-0162.59] 它有8个存储单元构成
[0162.59-0166.51] 每个存储单元包含有8个存储原价
[0166.51-0170.51] 每个存储原价用来存储二进之数0或1
[0170.51-0173.73] 因此,存储自成为8位
[0173.89-0179.33] 相应的,存储器数据居存器MBR的位数也因为8位
[0179.33-0182.05] 因为MBR是用来存放
[0182.05-0185.73] 从存储体的某个存储单元取出的信息
[0185.73-0189.97] 或者准备往某个存储单元存入的信息
[0189.97-0193.33] 为了找到存储体中的某个存储单元
[0193.33-0198.02] 应该给存储体中的每个存储单元都编上地址
[0198.02-0201.74] 由于存储体中包含有8个存储单元
[0201.74-0204.86] 因此,我们可以仅用3个二进之位
[0204.86-0208.10] 或者说3个比特进行编织
[0208.10-0211.98] 因为3个二进之位共有8种组合
[0211.98-0215.06] 也就是2的三四方等于8
[0215.06-0217.18] 最小地址为00
[0217.18-0219.62] 最大地址为111
[0219.62-0225.18] 相应的,存储器地址计存器MBR的位数也因为3位
[0225.18-0229.62] 当给MBR送入的3位二进之数为00时
[0229.62-0234.66] 则存储体中地址为00的存储单元被选中
[0234.66-0239.14] 当给MBR送入的3位二进之数为0010
[0239.14-0243.50] 则存储体中地址为001的存储单元被选中
[0243.50-0246.18] 以此类推
[0246.18-0250.77] 那么如何用硬价来实现上述操作呢?
[0250.77-0253.49] 这就引出了地址一码器
[0253.49-0256.61] 相信学习过树垫这门课程的同学
[0256.61-0259.29] 对于一码器并不陌生
[0259.29-0262.41] 例如,本类中使用的地址一码器
[0262.41-0265.64] 就是一个典型的三八一码器
[0265.64-0269.20] MBR的内容作为地址一码器的输入
[0269.20-0271.64] 而地址一码器的各个输出
[0271.64-0274.62] 连接到相应的存储单元
[0274.62-0278.38] 没有学习过一码器的同学也不用担心
[0278.38-0280.10] 因为其比较简单
[0280.10-0283.00] 通过本类大家就能掌握
[0283.00-0288.24] 例如,当给MBR送入的3位二进之数为0010
[0288.24-0290.96] 也就是给地址一码器的三个输入端
[0290.96-0292.88] 输入了相应的电瓶
[0292.88-0294.60] 0表示低电瓶
[0294.60-0296.79] 1表示高电瓶
[0296.79-0299.51] 地址一码器根据一码规则
[0299.51-0301.11] 将三位输入信号
[0301.11-0304.54] 一码程相应的八位输出信号
[0304.54-0308.54] 可以看到,八位输出信号中仅有一位不同
[0308.54-0311.74] 而这一位信号称为有效信号
[0311.74-0314.78] 用于选中相应的存储单元
[0314.78-0319.04] 在本例中,假设有效信号为高电瓶
[0319.04-0323.33] 这样,地址为00的存储单元被选中
[0323.33-0328.69] 又例如,当给MBR送入的3位二进之数为0010
[0328.69-0331.95] 地址一码器输出这样的结果
[0331.95-0336.62] 因此,地址为001的存储单元被选中
[0336.62-0341.42] 至此,相信同学们已经理解了地址一码器的作用
[0341.42-0343.06] 需要说明的是
[0343.06-0347.94] 本课程仅要求同学们理解地址一码器的作用即可
[0347.94-0353.10] 并不要求同学们掌握如何利用逻辑门来构建一码器
[0353.10-0355.94] 那是数点课程的内容
[0355.94-0357.70] 为了循序渐进
[0357.70-0360.99] 我们刚才的介绍并未引入CPU
[0360.99-0364.99] 实际上,存储器地址计存器MBR的内容
[0364.99-0368.27] 由CPU通过地址总线送入
[0368.27-0370.79] 存储器数级计存器MBR
[0370.79-0374.83] 用于暂存CPU通过数据总线送来的
[0374.83-0378.55] 带写入存储体中某个存储单元的信息
[0378.55-0383.91] 或者暂存从存储体中某个存储单元读出的信息
[0383.91-0387.67] 而上述操作以及地址一码器的一码
[0387.67-0390.31] 都需要在CPU的控制下进行
[0390.31-0393.66] 由于控制信号往往不止一个
[0393.66-0397.70] 因此,将传输各种控制信号的传输线
[0397.70-0399.86] 统称为控制总线
[0400.32-0401.92] 为了简单起见
[0401.92-0406.08] 本节课我们并不区分都有哪些控制信号线
[0406.08-0409.13] 下面,我们分别举例说明
[0409.13-0412.49] CPU从主存中读取信息的过程
[0412.49-0415.85] 以及向主存中写入信息的过程
[0415.85-0420.05] 假设主存的存储体中的各个存储原价
[0420.05-0423.13] 存储的一位二净之数如足所示
[0423.13-0427.47] 首先来看CPU从主存中读取信息的过程
[0427.77-0430.77] 假设CPU要读取主存中
[0430.77-0433.61] 地址为110的存储单元的信息
[0433.61-0435.76] CPU通过地址总线
[0435.76-0438.80] 将地址110送入MAR
[0438.80-0441.89] 只好CPU通过控制信号
[0441.89-0445.13] 控制地址一码器进行一码输出
[0445.13-0448.85] 地址一码器连接地址为110的存储单元的
[0448.85-0451.65] 那条输出线输出有效电瓶
[0451.65-0454.77] 因此该存储单元被选中
[0455.07-0457.83] 之后CPU通过控制信号
[0457.83-0460.91] 控制主存将该存储单元中的信息
[0460.91-0465.66] 读取到存储器数据计存器MDR中暂存
[0465.66-0468.26] 之后CPU通过控制信号
[0468.26-0470.02] 将MDR中的信息
[0470.02-0473.94] 通过数据总线读取到CPU中
[0473.94-0478.34] 再来看CPU向主存中写入信息的过程
[0478.34-0480.46] CPU通过数据总线
[0480.46-0482.78] 将代写入主存中的信息
[0482.78-0485.58] 写入到主存的MDR中
[0485.66-0488.42] 之后CPU通过地址总线
[0488.42-0491.18] 将代写入信息的存储单元的地址
[0491.18-0494.94] 送入存储器地址计存器MDR中
[0494.94-0498.86] 假设代写入信息的存储单元的地址为111
[0498.86-0501.86] 之后CPU通过控制信号
[0501.86-0505.39] 控制地址一码器进行一码输出
[0505.39-0508.51] 地址一码器连接地址为111的存储单元的
[0508.51-0511.63] 那条输出线输出有效电瓶
[0511.63-0514.82] 因此该存储单元被选中
[0514.90-0517.66] 之后CPU通过控制信号
[0517.66-0520.70] 将之前送入到MDR中的信息
[0520.70-0524.54] 写入到该存储单元
[0524.54-0526.14] 请同学们注意
[0526.14-0528.14] 随着印件技术的发展
[0528.14-0531.26] 现在的主存也就是内存
[0531.26-0534.34] 都被制成大规模集成电路芯片
[0534.34-0537.38] 而将存储器地址计存器MDR
[0537.38-0540.42] 和存储器数据计存器MDR
[0540.42-0544.36] 都集成到了CPU内部
[0544.36-0545.20] 好的
[0545.20-0547.72] 本节课到这里就结束了
[0547.72-0549.04] 在本节课中
[0549.04-0551.04] 我们首先回顾了一下
[0551.04-0553.20] 第一章就给同学们介绍过的
[0553.20-0555.28] 主存的基本构成
[0555.28-0558.28] 进而引入了地址一码器的作用
[0558.28-0559.80] 然后举例说明了
[0559.80-0563.08] CPU从主存中读取信息的过程
[0563.08-0566.84] 以及向主存中写入信息的过程
[0566.84-0569.32] 相信同学们经过本节课的学习
[0569.32-0571.28] 对主存的基本结构
[0571.28-0574.20] 以及CPU对其进行访问的过程
[0574.24-0576.45] 有了进一步的了解
[0576.45-0579.53] 然而对于本章的教学内容而言
[0579.53-0581.62] 这还远远不够
[0581.62-0584.86] 例如存储体中的各个存储原价
[0584.86-0587.46] 其构成是怎样的呢
[0587.46-0591.38] 为什么能够存储二进之数0或1呢
[0591.38-0592.50] 有例如
[0592.50-0595.74] 为什么地址一码器输出的有效信号
[0595.74-0598.98] 就可以选中相应的存储单元呢
[0598.98-0601.87] 其电路原理是什么呢
[0601.87-0602.91] 上述内容
[0602.95-0607.79] 我们会在本章后续的多次课中逐步展开
[0607.79-0608.59] 同学们
[0608.59-0609.79] 我们下节课见
