[0003.63-0007.63] 同学们好,欢迎大家来到我的计算机组成员里维克堂
[0007.63-0011.03] 从本节课开始,我们进入第七章的学习
[0011.03-0013.43] 第七章的内容是总签系统
[0013.43-0017.23] 本章的前三四课,都是有关总签概述的内容
[0017.23-0020.43] 在同学们理解了总签的相关基本概念后
[0020.43-0025.43] 我们还要用几次课的时间,进一步给同学们介绍总签的相关知识
[0025.43-0028.03] 那么本节课呢,我们给同学们介绍
[0028.03-0031.43] 总签的作用和特点,总签上的主从设备
[0031.63-0034.03] 总签标准规定的四个特性
[0034.03-0038.03] 实际上,同学们在学习第四章存储系总识
[0038.03-0041.23] 就已经接触到了总签的相关知识
[0041.23-0045.23] 例如,这是用来传输数据信息的数据总签
[0045.23-0049.15] 这是用来传输地址信息的地址总签
[0049.15-0052.75] 另外,在刚刚结束的第六章中央处理器
[0052.75-0055.15] 有关数据通路的那几次课中
[0055.15-0058.35] 同学们也接触到了总签的相关知识
[0058.35-0061.55] 例如,这是CPU内部的单总签
[0061.55-0066.15] 这是CPU外部的数据总签,地址总签,控制总签
[0066.15-0067.75] 需要说明的是
[0067.75-0071.75] 当时,我们将这三种总签统称为外部总签
[0071.75-0075.55] 目的是为了与CPU内部的单总签进行区分
[0075.55-0079.35] 但是,如果按照严格的总签分类来划分
[0079.35-0081.95] 这三种总签属于系统总签
[0081.95-0085.58] 而CPU内部的单总签属于片内总签
[0085.58-0088.78] 而外部总签一般是指通信总签
[0088.78-0092.58] 用于实现计算机与外部系统或独立设备
[0092.58-0095.18] 例如,控制仪表,测试仪器
[0095.18-0099.38] 其他计算机等非标准IO设备之间的数据通信
[0099.38-0104.78] 例如,USB总签,R4232总签,R4485总签等
[0104.78-0108.31] 鉴于同学们在第四章和第六章
[0108.31-0110.51] 都接触过总签的相关知识
[0110.51-0113.31] 因此,不能得出总签的作用
[0113.31-0115.51] 那就是,在计算机中
[0115.51-0118.51] 总签是用于在各功能部件
[0118.51-0122.71] 例如,CPU,主存IO设备之间传输数据的
[0122.71-0124.91] 一组公共通信线路
[0124.91-0128.91] 需要说明的是,这里所谓的数据是广一上的
[0128.91-0130.91] 它们可能是数据信息
[0130.91-0132.71] 也可能是地址信息
[0132.71-0135.50] 还可能是控制信息
[0135.50-0137.50] 总签有两个主要的特点
[0137.50-0138.70] 一个是共享
[0138.70-0142.50] 也就是,所有功能部件都挂接在总签上
[0142.50-0144.70] 基于总签,传输数据
[0144.70-0146.50] 另一个是分时
[0146.50-0148.50] 为了避免信号冲突
[0148.50-0151.30] 同一时刻,只允许一个功能部件
[0151.30-0153.39] 向总签发出数据
[0153.39-0155.39] 但是,多个功能部件
[0155.39-0159.65] 可以同时从总签上接收相同的数据
[0159.65-0161.85] 学习过计算机网络课程的同学
[0161.85-0163.45] 应该能够联想到
[0163.45-0166.85] 早期的以太网是共享总签型的以太网
[0166.85-0168.45] 总签上的各占点
[0168.45-0171.45] 使用CSMA-CD协议征用总签
[0171.45-0173.25] 尽量减少碰撞
[0173.25-0177.29] 并在出现碰撞时进行退避重传
[0177.29-0179.49] 在基于总签的重新过程中
[0179.49-0182.29] 不同功能部件的角色是不同的
[0182.29-0186.12] 分为主设备和从设备两种角色
[0186.12-0187.32] 主设备是指
[0187.32-0188.92] 拥有总签控制权
[0188.92-0192.72] 能够主动发起一次数据传输操作的功能部件
[0192.72-0195.72] 例如CPU,DMA控制器等
[0195.72-0197.72] 有关DMA控制器的内容
[0197.72-0199.12] 我们将在第八章
[0199.12-0201.12] 输入输出系统的相关课程中
[0201.12-0203.11] 给同学们介绍
[0203.11-0204.51] 从设备是指
[0204.51-0206.71] 没有总签控制权的功能部件
[0206.71-0209.21] 例如主存外设等
[0209.21-0212.41] 从设备只能响应主设备发起的请求
[0212.41-0215.83] 例如被读取或写入数据
[0215.83-0219.23] 不同厂商的设备或者说功能部件
[0219.23-0221.23] 若要接入统一总线
[0221.23-0224.23] 则必须遵循统一的总线标准
[0224.23-0225.23] 这种标准化
[0225.23-0228.03] 可以促进不同厂商生工协作
[0228.03-0230.43] 使计算机能够以标准化的方式
[0230.43-0232.03] 被生产出来
[0232.03-0234.23] 并且使不同厂商生产的
[0234.23-0235.63] 相同功能的部件
[0235.63-0237.23] 可以互换使用
[0237.23-0240.23] 这极大的推动了计算机产业的发展
[0240.23-0243.63] 例如IBM的PCXT总线标准
[0243.63-0246.03] 标志着兼容机时代的来临
[0246.03-0246.83] 此后
[0246.83-0248.83] 总线标准不断演进
[0248.83-0250.83] 先后出现了16位的ISA
[0250.83-0252.23] 32位的ESA
[0252.23-0252.83] VISA
[0252.83-0255.55] 以及PCI等总线标准
[0255.55-0257.15] 在各种总线标准中
[0257.15-0258.55] 都会详细规定
[0258.55-0260.75] 总线接口的四个特性
[0260.75-0263.15] 那就是机械特性
[0263.15-0265.75] 规定总线的物理连接方式
[0265.75-0268.35] 包括总线包含的线路数量
[0268.35-0270.75] 总线的插头和插座的形状
[0270.75-0274.14] 尺寸以及引脚的排列方式
[0274.14-0275.34] 电气特性
[0275.34-0279.34] 规定总线信号的有效电瓶范围和传输方向
[0279.34-0281.14] 以及采用单端方式
[0281.14-0284.30] 还是插分方式传输信号
[0284.30-0285.70] 单端方式是指
[0285.70-0287.10] 通过一条信号线
[0287.10-0290.30] 和一条公共接地线传输信号
[0290.30-0291.60] 信号电瓶的高低
[0291.60-0293.90] 直接表示不同的数据
[0293.90-0296.00] 一般采用正逻辑体制
[0296.10-0298.90] 也就是用高电瓶表示逻辑1
[0298.90-0301.56] 低电瓶表示逻辑0
[0301.56-0303.06] 插分方式是指
[0303.06-0305.86] 使用两根信号线传输信号
[0305.86-0308.96] 两如信号的正伏相等相位相反
[0308.96-0312.46] 通过两如信号之间的电压差值表示数据
[0312.46-0314.76] 一般采用附逻辑体制
[0314.76-0316.96] 就用高电瓶表示逻辑0
[0316.96-0319.56] 低电瓶表示逻辑1
[0319.56-0321.26] 下面我们举例对比
[0321.26-0324.02] 单端方式和插分方式
[0324.02-0326.62] 左侧上面展示的是单端方式
[0326.62-0329.22] 例如通用易不收发器UART
[0329.22-0330.92] 所使用的总线
[0330.92-0332.82] 几乎所有的微控制器
[0332.82-0333.22] 例如
[0333.22-0334.22] 5L单片机
[0334.22-0334.82] ARM
[0334.82-0338.15] 早期计算机都具有UART接口
[0338.15-0341.75] 将发送端UART接口中的发送引脚TX
[0341.75-0343.15] 通过一条信号线
[0343.15-0347.15] 连接到接收端UART接口中的接收引脚RX
[0347.15-0349.91] 用来传输表示数据信号
[0349.91-0352.71] 将发送端UART接口中的接地引脚
[0352.71-0355.61] 与接收端UART接口中的接地引脚
[0355.61-0358.31] 都连接到公共地接地
[0358.31-0361.31] 这样信号线上所传输的数据
[0361.31-0365.41] 就是依据信号对地的电压差来判定
[0365.41-0367.81] 例如高电瓶表示逻辑1
[0367.81-0369.81] 低电瓶表示逻辑0
[0369.81-0372.31] 这就是所谓的单端方式
[0372.31-0375.01] 其右侧展示的是信号线上
[0375.01-0377.14] 所传输信号的波形
[0377.14-0380.34] 其中白色展示的是理想波形
[0380.34-0381.74] 而黄色展示的是
[0381.74-0384.64] 受到外部干扰时的实际波形
[0384.64-0386.04] 如果干扰严重
[0386.04-0390.08] 则接收方将出现信号判别错误
[0390.08-0392.88] 左侧下面展示的是差分方式
[0392.88-0396.08] 例如USB总线和看总线
[0396.08-0398.58] USB总线同学们经常使用
[0398.58-0399.88] 自不必说
[0399.88-0402.08] 而看总线是由博士公司
[0402.08-0405.18] 为汽车电子系统开发的通信总线
[0405.18-0406.78] 具有卓越的可靠性
[0406.78-0409.18] 实施性和判干扰能力
[0409.18-0410.58] 卸以广泛应用于
[0410.58-0414.64] 最安全性要求苛刻的各种工业领域
[0414.64-0416.74] USB总线和看总线
[0416.74-0418.74] 都使用差分方式
[0418.74-0420.64] 使用两条信号线
[0420.64-0423.14] 一般计为地夹和地键
[0423.14-0424.94] 来传输信号
[0424.94-0427.97] 两如信号的政府相等 相位相反
[0427.97-0431.47] 通过两如信号之间的电压差值表示数据
[0431.47-0433.67] 一般采用附逻辑体制
[0433.67-0435.67] 计用高电瓶表示逻辑0
[0435.67-0437.90] 低电瓶表示逻辑1
[0437.90-0440.00] 在中间这幅波行图中
[0440.00-0442.40] 展示的是两条差分信号线上
[0442.40-0445.00] 各自所传输信号的波型
[0445.00-0448.00] 其中白色展示的是理想波型
[0448.00-0449.50] 而黄色展示的是
[0449.50-0452.59] 受到外部干扰时的实际波型
[0452.59-0457.29] 由于外部干扰是同时作用在两条差分信号线上的
[0457.29-0460.29] 因此相减时干扰被抵消
[0460.29-0462.32] 结果保持稳定
[0462.32-0464.82] 在右侧最下面展示的波型图
[0464.82-0468.32] 就是差分接收时最终恢复出的波型
[0468.32-0473.20] 与中间这幅图中白色所展示的理想波型重合
[0473.20-0473.90] 好的
[0473.90-0478.40] 我们将单纯方式和差分方式的对比总结到下表中
[0478.40-0480.70] 请同学们暂停播放视频
[0480.70-0482.20] 快速浏览一遍
[0482.20-0488.00] 主要掌握他们各自的特点和典型应用成绩
[0488.00-0489.70] 对于具体的实力
[0489.70-0491.60] 相信同学们至少听说过
[0491.60-0492.80] DDR内存
[0492.80-0493.90] USB
[0493.90-0495.00] HDMI
[0495.00-0495.90] DP
[0495.90-0496.70] 以太网
[0496.70-0497.80] PCIE
[0497.80-0498.60] 雷电
[0498.60-0500.12] SATA
[0500.12-0500.82] 好的
[0500.82-0501.62] 总线接口
[0501.62-0504.02] 除了机械特性和电器特性外
[0504.02-0505.82] 还有功能特性
[0505.82-0509.22] 功能特性规定总线中每一根线的功能
[0509.22-0513.52] 主要包括地址总线数据总线控制总线三类
[0513.52-0517.35] 以及时中信号线电源线和地线
[0517.35-0520.15] 地址总线用于传输地址信号
[0520.15-0521.35] 其宽度啊
[0521.35-0523.75] 也就是所包含地址线的数量
[0523.75-0527.88] 决定了可访问的存储器或LD纸空间大小
[0527.88-0530.98] 数据总线用于传输数据信号
[0530.98-0535.58] 其宽度决定了一次可同时传输的数据位数
[0535.58-0538.30] 通常与计算机自成相关
[0538.30-0541.90] 控制总线用于传输各类控制信号
[0541.90-0543.50] 包括读写控制
[0543.50-0545.10] 中端请求与响应
[0545.10-0546.56] 复位等
[0546.56-0547.26] 另外
[0547.26-0549.86] 总线接口还有时序特性
[0549.86-0553.36] 时序特性规定总线通信的时间约束
[0553.36-0556.86] 也就是各信号线上信号的有效时间
[0556.86-0560.05] 信号之间相互配合的时序关系
[0560.05-0561.55] 请同学们注意
[0561.55-0564.65] 当功能部架或iOS设备的接口标准
[0564.65-0567.85] 与所要连接的总线不匹配时
[0567.85-0570.05] 两者无法直接相连
[0570.05-0573.95] 此时需要在二者之间增加乔接转换接口
[0573.95-0577.64] 以实现不同总线间的互联与通信
[0577.64-0578.34] 至此
[0578.34-0582.14] 我们就给同学们介绍了总线接口的四个特性
[0582.14-0586.14] 学习过计算级网络这门课程的同学应该能够联想到
[0586.14-0588.34] 网络提起结构中的物理层
[0588.34-0591.04] 与传输媒体接口的四个特性
[0591.04-0598.06] 与我们本节课介绍的总线接口的四个特性是非常相似的
[0598.06-0598.76] 好的
[0598.76-0601.06] 本节课到这里就结束了
[0601.06-0611.80] 请同学们快速回忆一下本节课的主要内容
[0611.80-0612.60] 同学们
[0612.60-0613.80] 我们下节课见
