[0003.09-0007.81] 同学们好,欢迎大家来到我的计算机组成原理维克堂。
[0007.81-0013.65] 在上次课中,我们给同学们介绍了指令的几种基本操作类型。
[0013.65-0018.61] 本节课,我们给同学们介绍两种典型的处理器架构。
[0018.61-0025.26] 由于不同处理器架构的设计理念不同,因此其指令系统也不同。
[0025.26-0030.22] 目前,指令系统正朝着两个完全不同的方向发展。
[0030.50-0038.42] 一个方向是,不断向原有指令系统添加功能更强的复杂指令和更多的寻止方式,
[0038.42-0042.66] 以便支持不断出现的新技术和新功能。
[0042.66-0047.39] 采用这类架构的计算机,称为复杂指令级计算机。
[0047.39-0056.38] 英文缩解词为CISC和读作SISC,典型内容采用英特尔X86I64架构的计算机。
[0057.09-0064.77] 另一个方向是,减少指令系统中的指令种类、规范指令格式、简化寻止方式,
[0064.77-0074.37] 以便降低成本、程序代码量和功耗,方便处理器内部的病情处理,从而大幅度提升处理器的性能。
[0074.37-0079.15] 采用这类架构的计算机,称为精简指令级计算机。
[0079.31-0088.62] 英文缩解词为RISC和读作RISC,典型内容采用ARM MIX RISC V架构的计算机。
[0088.62-0094.29] 接下来,我们对复杂指令级计算机CISC进行简单介绍。
[0094.29-0100.08] 复杂指令级计算机CISC的设计需求,主要包含以下三点。
[0100.08-0109.36] 第一点是,降低指令系统与高级语言之间的语异差距,这样就可以降低编译器设计难度。
[0109.68-0112.96] 提高编译效率,优化编译结果。
[0112.96-0119.82] 为了实现这一点,需要给指令系统增加语异接近高级语言语句的指令。
[0119.82-0132.46] 第二点是,确保软件的效果兼容,为了确保在同一系列计算机的最新机型上,也能够运行为该系列早期计算机设计的软件。
[0132.62-0141.25] 因此,更新指令系统时不能减少原有指令,但这样会导致指令数量越来越多。
[0141.25-0149.73] 第三点是,更好的支持操作系统,随着操作系统的发展,其功能越来越丰富。
[0149.73-0158.64] 这就要求指令系统不断扩充相应指令对其预议支持,例如多媒体指令和3D指令等。
[0159.31-0167.95] 从复达指令计算机C4的上述3点设计需求,不难发现,需要不断地向指令系统增加指令。
[0167.95-0172.69] 但是,这会导致指令系统越来越庞大复杂。
[0172.69-0181.52] 请同学们考虑这样一个问题,那就是在指令自长剩限的情况下,如何扩充更多指令呢?
[0181.52-0190.40] 我想很多同学都能想到,一方面,需要压缩指令格式中的一只马自断的长度,
[0190.56-0199.94] 一边给操作马自断留出更多位宽,另一方面,需要设计多种寻指方式,满足寻指法文的需求。
[0199.94-0209.28] 例如,在地址马自断缩短的情况下,设计出新的操作数寻指方式,以满足能够寻指比较大的空间。
[0209.28-0220.94] 接下来,我们总结一下复杂指令计算机C4的主要课点,指令系统庞大复杂,包含指令数目通常在200条以上。
[0221.63-0233.20] 指令自长不固定,指令格式多,寻指方式多,对放寻指令不加限制,对各种指令的使用频度相差很大,
[0233.20-0244.77] 各种指令的执行时间相差很大,多数指令需要多个时钟周期才能完成,需要通过一定方式实现指令流水线。
[0244.77-0254.46] 大多数采用微程序控制器,随着人们对复杂指令计算机C4的不断研究和测试,
[0254.94-0268.37] 发现C4符合82定律,即在典型的C4程序中,80%的程序只用到了指令级的20%,相信很多同学都听说过82定律,
[0268.37-0272.77] 大家能够举出生活中符合82定律的例子吗?
[0275.14-0283.54] 基于圣属发现,人们遵循大道至简的设计哲学,提出了经典指令级计算机RASC的概念,
[0283.54-0287.62] 这是计算机系统架构领域的一次重大变革。
[0288.03-0295.39] 经典指令级计算机RASC,针对复杂指令级计算机C4的指令种类和数量太多,
[0295.39-0308.00] 寻执方式太多,指令格式不规范等缺点,通过减少指令种类和数目,简化寻执方式,规范指令格式,来大幅度提升处理性能。
[0308.00-0312.72] 接下来,我们给出经典指令级计算机RASC的主要特点,
[0312.96-0318.80] 一遍同学们将其与复杂指令级计算机C4的主要特点进行对比。
[0318.80-0329.17] RASC尽量选取使用频度高的一些简单指令,而复杂指令的功能由这些简单指令的组合来实现。
[0329.74-0340.56] RASC的指令资产固定,指令格式少,寻执方式少,RASC只允许load和store两种指令访问主存。
[0340.72-0351.20] 其余指令的操作都在计存器之间进行,RASC的CPU内包含有大量的通用计存器,以减少对主存的访问。
[0351.20-0360.74] RASC通常采用指令流水线技术,实现指令病情之行,大部分指令在一个时钟中心内完成。
[0360.74-0369.70] RASC采用硬固线控制逻辑,不用或少用微程序控制,大大提升控制部件的速度。
[0370.53-0375.33] RASC特别注重编译优化,以减少程序运行时间。
[0375.33-0386.90] 请同学们注意,复杂指令级计算级SISC一般能够实现软件兼容,因为同系列的新机型,包含了旧机型的全部指令。
[0386.90-0392.42] 而精简指令级计算级RASC一般无法实现软件兼容。
[0392.42-0399.66] 接下来,请同学们趁热打铁,挑战两道相关的408考研整体。
[0400.08-0405.92] 请同学们暂停播放视频,思考一下,然后给出你的答案。
[0405.92-0415.50] 相信同学们都能正确完成,我们就不再赘述了。
[0415.50-0423.81] 好的,本节课到这里就结束了,我们将本节课的主要内容小节如下。
[0423.81-0432.11] 再给同学们布置一个课外作业,希望大家踊跃完成。
[0432.11-0436.74] 同学们,我们下节课见!
