[0003.28-0007.68] 同学们好,欢迎大家来到我的计算机组成原理维克堂。
[0007.68-0019.08] 在上集课中,我们给同学们介绍了,在具有Cache,并采用虚拟存储计计数和TLB的计算机中,CPU的一次完整仿存流程。
[0019.08-0027.68] 并建议同学们将该流程图,作为有关Cache,也是虚拟存储计计以及TLB的知识大纲来记忆。
[0027.88-0033.78] 还要求同学们能够联想出,途中各步众所涉及到的相关细节。
[0033.78-0044.88] 另外,我们还总结出了仿存流程中TLB、页面以及Cache这三者命中还是缺失的各种组合情况的可能性。
[0044.88-0053.34] 最后还给出了Cache缺失处理、缺业处理、TLB缺失处理、分别由谁来负责处理。
[0053.54-0060.24] 本节课是有关Cache、也是虚拟存储计、TLB的综合性齐提课。
[0060.24-0072.14] 我们将3-408例年综合大题作为立题进行分析,以提高同学们对Cache、也是虚拟存储计以及TLB的综合应用能力。
[0072.54-0082.50] 首先来看2011年的题44,请同学们暂停播放视频,务必认真审题,然后我们来一起分析。
[0082.50-0095.00] 我们来一起分析,根据题目给定的相关影质量进行分析,并得出以下结果。
[0095.00-0107.04] 这种练习,我们在之前的几次课中已经进行了多次,同学们甚至可以将它当作是解题模板来使用,因此我们就不再坠述了。
[0107.24-0127.34] 至此,本题第一问解答完毕,题目给定,Cache采用直接硬设方式,请同学们回忆一下,Cache采用直接硬设方式时的硬设规则,信息的主存地址的构成,以及如何通过信息的主存地址在开始中进行快速查找。
[0129.47-0139.67] 题目给定,Cache行的数量为8,可写成2.3次方,主存数据块大小为32字节,可写成2.5次方个字节。
[0139.67-0150.30] 题目还给定,按字节编织,在第一问中,我们以求得物理地址为20位,综上所述,可以得出以下结果。
[0150.79-0179.07] 至此,本题第二问解答完毕,这是本题第一问得到的结果,这是本题第三问给定的虚拟地址,通过第一问得到的结果可知,虚拟地址为24位,其中虚拟业号部分占12位,剩余12位则为业内天仪部分,因此该虚拟地址的这部分为虚拟业号,这部分为业内天仪。
[0179.63-0199.15] 这是题目给定的业表的部分内容,通过虚拟地址中,虚拟业号的值,所引到业表中相应的业表相,该业表相的有效位的值为1,表明该业表相所对应的业面已从辅存掉入主存,也就是业面命中。
[0199.15-0226.34] 用回答题目问题的话来说,就是题目给定的虚拟地址所在的业面在主存中,因此我们可以将题目给定的虚拟地址转换成物理地址,我们知道物理地址中的业内天仪部分与虚拟地址中的业内天仪部分是相同的,将该业表相中的业框号,也就是物理业号,作为物理地址中的物理业号。
[0226.34-0256.27] 这样就将题目给定的虚拟地址转换成了物理地址,至此第三问部分解答完毕,这是第二问得到的访问开始时采用的物理地址划分,这是第三问得到的虚拟地址对应的物理地址,根据物理地址的划分,我们首先需要将16经济形式的物理地址转换成2经济形式,这12位是主存分区号,
[0256.27-0282.49] 这3位是开始行号,剩余5位是块内天仪,这是题目给定的开始的部分内容,通过物理地址中的开始行号,可以所引的开始中行号为3的开始行,之后将物理地址中的主存分区号与丹行中的标记态度的值进行比较,结果不相同,因此开始未命中。
[0282.49-0306.81] 至此,第三问解答完毕,需要说明的是,上述涉及到禁止转换的部分,是同学们学习完本课程,第二章后就应该熟练掌握的基本功,因此我们没有坠述,再来分析本题第四问,这是本题第四问给定的虚拟地址,这是本题第一问得到的结果,因此可知,
[0306.81-0328.10] 虚拟地址中的这十二位为虚拟业号,剩余十二位为业内天仪,题目给定,TLB采用四路组相连共存放有八个业表相,因此可知,TLB中共有两个业表相组,每个业表相组中包含有四个业表相。
[0328.10-0343.63] 之前我们学习过,TLB采用组相连时,虚拟地址中的虚拟业号部分,被划分成TLB标记和TLB组锁引两个部分,我们将虚拟业号部分转换成二进之形式。
[0344.23-0353.73] 其中,最低一位作为TLB组锁引部分,共有二的一次方式组合,分别作为TLB中两个业表相组的锁引。
[0354.23-0363.23] 因此,剩余高十一位作为TLB标记部分,通过TLB组锁引的值,可以锁引到TLB中的组灵。
[0363.73-0378.98] 之后,要将TLB标记与该组中四个业表相组的标记进行并发比较,由于题目给定业表相组的内容为十六进之,因此将TLB标记转换成十六进之。
[0378.98-0386.02] 现在,可将TLB标记与该组中四个业表相组的标记进行并发比较了。
[0386.02-0393.52] 可以发现,最右侧这个业表相组的标记相同,并且该业表相组的有效位的值为一。
[0393.52-0399.52] 因此,TLB命中,这表明业面已从辅存掉入了主存。
[0399.52-0404.34] 至此,本题的四个小问全部解答完毕。
[0404.34-0407.34] 再来看2018年的题44。
[0407.34-0413.84] 请同学们暂停播放视频,务必认真审题,然后我们来一起分析。
[0413.84-0425.89] 通过我们之前学习过的,利用TLB快速完成虚拟地址到物理地址转换的相关知识可知,
