[0003.86-0007.76] 同学们好,欢迎大家来到我的计算机组成员里维克堂
[0007.76-0012.06] 在上几课中,我们给同学们介绍了总线的功能和特点
[0012.06-0016.26] 总线上的设备角色,也就是主设备和从设备
[0016.26-0020.86] 以及总线接口的四个特性等有关总线的基本概念
[0020.86-0027.20] 本节课,我们对总线继续分类,这仍属于总线的相关基本概念
[0027.20-0030.40] 可以从多个角度对总线进行分类
[0030.40-0036.20] 例如,按传输方向,按实习控制方式,按总线功能
[0036.20-0040.71] 按信号传输模式,按总线锁出位置
[0040.71-0044.41] 我们首先按传输方向对总线进行分类
[0044.41-0048.41] 可分为,单向传输总线和双向传输总线
[0048.41-0053.41] 对于单向传输总线,信号仅从发送方流向接收方
[0053.41-0058.21] 对于双向传输总线,可在两个方向交替传输信号
[0058.21-0061.31] 例如,这是我们在第四章存主系统
[0061.31-0065.21] 有关未获展的那节课中,曾给同学们举过的例子
[0065.21-0071.51] 其中,地质总线属于单向传输总线,信号仅从CPU流向主存
[0071.51-0079.59] 而数据总线属于双向传输总线,信号既可以从CPU流向主存
[0079.59-0084.35] 也可以从主存流向CPU
[0084.35-0090.54] 接下来,我们按实习控制方式对总线进行分类
[0090.54-0093.54] 可分为从部总线和异部总线
[0093.54-0098.54] 对于从部总线,传输双方有一个公共的实重信号控制
[0098.54-0106.67] 从信按预定的实重周期进行,例如下图所示
[0106.67-0110.27] 对于异部总线,没有公共的实重信号
[0110.27-0113.27] 从信靠说话双方之间的握手信号
[0113.27-0119.77] 也就是请求信号和确认信号来协调,例如下图所示
[0119.77-0125.77] 本章后续课程中,我们还会对从部传输和异部传输进行具体介绍
[0125.77-0133.68] 本节课,同学们只需记住,从部总线和异部总线最明显的区别即可
[0133.68-0137.77] 接下来,我们按总线功能对总线进行分类
[0137.77-0146.27] 相信同学们都知道,最具代表性的就是属于系统总线的地质总线、数据总线、控制总线
[0146.27-0148.27] 我们来进一步说明
[0148.27-0153.27] CPU通过其内部的总线接口单元BIO,连接到系统总线上
[0153.27-0157.30] D-RAM通过内存控制器挂接到系统总线上
[0157.30-0162.03] IO设备通过IO接口,也挂接在系统总线上
[0162.03-0166.53] CPU中的总线接口单元BIO,实际上是总线控制器
[0166.53-0171.56] 负责总线控制权的仲裁,总线资源的分配和管理
[0171.56-0175.56] 内存控制器、IO接口,都是总线接口
[0175.56-0179.56] 各种设备必须通过相应的总线接口挂接到总线上
[0179.56-0187.56] 总线接口主要负责设备控制、设备寻止、数据输入输出、速度缓抽、穿面转换的
[0187.56-0193.56] 这些内容,我们会在下一张,也就是第八张输入输出系统中给同学们介绍
[0193.56-0201.91] 系统总线中的数据总线,用于在各功能部件之间传输信息,属于双向传输总线
[0201.91-0207.91] 所传输的信息包括数据、指令代码、状态,甚至是控制信息
