[0005.81-0010.05] 同学们好,欢迎大家来到我的计算机组成原理维克堂
[0010.05-0013.49] 在上节课中,我们首先给同学们介绍了
[0013.49-0016.29] 采用下纸自断法的维指令设计
[0016.29-0018.77] 之后,给同学们简单介绍了
[0018.77-0021.37] 采用技术技法的维指令设计
[0021.37-0023.73] 在此基础上,本节课
[0023.73-0027.01] 我们就可以给同学们介绍维承续设计了
[0027.01-0029.45] 经过之前的学习,我们知道
[0029.45-0033.65] 指令集中的每一条指令都对应一段维承序
[0033.81-0037.73] 而一段维承序是由若干条维指令构成的
[0037.73-0041.42] 指令集中的每一条指令所对应的维承序
[0041.42-0045.26] 都存储在CPU内部的控制存储器中
[0045.26-0046.94] 例如下属所示
[0046.94-0054.96] 这是我们之前在有关现代持续应不限控制器设计的那些课中
[0054.96-0058.24] 以基于CPU内部单总线的数据通路
[0058.24-0061.92] 和MIPS32指令集中的5条典型指令为例
[0061.92-0064.00] 得出的状态转换图
[0064.24-0065.60] 那么本节课呢
[0065.60-0067.52] 我们仍然以该图为例
[0067.52-0071.76] 给同学们介绍维承序控制器中的维承序设计
[0071.76-0073.54] 请同学们注意
[0073.54-0077.22] 控制信号的持续时间为一个时钟周期
[0077.22-0080.10] 每个时钟周期对应一个状态
[0080.10-0082.21] 当时钟周期结束
[0082.21-0084.77] 也就是时钟下降延时
[0084.77-0086.53] 进行状态切换
[0086.53-0089.79] 控制信号只与当前状态相关
[0089.79-0093.10] 这样状态转换图中的每一个状态
[0093.18-0094.86] 对应一条V指令
[0094.86-0098.30] 如同所示
[0098.30-0100.22] 每一个状态的编号值
[0100.22-0103.74] 可以转换成V指令在控制存储器中的地址
[0103.74-0105.71] 也称为V地址
[0105.71-0106.99] 如同所示
[0106.99-0110.37] 这是CPU内部的控制存储器
[0110.37-0113.09] 取指令维承序中的第一条V指令
[0113.09-0116.43] 存储在控制存储器的0号单元中
[0116.43-0119.71] 该V指令所对应状态的编号值为0
[0119.71-0123.60] 可以转换成V指令在控制存储器中的地址
[0123.60-0125.52] 状态转换图中的每一个状态
[0125.52-0128.40] 需要给出的V操作控制信号
[0128.40-0133.74] 应该印设到相应V指令的操作控制字段中的V命令位
[0133.74-0134.62] 例如
[0134.62-0136.54] 这是我们上几课得出的
[0136.54-0139.86] 采用下指字段法的V指令格式
[0139.86-0143.38] 对于取指令维承序中的第一条V指令
[0143.38-0145.62] V操作控制信号PCOUT
[0145.62-0149.38] 在V指令的操作控制字段中的相应V命令位
[0149.38-0151.34] 应设置为1
[0151.34-0152.22] 同理
[0152.22-0155.50] 另外两个V操作控制信号的相应V命令位
[0155.50-0158.05] 也应设置为1
[0158.05-0160.93] 在同学们理解了上述方法后
[0160.93-0164.96] 我们首先来设计公共的取指令维承序
[0164.96-0167.20] 从状态转换图可以看出
[0167.20-0169.76] 取指令过程包含四个状态
[0169.76-0172.40] 即状态S0到S3
[0172.40-0175.34] 每个状态对应一条V指令
[0175.34-0177.90] 我们首先写出这四条V指令
[0177.90-0179.82] 在控制存储器中的地址
[0179.82-0182.93] 如同所示
[0182.93-0184.29] 需要声明的是
[0184.29-0185.97] 由于状态转换图中
[0186.05-0190.37] 包含S0到S24共25个状态
[0190.37-0192.05] 给每一个状态编号
[0192.05-0193.81] 共需要5个比特
[0193.81-0194.85] 也就是说
[0194.85-0196.13] 每个状态的编号
[0196.13-0198.45] 有5个二进之位构成
[0198.45-0200.77] 之前我们已经介绍过了
[0200.77-0202.93] 状态转换图中的每一个状态
[0202.93-0204.93] 对应一条V指令
[0204.93-0206.53] 每一个状态的编号指
[0206.53-0210.24] 作为V指令在控制存储器中的地址
[0210.24-0211.44] 那么接下来呢
[0211.44-0212.64] 我们就来写出
[0212.64-0213.76] 这四个地址
[0213.76-0216.64] 所对应的控制存储器中的存储单元
[0216.64-0218.64] 应存放的V指令
[0218.64-0221.04] 而V指令中下指字段内容
[0221.04-0223.04] 应设置为下一条V指令
[0223.04-0225.62] 在控制存储器中的地址
[0225.62-0227.06] 首先来写该地址
[0227.06-0228.66] 所对应存储单元中
[0228.66-0230.88] 应存放的V指令
[0230.88-0232.40] 也就是状态S0
[0232.40-0234.40] 所对应的V指令
[0234.40-0235.84] 这是状态S0
[0235.84-0239.89] 需要给出的相关V操作控制信号
[0239.89-0240.69] 因此
[0240.69-0242.69] V指令的操作控制字段中
[0242.69-0244.21] 相应的V命令位
[0244.29-0246.90] 应该质疑
[0246.90-0249.22] 而V指令的下指字段内容
[0249.22-0252.18] 应设置为下一条V指令的地址
[0252.18-0254.98] 也就是该地址
[0254.98-0256.74] 我们继续来写该地址
[0256.74-0258.34] 所对应存储单元中
[0258.34-0260.54] 应存放的V指令
[0260.54-0262.22] 也就是状态S1
[0262.22-0264.58] 所对应的V指令
[0264.58-0266.02] 这是状态S1
[0266.02-0270.26] 需要给出的相关V操作控制信号
[0270.26-0270.98] 因此
[0270.98-0272.98] V指令的操作控制字段中
[0272.98-0276.67] 相应的V命令位应该质疑
[0276.67-0279.15] 而V指令的下指字段内容
[0279.15-0282.03] 应设置为下一条V指令的地址
[0282.03-0284.56] 也就是该地址
[0284.56-0286.08] 我们继续来写该地址
[0286.08-0287.68] 所对应存储单元中
[0287.68-0290.30] 应存放的V指令
[0290.30-0291.82] 也就是状态S2
[0291.82-0293.82] 所对应的V指令
[0293.82-0295.26] 这是状态S2
[0295.26-0299.57] 需要给出的相关V操作控制信号
[0299.57-0300.37] 因此
[0300.37-0302.45] V指令的操作控制字段中
[0302.45-0306.42] 相应的V命令位应该质疑
[0306.42-0308.74] 而V指令的下指字段内容
[0308.74-0311.54] 应设置为下一条V指令的地址
[0311.54-0313.95] 也就是该地址
[0313.95-0315.71] 我们继续来写该地址
[0315.71-0317.31] 所对应存储单元中
[0317.31-0319.50] 应存放的V指令
[0319.50-0321.02] 也就是状态S3
[0321.02-0323.02] 所对应的V指令
[0323.02-0324.46] 这是状态S3
[0324.46-0328.62] 需要给出的相关V操作控制信号
[0328.62-0329.42] 因此
[0329.42-0331.26] V指令的操作控制字段中
[0331.26-0335.12] 相应的V命令位应该质疑
[0335.12-0336.56] 由于这条V指令
[0336.56-0339.95] 是取指V程序的最后一条V指令
[0340.03-0341.95] 这条V指令执行完毕号
[0341.95-0344.69] 就完成了取指令的操作
[0344.69-0347.49] 之后就应该根据所取指令
[0347.49-0349.25] 通过地址转移逻辑中的
[0349.25-0351.89] V程序入口查找组合逻辑
[0351.89-0355.57] 产生该指定的V程序的入口地址
[0355.57-0356.29] 因此
[0356.29-0358.29] V指令的判别测试字段中的
