[0003.18-0007.52] 同学们好,欢迎大家来到我的计算机组成原理微课堂。
[0007.52-0013.26] 本节课,我们给同学们简单介绍一下止读存储器ROM的相关知识。
[0013.26-0020.30] 需要说明的是,ROM的组成和工作原理在数点课程中有详细介绍。
[0020.30-0028.42] 本节课,尽针对本课程的需要对ROM进行简单介绍,只能从其读出信息,
[0028.42-0035.30] 而不能向其随意写入信息的存储器,成为止读存储器,英文缩写词为ROM。
[0035.30-0046.18] 通过特定方式将信息写入ROM后,信息就固定在ROM中,即使电源断电所保存的信息也不会丢失,
[0046.18-0050.26] 也就是说ROM属于非意识性存储器。
[0050.26-0058.61] 按照制造工艺的不同,ROM可分为严模式止读存储器,英文缩写词为MROM,
[0059.82-0070.42] 可编程止读存储器,英文缩写词为PROM,可擦除可编程止读存储器,英文缩写词为EPROM,
[0070.42-0086.03] 电可擦除可编程止读存储器,英文缩写词为EEPROM或EFAMPROM,闪存FlashMemory。
[0086.22-0089.82] 我们对这几种ROM进行简单介绍。
[0089.98-0099.82] 严模式止读存储器MROM需要将在存储信息由芯片制造厂家在生产过程中按用户要求做好。
[0099.82-0106.78] 芯片制成后,存储信息被固定在芯片中,因而只能读出,不能修改。
[0106.78-0117.06] 因此,MROM的灵活性差,但所存储的信息固定不便,可靠性高,可编程止读存储器PROM。
[0117.41-0125.73] 存储器出掌时,每个存储员存储的数据为0,用户可利用编程器进行一次改写。
[0125.73-0133.10] PROM克服了MROM使用不便的问题,但仅能改写一次,灵活性还是不够。
[0133.10-0142.80] 可擦除可编程止读存储器EPROM,可多次写入。重新写入时,需要先擦除后写入。
[0143.31-0148.59] 需要使用紫外线照射来擦除全部存储员的状态。
[0148.59-0159.84] 如读所示,这是一块EPROM芯片,在芯片顶部有一个玻璃窗口,用于紫外线照射来擦除芯片存储的全部信息。
[0160.35-0166.19] 不难看出,EPROM比PROM和MROM使用方便、灵活、经济。
[0166.19-0174.75] 但是,重新写入前,需要使用紫外线照射来擦除芯片存储的全部信息,还是比较麻烦的。
[0174.75-0180.19] 需要说明的是,以上三种类型ROM目前已经很少见到了。
[0180.19-0189.81] 更常用的是,电可擦除可编程止读存储器一番PROM,可以多次写入,写入方式与EPROM相同。
[0189.97-0197.60] 但不需要先擦除后写入,因为擦除时不用紫外线照射,才用电可擦除方式。
[0197.60-0205.28] 根据命令,内部自动完成,可以精准的擦除某一个存储员,而非全片擦除。
[0205.28-0214.40] 在传统的以太网卡上,就可以见到EPROM,它用于存储网卡的mark地址以及厂商信息。
[0214.64-0220.96] 另外,在一些旧的PC主板上,也会使用EPROM来存储BIOS。
[0220.96-0229.58] 闪存,其逻辑结构与EPROM相似,但存储员的结构和工艺不同。
[0229.74-0244.14] EPROM支持字节级擦写,适合平方更新小数据量,而闪存一块为单位擦写,先擦后写,因此毒快写慢,更适合存储大量数据。
[0244.51-0253.39] 我想同学们对闪存并不陌生,我们常用的SD卡、U盘、固态硬盘,都使用的是闪存。
[0253.39-0261.49] 目前主流的PC主板,也使用闪存来存储BIOS,以满足图形化BIOS的需求。
[0261.49-0267.41] 一般来说,闪存比EPROM的容量、毒写速率都高很多。
[0267.95-0279.87] 需要说明的是,闪存分为闹形和耐的形,闹形闪存,以其快速读取和随机访问能力,适用于嵌入式系统中的程序存储。
[0279.87-0295.42] 例如,目前主流PC主板使用闹形闪存来存储毒性化BIOS,而耐的形闪存,以其高容量和成本效益,适用于大容量数据存储,例如固态硬盘和U盘。
[0296.13-0304.61] 需要说明的是,上述指读存主器,除严模式指读存主器M用完,都是可以进行写入的。
[0304.61-0313.89] 而指读存主器ROM通常指的是非意识性存主器,即那些在锻炼后仍能保持数据的存主器。
[0313.89-0325.17] 虽然字面上的指读可能会让人误以为这些存主器只能读取而不能写入,但实际上,许多类型的ROM确实允许写入操作。
[0325.33-0329.89] 只是这些写入操作通常有一定的限制条件和次数。
[0329.89-0346.99] 至此,在本章的多次课中,我们一次给同学们介绍了属于半导体存主器的静态随机存取存主器S软,动态随机存取存主器D软,指读存主器ROM的相关知识。
[0346.99-0353.71] 接下来,我们来看看个人计算机PC中都用到了哪些半导体存主器。
[0354.26-0368.69] PC中一般包含有主板,CPU,类似条,固态硬盘,主板上的BIOS芯片,用能耳型闪存或一方P-ROM,属于指读存主器ROM。
[0368.69-0375.63] CPU中的高速款中存主器开始,使用静态随机存取存主器S软。
[0376.37-0384.85] 一个内存条包含有多片重步动态存取存主器SD软,目前主流的是DDR4标准。
