[0003.92-0007.68] 同学们好,欢迎大家来到我的计算机组成员里,威克唐。
[0007.68-0014.04] 在前几次课中,我们给同学们介绍了IO控制的程序直接控制方式和中断驱动方式。
[0014.04-0020.56] 我们知道,对于这两种IO控制方式,都需要CPU全程参与每一次IO数据传输。
[0020.56-0028.24] 也就是,数据必须先从IO设备读取到CPU的计存器,再从计存器写入主存,反之一然。
[0028.24-0039.28] 当数据量很大,例如,此番读写,网络数据包传输时,频繁的中断和计存器中断,会大量占用CPU时间,导致系统性能整体下降。
[0039.28-0043.96] CPU忙于搬运数据,无法有效执行其他计算任务。
[0043.96-0052.46] 本节课,我们给同学们介绍IO控制的直接存储器存取方式,直接存储器存取的英文书写词为DMA。
[0052.46-0057.34] DMA方式的核心思想,就是绕过CPU,直接交换数据。
[0057.50-0063.66] 在DMA方式中,引入了一个独立的硬价模块,即DMA控制器DMA-C。
[0063.66-0070.06] 在进行大数据块传输时,DMA控制器会临时向CPU借用总线的控制权。
[0070.06-0077.94] 之后,由DMA控制器直接控制数据在IO设备与主存之间流动,不再经过CPU的计存器。
[0077.94-0081.47] 下面,我们给出DMA方式的传输过程。
[0081.47-0090.47] 1.CPU访问DMA控制器接口以设置DMA传输参数,例如主存地址、数据块长度、传输方向等。
[0090.47-0096.79] 2.CPU向IO设备的IO接口发送命令和参数来启动IO设备。
[0096.79-0101.47] 3.传输过程中,CPU可以继续执行其他程序。
[0101.47-0110.27] 4.IO设备需要进行DMA操作时,由DMA控制器向CPU申请总线控制权用于数据传输。
[0110.27-0120.67] 5.一个数据块传输结束号,DMA控制器会通过中段方式请求CPU对数据缓中区和DMA控制器进行后续处理。
[0120.67-0132.27] 从上所述,DMA是计算机系统中一种重要的性能优化技术,它通过硬件接管数据传输任务,解决了IO操作中CPU开销过大的平静问题。
[0132.27-0147.67] DMA使得CPU从繁重的数据搬运工作中解脱出来,更加专注于计算任务,是现在计算机能够高效处理大量IO操作,例如视频播放、文件读写、网络聪信的关键基础之一。
[0147.67-0154.39] 因此,我们有必要对DMA进行进一步介绍,首先介绍DMA控制器的基本结构。
[0154.59-0177.19] 如同所示,DMA控制器主要包含以下各类基存器以及DMA控制逻辑,其中地址基存器用于存放带交换数据的主存地址,在DMA传送的准备阶段也称为预处理阶段,该基存器由CPU设置,每次DMA传送后自动递增,以便指向下一个主存单元。
[0177.78-0186.18] 自技术器,用于记录带交换数据块的程度,在DMA传送的准备阶段,该技术器由CPU设置。
[0186.18-0200.16] 传送开始后,每传送一个字或字节,就自动减一,当技术值为零时,数据块传送完毕,DMA控制器会发出DMA中断请求信号,数据缓充计存器。
[0200.82-0211.62] 当DMA控制器作为从设备,也就是响应CPU指令,受CPU控制的辅助角色时,数据缓充计存器的作用是,接收CPU传输的数据。
[0211.62-0224.25] 当DMA控制器作为主设备,也就是自主发起数据传输,主导外设与内存交互的核心角色时,数据缓充计存器的作用是暂存传输数据。
[0224.25-0232.85] 此时,数据缓充计存器为外设与内存之间的数据流动提供缓充带,平衡双方数据收发的数据差。
[0232.85-0236.91] 命令计存器,用于接收CPU的控制命令。
[0236.91-0241.51] 状态计存器,用于向CPU反馈DMA控制器的状态。
[0241.51-0250.04] DMA控制逻辑,包括控制电路、持续电路以及状态标志,用于修改地址计存器和字迹出器。
[0250.24-0257.84] 指定数据传输方向,对DMA控制器的总线请求和CPU的总线响应进行协调和同步。
[0257.84-0266.84] 支持中断机制,一个数据块交换完毕时,向CPU发出DMA中断请求,通知CPU进行结束处理。
[0266.84-0276.34] 请同学们注意,DMA控制器作为一个Io设备连接在系统总线上,既可以充当主设备,也可以充当从设备。
[0276.64-0287.64] 一个DMA控制器可以支持多个通路,每个通路包括各自阻力的地址计存器和字迹出器等,可同时为多个Io设备提供DMA服务。
[0287.64-0294.64] 可在系统总线上挂接多个DMA控制器,为更多Io设备提供DMA服务。
[0294.64-0305.24] 途中所示的DMA控制器称为第三方DMA,也就是Io设备与主存之间的数据交互需要通过第三方DMA控制器进行控制。
[0305.54-0312.54] 当DMA控制器上连接的Io设备过多时,第三方DMA控制器会成为性能平静。
[0312.54-0320.54] 现在总线技术,一般都支持总线主控技术,Io设备也可以充当主设备获得总线控制权。
[0320.54-0331.04] 因此,DMA控制器逐渐被集成到Io接口中,为专属设备提供DMA服务,这种DMA控制器成为第一方DMA。
[0331.24-0337.84] 在同学们了解了DMA控制器的基本结构号,我们基于该图给出DMA传输流程。
[0337.84-0347.44] 如主所示,这是DMA独操作流程,也就是在DMA控制器的控制下,实现独取Io设备的数据并写入主存。
[0347.44-0352.04] 这部分是DMA传输过程中CPU的工作流程。
[0352.04-0357.36] 这部分是DMA传输过程中DMA控制器的工作流程。
[0357.66-0362.06] 这部分是DMA传输过程中Io设备的工作流程。
[0362.06-0371.35] DMA传输流程可依次划分为预处理阶段,传输阶段,以及结束阶段。
[0371.35-0387.55] 在预处理阶段,CPU首先进行DMA初始化,也就是将DMA参数,包括主存地址,数据块长度,传输方向等,通过系统总线,以及DMA控制器的Io接口,传送给DMA控制器。
[0387.75-0395.35] 此时,CPU是总线的主设备,DMA控制器是从设备,接收CPU传送来的DMA参数。
[0395.35-0405.15] 之后,CPU启动Io设备,也就是CPU通过系统总线,向Io设备的Io接口发送DMA读命令和相关参数,
[0405.15-0411.05] 包括Io设备地址,数据块长度,传输方向等,以便启动Io设备。
[0411.05-0416.35] 此时,CPU是总线的主设备,Io设备是从设备。
[0416.35-0426.16] 完成DMA出使化和启动Io设备的工作后,CPU将当前进程挂起,通过进程调度,转去执行其他进程。
[0426.16-0429.16] 这样就可以充分利用CPU资源。
[0429.16-0441.16] 总上所述,DMA传输的预处理阶段由CPU执行程序来完成,而在DMA传输的传输阶段无需CPU参与,CPU可调度其他进程运行。
[0441.16-0446.56] 而Io设备与主存之间的数据交互由DMA控制器来负责。
[0447.02-0454.02] 在DMA传输的预处理阶段,Io设备收到CPU发来的DMA读命名号就开始准备数据。
[0454.02-0462.02] Io设备准备好数据号,就通过DMA请求控制线DREQ向DMA控制器发出DMA请求。
[0462.02-0471.72] DMA控制器收到DMA请求号,向CPU申请总线控制权,这需要通过总线请求控制线HOLD向CPU发出请求。
[0471.92-0484.22] 经过CPU的总线控制器的总线仲裁,CPU在机器周期结束后响应总线控制权申请,这需要通过总线响应控制线HLDA通知DMA控制器。
[0484.22-0491.02] DMA控制器收到HLDA信号后,就获得了总线控制权,进行以下操作。
[0491.22-0501.89] 1.将主存地址送到地址总线ABUS,将主存写控制信号MAMRAT,Io读控制信号IoRAID,送到控制总线CBUS。
[0501.89-0508.69] 2.通过DMA应答控制线DACK,给Io设备发送DMA应答信号。
[0508.72-0514.12] Io设备收到后,将一个机器字的数据送入数据总线DBUS。
[0514.12-0519.32] 在主存写控制信号MAMRAT的控制下,数据被写入主存中。
[0519.52-0521.82] 至此,完成一次数据交换。
[0521.82-0527.82] 之后,Io设备准备下一个数据,并再次发出DMA请求DREQ。
[0527.82-0535.32] 一字类推,按之前传输阶段的相关操作反复执行,直至所有数据传送完毕,如同所示。
[0535.32-0549.66] 请同胸注意,DMA控制器在每一次数据传输时,还要维护地址计存器中的主存地址和字技术器中的传输技术。
[0549.66-0563.66] 当整个数据化传输完成时,DMA控制器通过中断请求信号线MTR,向CPU发送DMA中断请求信号,告知CPU传输完成,此时进入DMA传输的结束阶段。
[0563.66-0571.66] 由CPU执行DMA中断服务程序实现,CPU响应DMA中断,执行DMA中断服务程序。
[0571.66-0582.76] 通过查询DMA控制器的iO接口状态,判断传输是否正常完成,若发生错误,则需要执行错误准弹程序和相关处理程序。
[0582.76-0588.36] 若正常完成,则唤醒之前挂起的进程。
[0588.36-0598.36] 从DMA传输流程可以看到,在DMA传输过程中,DMA控制器会接管总线控制权,负责iO设备与主存之间的数据交换。
[0598.36-0603.36] 因此,在DMA传输过程中,CPU仍可运行其他进程。
[0603.36-0609.36] 大多数时间,CPU执行其他进程的指令和数据都可以从CASH中获取。
[0609.36-0618.36] 但是,还是存在CASH命中失败,导致CPU需要访问主存,竟而与DMA控制器访问主存产生冲突的可能。
[0618.36-0623.36] 那么,如何解决DMA控制器与CPU征用主存的问题呢?
[0624.36-0633.06] 不知,同学们是否还记得,我们在第四章存主系统,有关动态随机存取存主器DRAM刷新方式的那次课中,
[0633.06-0642.06] 给同学们介绍过,CPU对DRAM进行访问,与内存控制器对DRAM进行刷新操作存在征用问题。
[0642.06-0647.22] 可采用集中刷新、分散刷新、异补刷新等方式来解决。
[0647.22-0654.63] 那么,解决DMA控制器与CPU征用主存的问题可采用类似的思想。
[0654.63-0662.76] 常见的有以下三种方式,分别是DMA独占访问、交替访问,以及周期挪用。
[0662.76-0665.98] 首先来看DMA独占访问。
[0665.98-0676.98] 在这种方式下,当IO设备使用DMA方式传送数据时,DMA控制器会请求总签控制权并要求CPU暂停访问主存。
[0676.98-0683.98] DMA控制器获得总签控制权号进行数据传送,直到一批数据传送结束。
[0683.98-0690.98] 之后,DMA控制器将总签控制权交换给CPU,控制CPU可以使用主存。
[0690.98-0694.34] 我们画出上述过程的示意图。
[0694.34-0697.34] 这段时间,CPU在访问主存。
[0697.34-0701.34] 之后,这段较长的时间,DMA控制器在访问主存。
[0701.34-0705.34] 之后的这段时间,CPU在访问主存。
[0705.34-0711.34] 从上述示意图可以看出,DMA独占访问的优点,那就是控制简单。
[0711.34-0718.34] 而缺点是,当iOS设备与主存的速度差异很大时,主存的效率无法充分发挥。
[0718.34-0721.62] CPU可能长时间不能访问主存。
[0721.62-0726.62] 因此,DMA独占方式的适用场景有,iOS设备与主存速度相近。
[0726.62-0729.62] CPU在DMA周期不访问主存的应用。
[0729.62-0732.72] 再来看交替访问方式。
[0732.72-0738.72] 在这种方式下,DMA控制器无需总签控制权的申请、建立和交换等过程。
[0738.72-0745.72] 将访存周期划分成两个实系,一个实系分配给CPU,一个实系分配给DMA控制器。
[0745.72-0755.28] CPU和DMA控制器在各自实系访问主存互不干扰,例如下图所示。
[0755.28-0761.28] 从该示意图可以看出,交替访问方式的优点有,无访存冲突,确定挺高。
[0761.28-0767.28] DMA控制器无需实现复杂的总签申请、仲裁和释放逻辑。
[0767.28-0779.28] 然而,交替访问方式也有其缺点,那就是,即使CPU或DMA控制器的某一方,在当前实系内没有访存需求,该实系也会被闲置浪费。
[0779.28-0794.54] 因此,交替访问方式的适用场景是,对实时性和可预测性要求极高,且负载相对固定的切入式系统或专用硬价,而不是IO和CPU负载变化多端的计算系系统。
[0794.54-0796.54] 再来看周期挪用方式。
[0796.54-0805.54] 在这种方式下,仅在DMA控制器需要传送数据的那个具体时刻,挪用一个存储周期,来传送一个数据。
[0805.54-0811.54] 之后,交换总签控制权给CPU,而不是长时间独占总签。
[0811.54-0820.54] 若CPU在DMA控制器挪用的周期内,恰好不需要访问主存,则此次挪用对CPU的执行没有性能影响。
[0820.54-0829.54] 若CPU在DMA控制器挪用的周期内,也要访问主存,则会发生仿存冲突,则DMA控制器优先进行仿存。
[0829.54-0836.54] 这会导致CPU的当前仿存操作被延迟一个周期,但这是最小化的性能牺牲。
[0836.54-0847.82] 挪用操作可能发生在CPU指令周期中任何一个继续周期结束时,由于DMA操作不会修改CPU的任何计存器或程序状态。
[0847.82-0854.82] 因此,不存在传统程序中断需要保存和恢复现场的开销,切换效率高。
[0854.82-0863.82] 综上所说,周期浓用方式相较于DMA独占方式,避免了CPU长时间挂起,大幅提高了CPU的利用率。
[0863.82-0874.86] 周期浓用方式相较于交集仿分方式,无需划分顾立实际,根据实际仿存需求动态调整,灵活性更高,资源利用率更优。
[0874.86-0880.86] 换句话说,周期浓用方式是短时、动态、按续借用总前周期。
[0880.86-0889.86] 最大化CPU与IO的并行公众能力,在确保DMA传输效率的同时,将对CPU运行的干扰降至最低。
[0889.86-0895.86] 因此,周期浓用方式是实际应用中最主流的DMA传输方式。
[0895.86-0903.14] 需要说明的是,我们之前给同学们介绍DMA传输流程时,采用的就是周期浓用方式。
[0903.14-0914.04] 接下来,我们给出本节课给同学们介绍的IO控制的DMA方式,与前几次课给同学们介绍的IO控制的中断驱动方式的对比。
[0914.04-0921.04] 请同学们暂停播放视频,快速浏览一遍,一遍加深对这两种IO控制方式的理解。
[0927.42-0935.42] 相信同学们可以领会到,DMA方式是中断驱动方式的进一步发展,在数据传输的核心阶段。
[0935.42-0941.42] 通过DMA控制器接管总线控制权来解放CPU的参与,从而实现了更高的效率。
[0941.42-0946.42] 但在传输的开始阶段,仍需要CPU参与设置DMA参数。
[0946.42-0953.09] 在结束阶段,DMA控制器会通过DMA中断请求通知CPU。
