[0004.02-0007.92] 同學們好,歡迎大家來到我的計算機組成員裡威克堂
[0007.92-0011.76] 在上幾課中,我們以MIPS32指定流水線為例
[0011.76-0015.16] 給同學們介紹了指令流水線的相關基本概念
[0015.16-0020.06] 本節課,我們給同學們介紹下屠所示的流水線數據通路
[0020.06-0026.12] 和將該圖看作是上屠所示的MIPS32的標準五段流水線的進一步細化
[0026.12-0031.16] 它是由單週期MIPS處理器的數據通路改造成的流水線架構
[0031.36-0034.76] 需要說明的是,我們之前並未給同學們介紹過
[0034.76-0038.46] 單週期數據通路這種專用通路結構的數據通路
[0038.46-0042.76] 而介紹的是基於CPU內部單總線結構的數據通路
[0042.76-0047.36] 如屠所示,這是基於CPU內部單總線結構的數據通路
[0047.36-0050.96] 之前,我們結合五條MIPS32的典型指令
[0050.96-0054.36] 以動畫形式對其進行過詳細分析
[0054.36-0060.16] 接下來,請同學們回憶一下這五條MIPS32典型指令的相關內容
[0060.36-0063.46] 因為,本節課我們會將這五條指令
[0063.46-0069.56] 帶入由單週期MIPS處理器的專用數據通路改造成的流水線架構進行分析
[0069.56-0073.56] 以便同學們理解這種流水線架構的邏輯實現
[0073.56-0081.88] 這是LW指令,其功能是從主存讀取一個32位的存儲字到通用基存器RT
[0081.88-0089.28] 這是SW指令,其功能是將通用基存器RT的內容寫入指定的主存單元
[0089.52-0095.52] 這是BETU指令,其功能是比較通用基存器RS和RT的值
[0095.52-0098.32] 如果相等則進行分支跳轉
[0098.32-0105.92] 這是ADD指令,其功能是將通用基存器RS的內容與通用基存器RT的內容相加
[0105.92-0108.52] 結果送入通用基存器RT
[0108.52-0115.58] 這是ADDI指令,其功能是將通用基存器RS的內容與立即數相加
[0115.58-0118.54] 結果送入通用基存器RT
[0118.54-0122.54] 好的,接下來我們就給同學們介紹該徒所示的
[0122.54-0127.94] 由單週期MIPS處理器的專用數據通路改造成的流水線架構
[0127.94-0132.14] 需要說明的是,對於採用專用通路結構的CPU
[0132.14-0137.74] 即內部各基存器之間或基存器與算數邏輯單元ARU之間
[0137.74-0143.74] 採用的都是專用數據傳輸通路連接,而不是單總線結構的共享連接
[0143.74-0147.74] 因此,可在各專用通路中並行傳輸數據
[0147.94-0151.14] 控制起來也比單總線結構CPU簡單
[0151.14-0153.94] 這也是我們之前給同學們介紹完
[0153.94-0157.14] 基於CPU內部單總線結構的數據通路後
[0157.14-0160.54] 沒有給同學們介紹這種專用通路的原因
[0160.54-0167.34] 我們將其留在本節課,與由其改造而來的流水線架構一起給同學們介紹
[0167.34-0172.54] 請同學們不要有為難情緒,成下新來和我一起進行分析
