[0003.31-0007.43] 同学们好,欢迎大家来到我的计算机组成员里威克唐。
[0007.43-0011.63] 本节课,我们介绍补码加减法运算的一出检测。
[0011.63-0015.95] 在上节课中,我们介绍了补码加减法运算公式。
[0015.95-0022.35] 为了简单起见,在我们所给出的例子和习题中,并未涉及到一出的情况。
[0022.35-0028.15] 然而,在补码加减法运算过程中,一出现象是不可避免的。
[0028.15-0035.35] 因此,我们有必要在本节课中给同学们介绍补码加减法运算的一出检测方法。
[0035.35-0044.71] 首先,介绍一出的概念,由于计算机的字长是有限的,因此所能表示的数据范围也是有限的。
[0044.71-0050.11] 当运算结果超出所能表示的数据范围时,就会出现一出。
[0050.11-0054.79] 一出会导致错误的运算结果,我们来举例说明。
[0054.99-0062.59] 如读所示,这是计算机的字长为四位十,定点整数与其补码表示的对应关系。
[0062.59-0070.65] 我们将它们画在数轴上,以便描述一出的概念,假设真值x等于-5,y等于-4。
[0070.65-0076.57] 这是它们各自的补码,我们来做加法,真值x加y等于-9。
[0076.85-0086.61] 可以看到,结果已经超出了,计算机的字长为四位十,补码可表示的最小定点整数-8,称为-1。
[0086.61-0093.17] 这是x的补码,与y的补码,相加得到的结果,这是符号位的境位。
[0093.17-0102.17] 我们知道,符号位的境位的位权值,就是魔术,舍期即可,这是正常的,并不是导致一出的原因。
[0102.49-0110.13] 将舍期魔术后的结果,转换成真值,结果为七,显然这与真值运算结果不复。
[0110.13-0119.84] 从另一个角度看,两个复数的补码相加,将得到的结果,转换成真值时,却变成了正数,这显然是错误的。
[0119.84-0126.78] 再来看这个例子,假设真值x等于-5,y等于-4,这是它们各自的补码。
[0127.06-0139.70] 我们来做加法,真值x加y等于9,可以看到结果已经超出了,计算机的字长为四位时,补码可表示的最大定点整数7,称为正义。
[0139.70-0150.53] 这是x的补码,与y的补码,相加得到的结果,将其转换成真值,结果为-7,显然这与真值运算结果不复。
[0150.81-0160.33] 从另一个角度看,两个正数的补码相加,将得到的结果,转换成真值时,却变成了复数,这显然是错误的。
[0160.33-0170.22] 通过对比这两个例子,还可以看出,舍去符号位的敬位的位权值,也就是舍去魔术,并不是导致溢出的原因。
[0170.54-0185.06] 从上所述,溢出会导致错误的运算结果,因此,计算机系统设计人员必须要解决溢出的检测问题,以便在发生溢出时,计算机能做出相应的处理。
[0185.06-0194.56] 那么接下来呢,我们就介绍溢出检测的方法,定点数补码加减运算判断溢出的方法,主要由以下三种。
[0194.88-0201.72] 方法一是,根据操作数的符号位,与运算结果的符号位是否一致进行判断。
[0201.72-0210.26] 方法二是,根据运算过程中,最高数值位的敬位,与符号位的敬位是否一致进行判断。
[0210.26-0218.66] 方法三是,利用变形补码,也就是具有两位符号位的补码的符号位进行判断。
[0219.10-0226.38] 首先介绍方法一,根据操作数的符号位,与运算结果的符号位是否一致进行判断。
[0226.38-0237.90] 先来证明这种情况,即两个操作数相加时,当他们的符号位相同,也就是同正或同复时,才可能发生溢出。
[0237.90-0246.98] 我们一起来证明,假设基基次长为n加1位,则我们可以写出补码所能表示真直的取之范围。
[0247.26-0252.46] 这一点,是我们在学习完第二章后,就应该熟练掌握的基本功。
[0252.46-0259.51] 考验一下大家的掌握情况,8位补码所能表示的定点整数的范围是多少?
[0259.51-0265.76] 16位补码所能表示的定点整数的范围又是多少呢?
[0265.76-0271.64] 希望同学们能记住,这两种字长的补码所能表示定点整数的范围。
[0271.64-0277.35] 好,我们继续来证明,当真直x和y同为复数时,
[0277.51-0283.90] 这是他们各自的取之范围,因此可以推出x加y的取之范围。
[0283.90-0293.70] 不难看出,该取之范围内的数有可能小于基基次长为n加1位时,补码所能表示真直的取之范围的下限,
[0293.70-0301.60] 也就是有可能产生负义,当真直x和y从为正数时,这是他们各自的取之范围,
[0301.60-0315.80] 因此可以推出x加y的取之范围,不难看出,该取之范围内的数有可能大于基基次长为n加1位时,补码所能表示真直的取之范围的上限,
[0315.80-0329.17] 也就是有可能产生正义,再来看真直x和y的符号位不同的情况,例如x是复数,y是正数,这是他们各自的取之范围。
[0329.17-0342.06] 因此,可以推出x加y的取之范围,不难看出,该取之范围与基基次长为n加1位时,补码所能表示真直的取之范围是相同的。
[0342.06-0352.82] 从上所说,两个操作数相加时,当他们的符号位相同,也就是同正或同负时,才可能发生溢出。
[0352.82-0358.86] 若运算结果的符号位与原操作数的符号位不同,则发生溢出。
[0359.06-0365.02] 若运算结果的符号位与原操作数的符号位相同,则未发生溢出。
[0365.02-0376.62] 我们再回到之前介绍溢出概念时所举的例子,在左侧这个例子中,这是原操作数的符号位,这是运算结果的符号位。
[0376.82-0390.45] 他们不同可判定发生溢出,在右侧这个例子中,这是原操作数的符号位,这是运算结果的符号位,他们不同可判定发生溢出。
[0390.45-0396.77] 另外,再次提醒同学们注意,舍弃魔术与运算溢出的区别。
[0396.77-0401.97] 接下来,我们举两个使用方法一,进行溢出检测的例子。
[0402.40-0414.16] 首先来看,第一,我们写出X的补码,再写出Y的补码,然后进行补码加法运算,得到运算结果。
[0414.16-0418.65] 符号位敬畏了值,为魔术,应该舍弃。
[0418.65-0428.81] 这是原操作数的符号位,这是运算结果的符号位,由于他们相同,因此可判定运算结果未溢出。
[0429.33-0441.10] 再来看,第2,我们写出X的补码,再写出Y的补码,然后进行补码加法运算,得到运算结果。
[0441.10-0452.09] 这是原操作数的符号位,这是运算结果的符号位,由于他们不同,因此可判定运算结果一戳。
[0452.09-0461.44] 接下来,请同学们完成以下两个练习,请同学们暂停播放视频,务必动手练习一下。
[0466.09-0470.05] 相信大家都能正确完成,我们就不再坠述了。
[0470.05-0483.77] 需要说明的是,由于采用补码,可将减法运算转换成加法运算,因此不论做加法还是减法,只要实际参加运算的两个操作数符号相同。
[0483.77-0488.61] 但运算结果的符号位与原操作数不同,既为一出。
[0488.61-0497.20] 我们来举例说明,我们写出X的补码,再写出Fy的补码,
[0497.40-0501.96] 然后进行补码加法运算,得到运算结果。
[0501.96-0512.14] 这是原操作数的符号位,这是运算结果的符号位,由于他们不同,因此可判定运算结果一戳。
