[0003.73-0008.21] 同学们好,欢迎大家来到我的计算机组成员里维克堂
[0008.21-0012.61] 本节课,我们介绍用于地址一码的一码结构
[0012.61-0019.41] 在上节课中,我们一起回顾了一下第一章就学习过的有关主存的构成
[0019.41-0023.29] 然后在此基础上,我们引入了地址一码器
[0023.29-0028.05] 另外,我们还给同学们强调了,随着硬件技术的发展
[0028.13-0031.57] 主存都制成大规模集成电路芯片
[0031.57-0039.77] 而将存储器地址计存器MAR和存储器数据计存器MDR都集成到了CPU中
[0039.77-0044.43] 因此,以后当我们再画出主存的结构时
[0044.43-0049.39] 除特别需要,就不再画出MAR和MDR了
[0049.78-0057.10] 在上节课的基础上,本节课我们还要继续探讨有关地址一码器的相关问题
[0057.36-0060.92] 具体来说就是地址一码器的一码结构
[0060.92-0064.84] 分为单一码结构和双一码结构两种
[0064.84-0069.01] 首先,我们举例说明什么是单一码结构
[0069.01-0074.25] 假设主存的存储体,包括有64个存储单元
[0074.25-0078.21] 每个存储单元只能存储一个二进之位
[0078.21-0084.77] 请给出只使用一个一码器,就能寻止这64个存储单元的方案
[0084.93-0091.89] 也就是分析出一码器的地址输入线和一码输出线各需要几条
[0091.89-0095.14] 我们画出本例的主存结构
[0095.14-0101.06] 它主要包含存储体,地址一码器,两部分
[0101.06-0106.78] 通过上节课的学习,我们知道地址一码器的各条一码输出线
[0106.78-0111.10] 要各自连接到存储体中相应的存储单元
[0111.49-0116.88] 对于本例,由于存储体中包含有64个存储单元
[0116.88-0121.83] 因此,地址一码器的一码输出线需要64条
[0121.83-0127.15] 进而我们可以知道,地址一码器的地址输入线需要6条
[0127.15-0130.41] 因为二的六次方等于64
[0130.41-0133.41] 接下来,请同学们思考一下
[0133.41-0137.57] 若存储体包含64k个存储单元
[0137.57-0142.93] 则一码器的地址输入线和一码输出线各需要几条呢?
[0142.93-0148.91] 我想同学们都能正确回答
[0148.91-0154.94] 一码输出线需要64k条,地址输入线需要16条
[0154.94-0158.50] 不难想象,随着存储容量
[0158.50-0162.90] 也就是存储体中存储单元的数量的增大
[0162.90-0166.18] 一码输出线也随之增多
[0166.18-0170.02] 这样,一码辨入的开销就不容忽视了
[0170.18-0174.42] 过多的一码输出线会占用角度的晶圆面积
[0174.42-0177.02] 为生产制造带来困难
[0177.02-0182.30] 因此,单一码结构只适用于容量很小的存储芯片
[0182.30-0186.78] 例如,容量在几百个存储单元以内的存储芯片
[0186.78-0191.44] 而大容量存储芯片普遍采用双一码结构
[0191.44-0193.36] 我们来举例说明
[0193.52-0198.56] 假设有大量的存储单元排列成二维阵列的形式
[0198.72-0202.48] 使用行地址一码器的各条一码输出线
[0202.48-0207.68] 连接相应行中的全部存储单元
[0207.68-0211.12] 使用列地址一码器的各条一码输出线
[0211.12-0215.74] 连接相应列中的全部存储单元
[0215.74-0220.22] 若行地址一码器有二分之N条地址输入线
[0220.22-0225.90] 则行地址一码器就有二的二分之N四方条一码输出线
[0225.90-0230.74] 这样可以寻致二的二分之N四方行存储单元
[0230.82-0231.62] 同理
[0231.62-0235.94] 若列地址一码器有二分之N条地址输入线
[0235.94-0241.30] 则列地址一码器就有二的二分之N四方条一码输出线
[0241.30-0246.67] 这样可以寻致二的二分之N四方各列存储单元
[0246.67-0252.74] 我们不难计算出该存储器中一码输出线的总数
[0252.74-0257.02] 还可以计算出该存储器的存储容量
[0257.02-0261.06] 相信同学们都能看懂就不再认输了
[0261.22-0263.22] 请同学们思考一下
[0263.22-0265.94] 若于本利的存储容量相同
[0265.94-0267.78] 该用单一码结构
[0267.78-0270.66] 则一码输出线有多少条呢?
[0270.66-0276.08] 答案是二的N四方条
[0276.08-0279.90] 对比之下不难看出
[0279.90-0282.46] 在存储容量相同的情况下
[0282.46-0284.22] 采用双一码结构
[0284.22-0286.22] 汇比采用单一码结构
[0286.22-0288.54] 减少很多一码输出线
[0288.54-0289.81] 例如
[0289.81-0291.65] 对于单一码结构
[0291.73-0295.49] 当地址一码器的地址输出线为16条时
[0295.49-0299.09] 相应的一码输出线会有二的16四方
[0299.09-0301.86] 也就是65536条
[0301.86-0303.78] 对于双一码结构
[0303.78-0307.06] 行地址一码器的地址输出线为8条
[0307.06-0310.50] 列地址一码器的地址输出线也为8条
[0310.50-0313.30] 地址输出线合计为16条
[0313.30-0317.52] 这与单一码结构中地址输出线的数量相同
[0317.52-0318.48] 但是
[0318.48-0321.44] 行地址一码器相应的一码输出线有
[0321.44-0322.72] 二的8四方
[0322.72-0324.88] 也就是256条
[0324.88-0329.12] 列地址一码器相应的一码输出线也有二的8四方
[0329.12-0331.39] 也就是256条
[0331.39-0335.01] 一码输出线合计为512条
[0335.01-0336.69] 这比单一码结构中
[0336.69-0342.05] 一码输出线的数量65536条减少了非常多
[0342.05-0343.33] 从上所说
[0343.33-0347.89] 单一码结构只适用于容量很小的存储芯片
[0347.97-0349.09] 例如
[0349.09-0352.69] 容量在几百个存储单元以内的存储芯片
[0352.69-0354.93] 而在大容量存储器中
[0354.93-0357.87] 普遍采用双一码结构
[0357.87-0359.63] 学习过单片机课程
[0359.63-0361.71] 并做过行列式按键
[0361.71-0364.27] 获称拒绝按键开发的同学
[0364.27-0366.19] 对这种行列式结构
[0366.19-0368.06] 应该并不陌生
[0368.06-0371.90] 当单片机应用系统中的按键数量较大时
[0371.90-0373.58] 采用行列式结构
[0373.58-0376.50] 可以节省单片机的Io口
[0376.58-0378.50] 这于使用双一码结构
[0378.50-0380.90] 来降低一码输出线的数量
[0380.90-0384.38] 从本质上说是相同的
[0384.38-0385.26] 好的
[0385.26-0387.82] 本节课到这里就结束了
[0387.82-0388.70] 同学们
[0388.70-0390.30] 我们下节课见
