[0003.18-0007.50] 同学们好,欢迎大家来到我的计算机组成员里维克堂。
[0007.50-0016.50] 从本节课开始,我们要用几次课的时间,给同学们介绍主存的扩展及其与CPU的连接的相关知识。
[0016.50-0019.30] 本节课,我们介绍未扩展。
[0019.30-0028.36] 当存储芯片的数据总线未宽,小于CPU数据总线未宽时,就需要采用未扩展的方式进行扩展。
[0028.68-0041.38] 我们来举例说明,这是本历给定的SRAM存储极芯片,其数据总线未宽为一位,也就是每次访问只能输入或输出一位数据。
[0041.38-0057.59] 该芯片有A0到A17共18个地址影角,这是因为该芯片的容量为256K乘以位,256K可写成2的18次方,因此需要18条地址线。
[0058.26-0073.13] W1为使能影角,带有上华线表明低电瓶有效,当给该影角输入低电瓶时,可以进行写操作,当给该影角输入高电瓶时,可以进行独操作。
[0073.13-0080.70] CS为骗血影角,同样是低电瓶有效,这是本历给定的CPU。
[0080.86-0089.58] 它至少要包含有A0到A17共18个地址影角,以便与存储芯片的18个地址影角连接。
[0089.58-0096.62] 这是CPU的独写控制影角RW,警号用于表示低电瓶有效。
[0096.62-0105.08] 至此,同学们已经知道了两种表示低电瓶有效的方法,一种是警号,一种是上华线。
[0105.72-0113.64] 这种表示方法表明,独控制信号R为高电瓶有效,写控制信号W为低电瓶有效。
[0113.64-0118.60] 该影角可以存储芯片的写使能影角W1连接。
[0118.60-0129.21] 这是CPU的存储器请求控制影角MREQ,也是低电瓶有效,可以存储芯片的骗血影角CS连接。
[0129.59-0137.11] 本地给定,CPU的数据总线位宽为32位,而所给存储芯片的数据位宽为1位。
[0137.11-0142.74] 因此,我们采用32片这样的存储芯片进行位扩展。
[0142.74-0151.90] 每个存储芯片的1位数据线连接到CPU的32位数据总线的其中一条数据线上,如读所示。
[0155.77-0171.45] CPU的读写控制影角RW连接到每一片存储芯片的写使能影角W1,CPU的18个地址影角连接到每一片存储芯片相应的18个地址影角。
[0171.45-0180.82] CPU的存储器请求控制影角MREQ连接到每一片存储芯片的骗血影角CS。
[0181.54-0188.09] 至此,我们就完成了本利所要求的主存扩展以及与CPU的连接。
[0188.09-0193.29] 接下来,我们来看看本利中CPU对主存的反应过程。
[0193.29-0201.74] 初始状态下,CPU的存储器请求控制影角MREQ输出无效电瓶,也就是高电瓶。
[0201.74-0210.95] 我们用1来表示,各存储芯片的骗血影角CS收到该无效电瓶,因此不被选中工作。
[0211.11-0218.07] 进而,各自的一位数据线输出为高组态,可认为位于CPU的数据总线连接。
[0218.07-0227.69] CPU的读写控制影角RW输出高电瓶,各存储芯片的写使能影角W1收到该高电瓶。
[0227.69-0234.86] 由于各存储芯片此时都未被选中工作,因此不会理会该信号。
[0235.56-0241.96] 而CPU的地址总线和数据总线的输出未知,或者说可以不用关心。
[0241.96-0251.35] 在初始状态下,假设CPU要进行读操作,CPU的18条地址总线送出18位的地址。
[0251.35-0257.35] 各存储芯片都会通过各自的18个地址影角收到这18位的地址。
[0257.51-0267.03] 因此,当各存储芯片被同时选中工作时,其各自内部该地址所对应的存储单元被同时选中。
[0267.03-0280.65] 之后,CPU的存储器请求控制影角MR1Q输出低电瓶,各存储芯片的骗血影角CS收到该有效电瓶,因此都被选中工作。
[0281.26-0291.10] 由于此时,各存储芯片的写使能影角WE上的信号是之前由CPU的读写控制影角RW输出的高电瓶。
[0291.10-0304.22] 因此,各存储芯片将被选中的存储单元存储的一位数据通过各自的一位数据线传送到CPU的32位数据总线中相应的数据线。
[0304.22-0309.85] 之后,CPU通过32位数据总线读取32位数据。
[0310.57-0316.54] 接下来,我们来看在初始状态下,CPU进行写操作的过程。
[0316.54-0322.46] CPU的32条数据总线送出32位带写入组存的数据。
[0322.46-0333.85] 之后,CPU的18条地址总线送出18位的地址,各存储芯片都会通过各自的18个地址影角收到这18位的地址。
[0334.15-0344.25] 因此,当各存储芯片被同时选中工作时,其各自内部该地址所对应的存储单元被同时选中,
[0344.25-0360.98] 之后,CPU的读写控制影角RW输出低电瓶,各存储芯片的写使能影角W1收到该低电瓶,由于各存储芯片此时都未被选中工作,因此不会理会该信号。
[0361.42-0374.74] 之后,CPU的存储器请求控制影角MR-EQ输出低电瓶,各存储芯片的片写影角CS收到该有效电瓶,因此都被选中工作。
[0374.74-0384.79] 由于此时,各存储芯片的写使能影角W1上的信号是之前由CPU的读写控制影角RW输出的低电瓶,
[0385.11-0398.39] 因此,各存储芯片通过各自的一位数据线,从CPU的32位数据总线中相应的数据线上读入一位数据,并写入所选中的存储单元。
[0398.39-0409.78] 通过本例,我们对未扩展方法进行小节,将所有存储芯片的地址影角、写使能影角W1分别并连后,
[0409.86-0421.66] 在分别与CPU的地址影角和读写控制影角RW连接,将各存储芯片的数据影角依次与CPU的数据影角进行相应连接,
[0421.66-0431.14] 将所有存储芯片的片写影角CS并连后与CPU的存储器请求控制影角MR-EQ相连。
[0431.14-0444.36] 综上所说,未扩展又称为数据总线扩展或自成扩展。好的,本节课到这里就结束了。同学们,我们下节课见。
