[0003.54-0007.54] 同学们好,欢迎大家来到我的计算机组成员里维克堂
[0007.54-0011.54] 在上期课中,我们给同学们介绍了什么是IO设备
[0011.54-0013.54] 以及IO设备的三个主要特性
[0013.54-0017.54] 本节课,我们给同学们介绍IO接口的相关知识
[0017.54-0023.54] 主要包括IO接口的功能,IO接口的结构,IO接口的编织
[0023.54-0027.54] IO接口的软件架构,以及IO接口的分类
[0027.54-0029.54] 首先来看IO接口的功能
[0029.54-0033.57] 实际上,我们在上一张,也就是第七张总线系统
[0033.57-0037.57] 有关总线分类的那些课中,就给同学们介绍过
[0037.57-0041.57] IO设备需要通过IO接口,才能挂接到总线上
[0041.57-0047.57] 本节课,我们仍然基于这幅图,给同学们介绍IO接口的功能
[0047.57-0053.57] IO接口的功能,主要包括,设备寻止,也就是接收并一码地址信息
[0053.57-0057.57] 以选择IO设备中的特定计存器或存储器
[0057.57-0063.86] 设备控制,也就是存储和识别CPU传送来的命令
[0063.86-0068.98] 实现IO设备的启停,复位等控制,读写等操作
[0068.98-0073.98] 状态检测,也就是采集并保存IO设备的工作状态
[0073.98-0078.98] 例如,设备就绪,设备忙,设备故障,中断请求等
[0078.98-0082.24] 共CPU查询,数据交互
[0082.24-0087.24] 也就是实现IO设备与CPU,IO设备与主存之间的数据交换
[0087.24-0090.24] 这是IO接口最基本的功能
[0090.24-0095.43] 数据缓冲,也就是通过缓冲计存器赞存数据
[0095.43-0098.43] 以协调CPU与IO设备之间的数据差异
[0098.43-0104.78] 格式转换,也就是当IO设备的数据位宽与总线位宽不同时
[0104.78-0107.78] 需要进行并串或串铭转换
[0107.78-0112.78] 当信号电瓶与总线规算不同时,需要进行电瓶转换
[0114.01-0121.01] 除上述功能外,IO接口还应具有中断,持续控制,数据减错,纠错等功能
[0121.01-0128.20] IO接口的上述主要功能,在我们稍后介绍IO接口的结构时,都会有所体现
[0128.20-0131.33] 请同学们注意知识点之间的联系
[0131.33-0134.33] 好的,我们来看IO接口的结构
[0134.33-0137.33] 如都所示,这是IO接口的通用结构
[0137.33-0141.33] 需要说明的是,在计算机发展的早期阶段
[0141.33-0149.33] IO设备通过IO接口直接连接在系统总线上,以便与CPU主存进行数据交互
[0149.33-0153.33] 而现代计算机普遍采用分离的层次总线结构
[0153.33-0158.33] 将不同速度的IO设备连接在不同层次的IO总线上
[0158.33-0166.33] IO总线在通过扩展总线控制器、强节芯片或通道处理器,与CPU进行数据交互
[0166.33-0169.33] 上述知识点,是同学们学习过上一章
[0169.33-0173.33] 也就是第七章总线系统后,就应该整合的内容
[0173.33-0178.78] 在IO接口的内部,只要包括总线接口和内部接口两部分
[0178.78-0183.78] 其中,总线接口必须按总线规范标准进行设计
[0183.78-0187.78] 而内部接口,以IO设备而易,是非标准的
[0187.78-0192.90] 总线接口中的数据缓冲计存器DBR,用于数据缓冲
[0192.90-0196.90] 以协调CPU与IO设备之间的速度差异
[0196.90-0204.90] 具体来说就是,当CPU进行独操作时,数据缓冲计存器暂存从IO设备独取的数据
[0204.90-0210.03] 进而被CPU通过总线独取并写入CPU中的计存器
[0210.03-0216.03] 当CPU进行写操作时,数据缓冲计存器暂存CPU送来的数据
[0216.03-0219.03] 进而最终被输出到相应的IO设备
[0219.03-0226.42] 总线接口中的设备命令计存器DCR,用于接收CPU发来的设备控制命令
[0226.42-0231.64] 例如,复位,识别,读写等,竟然实现对IO设备的控制
[0231.64-0234.64] 不同IO设备所能支持的命令不同
[0234.64-0241.86] 简单设备,例如,键盘输入和自付中端输出设备,可能没有设备命令计存器
[0241.86-0247.86] 总线接口中的设备状态计存器DSR,用于向CPU反馈IO设备的状态
[0247.86-0252.15] 例如,设备就绪,设备忙,设备错误等
[0252.15-0258.15] 在程序查询方式中,CPU通过读设备状态计存器来判断设备的状态
[0258.15-0261.15] 以便确定程序下一步应执行的操作
[0261.15-0269.28] 而对于简单设备,例如,键盘输入和自付中端输出设备,可能没有设备状态计存器
[0269.28-0278.28] 需要说明的是,有时将设备命令计存器DCR与设备状态计存器DSR设计在一个计存器中
[0278.28-0283.28] 例如,计存器的高级位用于DCR,低级位用于DSR
[0283.28-0289.28] 这是为了讲话应家设计,节省芯片内部的计存器资源降低成本
[0289.28-0295.76] 总线接口中的设备存储器RAM,用于设备自身的运算和处理
[0295.76-0299.76] 例如,固态硬盘中的DRAM,显卡上的显存
[0299.76-0306.79] 需要说明的是,设备存储器RAM并不是必须的,这取决于具体的IO设备
[0306.79-0312.89] 总线接口中的地址一码器,对地址总线传来的地址型号进行一码
[0312.89-0319.89] 以选中对应的设备接口及其内部计存器,从而实现CPU与特定IO设备之间的通信
[0319.89-0325.34] 总线接口中的控制逻辑,是IO接口的指挥中心
[0325.34-0332.34] 它根据CPU通过数据总线发来的控制命令,协调接口内部各计存器的工作流程
[0332.34-0336.34] 并管理与外部IO设备之间的握手通信
[0336.34-0342.56] 请同学们注意,通过控制总线传输的是,协调总线操作本身的全局信号
[0342.56-0347.56] 主要用于实际控制,总线请求硬达,中断响硬等
