[0003.25-0007.25] 同学们好,欢迎大家来到我的计算机组成原理维克堂。
[0007.25-0015.25] 在前几词课中,我们给同学们介绍了指令中操作数的多种寻执方式,并且还安排了相应的习题课。
[0015.25-0023.25] 在同学们掌握了这些操作数寻执方式后,本节课,我们给同学们介绍指令的操作类型。
[0023.25-0032.25] 对于不同架构的计算机,其结构、性能、应用领域是不同的,因此所采用的指令系统之间的差异也是很大的。
[0033.25-0044.25] 尽管不同架构的计算机存在上述差异,但在其各自采用的指令系统中所包含的指令,其基本操作类型和功能是相似的。
[0044.25-0058.75] 指令的基本操作类型包括数据传送指令、算数和逻辑运算指令、一位操作指令、程序控制指令、数书指令、其他指令。
[0058.75-0064.10] 接下来,我们对指令的这些基本操作类型进行简单介绍。
[0064.10-0070.74] 首先来看数据传送指令,数据传送指令是最基本、最常用的指令。
[0070.74-0083.78] 数据传送指令主要完成两个部件之间的数据传送操作,一种是计存器与计存器之间的数据传送,另一种是计存器与存储器之间的数据传送。
[0083.78-0088.87] 有的计算机采用通用的木屋指令来实现数据传送操作。
[0088.87-0095.87] 请注意,这里木屋为绘编指令筑计服,并不是单词木屋,但它们的含义是相同的。
[0095.87-0107.06] 而有的计算机采用load指令,从主存单元读取数据到计存器,采用store指令将计存器中的数据写入主存单元。
[0107.06-0113.29] 数据传送指令和按字节、字、双字为单位进行数据传送。
[0113.29-0120.29] 有的指令系统甚至还支持成组数据传送,例如英特尔X86的指令系统。
[0120.29-0123.54] 再来看算数和逻辑运算指令。
[0123.54-0133.99] 算数和逻辑运算指令用于CPU所实现的最基本功能,那就是算数运算,例如加减乘除等。
[0133.99-0143.47] 逻辑运算,例如予货非亦货等,不同架构的计算机对算数运算指令的支持有很大差别。
[0143.47-0153.47] 有的计算机仅支持二进制定点数的加、减、比较、求补等最简单的指令,目的是为了让印价实现最简单。
[0153.47-0165.66] 有的计算机除了支持基本的算数运算指令外,还支持伏点运算指令、实进制运算指令,甚至支持乘方、开方、多项式计算等指令。
[0165.66-0177.89] 有的大型机和巨型机,除了支持标量运算指令外,还支持项量运算指令,可直接对整个项量或矩阵进行求合、求基等运算。
[0177.89-0189.78] 再来看一位操作指令,在等课程第三章的前三次课中,我们分别给同学们介绍了逻辑一位、算数一位、循环一位、共三种一位操作。
[0189.78-0201.94] 一位操作指令就是用来告诉计算机要执行哪种一位操作,因此可分为逻辑一位指令、算数一位指令、循环一位指令。
[0201.94-0212.74] 逻辑一位指令的一位对象是无符号数,算数一位指令的一位对象是有符号数,循环一位指令的对象是无符号数。
[0214.16-0229.42] 循环一位指令具体分为,不带近位界位标志CF的循环右移,不带近位界位标志CF的循环左移,带近位界位标志CF的循环右移,带近位界位标志CF的循环左移。
[0229.42-0237.42] 我们将不带标志位CF的循环一位称为小循环,将带标志位CF的循环一位称为大循环。
[0237.42-0251.86] 再来看程序控制指令,程序控制指令用于控制程序的运行顺序和分支,这类指令可分为以下几种,一种是转移指令,另一种是循环控制指令,
[0251.86-0255.86] 还有一种是,子程序调用于返回指令。
[0255.86-0274.44] 我们首先来看转移指令,转移指令又可分为,无条件转移指令,条件转移指令,对于条件转移指令,一般根据状态标志计存器,或条件码计存器中的相关标志位,来决定是否进行转移操作。
[0274.44-0285.44] 这些标志位一般包括,近位这位标志CF,有符号一数标志OF,结果为0标志ZF,结果为副标志NF等。
[0285.44-0295.47] 这些标志位一般由前面的指令根据执行结果来设置,并作为当前的条件转移指令决定是否进行转移的条件。
[0295.47-0303.92] 再来看循环控制指令,为了实现循环程序的执行,循环控制指令一般包括以下功能,
[0303.92-0310.50] 对循环控制辨量的修改,条件测试和判断,地址转移。
[0310.50-0317.10] 从上所说,循环控制指令实际上是功能更强的转移指令。
[0317.10-0320.10] 再来看子承区调用于返回指令。
[0320.10-0329.52] 在主承区执行过程中,当需要调用功用的子承区时和执行子承区调用指令,进入子承区执行。
[0329.52-0336.52] 当子承区执行完毕后,可以利用返回指令,从子承区返回到主承区继续执行。
[0336.52-0341.62] 子承区调用指令中必须明确给出子承区的入口地址。
[0341.62-0347.62] 在主承区中,子承区调用指令的下一条指令的地址称为断点。
[0347.62-0356.81] 断点是子承区返回主承区时的返回地址,为了使子承区执行返回指令时能够正确返回主承区。
[0356.81-0361.81] 主承区中的子承区调用指令应当具备断点保护的功能。
[0361.81-0369.81] 一般情况下,子承区调用指令会将断点,也就是子承区的返回地址,进行压占保护。
[0369.81-0374.81] 而返回指令则从最占中取出断点并送入承区技术器PC。
[0374.81-0381.00] 这样就可使子承区返回到主承区中的断点处继续执行主承区。
[0381.00-0389.00] 可能有的同学已经发现了,子承区调用与返回指令与转移指令都是实现了承区的转移。
[0389.00-0393.00] 但是他们之间还是有较大区别的。
[0393.00-0401.00] 我们来对比一下,条件转移指令需要满足条件,而子承区调用与返回指令一般是无条件的。
[0401.00-0409.22] 转移指令在同一程序内转移,而子承区调用与返回指令是在不同程序之间转移。
[0409.22-0420.51] 转移指令不需要返回原处,而子承区调用与返回指令需要返回调用处,因此需要保护断点,也就是返回地址。
[0420.51-0423.51] 好的,我们再来看输入输出指令。
[0423.51-0430.51] 输入输出指令一般简称为IO指令,用于实现主机与外部设备之间的信息传送。
[0430.51-0436.58] 主机可向外部设备发出各种控制命令,从而控制外部设备的工作。
[0436.58-0442.58] 主机也可从外部设备端口计存器中读取外部设备的各种工作状态。
[0442.58-0452.77] 当外部设备与主存采用同一编织模式时,则不需要专用的IO指令,而使用仿存指令直接访问外部设备。
[0452.77-0459.96] 由于我们还未学习到外部设备这一章,因此目前对输入输出指令大致了解即可。
[0459.96-0465.96] 除了上述几种基本操作类型的指令外,还有一些实现其他控制功能的指令。
[0465.96-0476.76] 例如停机指令、等待指令、空操作指令、开中站指令、关中站指令、特权指令。
[0476.76-0486.98] 特权指令主要面向操作系统,用于对系统资源的分配和管理,具有特殊的权限,因而不直接提供给用户使用。
[0486.98-0491.98] 在多任务、多用户的计算机系统中,必须要有特权指令的支持。
[0491.98-0498.27] 另外,在多处理器系统中,还包含有专用的多处理机指令。
[0498.27-0503.27] 至此,我们就给同学们简单介绍的指令的几种基本操作类型。
[0503.27-0508.27] 接下来,请同学们挑战两道相关的408考研真题。
