[0003.38-0007.48] 同学们好,欢迎大家来到我的计算机组成员里维克堂。
[0007.48-0014.08] 从本节课开始,我们要用几次课的时间,给同学们介绍辅典运算的相关知识。
[0014.08-0017.58] 本节课,我们介绍辅典加减法运算。
[0017.58-0026.88] 在同学们学习本节课之前,建议大家首先复习一下第二章中的辅典书的表示形式和表示范围,
[0026.88-0036.70] 以及辅典书的规格化,那两节课中,有关接码、伪术、上义、下义、左归、右归等概念。
[0036.70-0041.70] 好的,接下来我们就给同学们介绍辅典加减法运算。
[0041.70-0049.90] 首先来看一个我们比较熟悉的,两个用科学技术法表示的实际制辅典书进行加法运算的例子。
[0050.32-0062.25] 我们可将该式变换成如下形式,可以看出,我们将原式中的这个辅典书的表示,转换成了另一种形式,也就是将接码增加3,
[0062.25-0072.85] 以便与另一个辅典书的接码5相同,相应的伪术0.408要右移三位,我们将上述操作成为对接。
[0073.15-0083.15] 我想同学们一定可以看出,进行对接的目的,那就是对接后,两个辅典书的伪术可以直接进行加减运算了。
[0083.15-0089.75] 对于本例,进行的是加法运算,这是伪术进行加法运算后的结果。
[0089.75-0102.68] 我们知道,计算机内部的辅典书在数据表示时,需要对伪术进行规格化处理,也就是使得伪术的最高数值位,必须是一个有效值。
[0103.01-0109.41] 这样,就可使伏链书的表示形式为一,还可以使伏链书的表示精度最高。
[0109.41-0118.54] 当进行伪术右规时,伪术末位的几位会因超出计算机自长而被丢弃,从而产生误差。
[0118.54-0123.70] 此时,计算机可以按选定的方式进行舍入处理。
[0124.00-0137.40] 另外,在进行伪术规格化,可能是左规,也可能是右规,以及伪术舍入时,可能会对结果的接码执行相应的加减运算。
[0137.40-0147.17] 因此,必须考虑结果的接码出现溢出的问题,由于伏链书中,接码的位数决定了伏链书的表示范围。
[0147.37-0154.47] 因此,对于伏链运算,当接码出现溢出时,就表示运算结果出现溢出。
[0154.47-0162.02] 对于以上所描述的舍弱,接码溢出等概念还不太清晰的同学,没有关系。
[0162.02-0169.02] 这里,我们只是为了引出伏链加减运算的步骤,以及所涉及到的溢出问题。
[0169.52-0178.52] 那么,接下来呢,我们就通过两个例子,来帮助同学们理解伏链加减运算的步骤,以及所涉及到的溢出问题。
[0178.52-0185.52] 首先来看第一,请同学们暂停播放视频,认真閱读一下本地的要求。
[0185.52-0200.19] 好的,我们来一起分析,我们将二进制伏链书X的接码,计为1X,将其伪术,计为MX。
[0201.01-0213.75] 同理,这是伏链书Y的接码和伪术,进而可以写出它们各自的补码形式,可以采用定义式、凡码法或扫描法来完成。
[0213.75-0220.25] 这是同学们在学习完第二章后,就应该熟练掌握的基本功,我们就不再赘述了。
[0220.25-0230.94] 这样,我们就可以写出二进制伏链书X的补码形式,它由接码1X的补码形式和伪术MX的补码形式构成。
[0232.23-0236.23] 这是二进制伏链书Y的补码形式,我们就不再赘述了。
[0236.23-0246.29] 需要说明的是,本节课所介绍的伏链加减法运算,其操作数并不符合I-754伏链书标准。
[0246.29-0258.14] 因此,请同学们不要把思维局限在I-754伏链书标准上,本地要求将二进制伏链书X和Y进行加法运算。
[0258.64-0261.77] 那么第一步呢,就是对接。
[0261.77-0270.00] 在之前的那个引力中,我们采用的是小接向大接看齐的方式,这是以对接的情况。
[0270.00-0280.12] 相应的,我们还需要将伟术右移相应的位数,因此会有相应的位从伟术低位移出并被舍弃。
[0280.12-0283.82] 这样做,只有很小的精度损失。
[0284.44-0294.46] 请同学们思考一下,如果我们采用的是大接向小接看齐的方式,会造成怎样的结果呢?
[0294.46-0306.15] 我想很多同学已经想到了,这就需要将伟术左移相应的位数,因此会有相应的位从伟术高位移出并被丢弃。
[0306.15-0309.65] 这样做,就会造成严重的数值错误。
[0310.60-0319.32] 对一位操作的相关知识,已经升书了的同学,请复习本章中有关算数一位的那些课的相关内容。
[0319.32-0332.02] 这样,我们就要得到了对接的原则,那就是小接向大接看齐,伟术右移相应位数,也就是两个接的差的绝对值。
[0332.02-0343.43] 对于本例,二经之俗点数X和Y各自的接码,采用的是双符号补码表示,那么怎么判断他们的接码,谁大谁小呢?
[0343.43-0356.66] 我们可以用X的接码,EX的补码,减去Y的接码,EY的补码,然后根据结果进行判断,将补码减法,转换成补码加法。
[0356.66-0360.75] 这需要根据意外的补码,求其相反数的补码。
[0360.75-0367.75] 这是同学们在学习完第二章后,就应该熟练掌握的基本功,我们就不再追数了。
[0367.75-0372.94] 再入各自具体的补码,得到结果。
[0372.94-0383.10] 根据补码减法公式可知,EX的补码减去Y的补码,与EX减去Y,然后再求补是等价的。
[0383.10-0391.10] 根据补码的定义是,或者将补码转换成圆码,进而可以得出EX减EY的结果为-3。
[0391.10-0400.54] 这就表明X的接码比Y的接码小三,因此EX的接码影响Y的接码看齐。
[0400.54-0404.54] 相应的,需要将EX的尾数向右移动三位。
[0404.54-0413.83] 对结后,二定值辅典数X的接码EX,其补码就等于二定值辅典数Y的接码,Y的补码。
[0413.83-0419.99] 相应的,EX的尾数MX的补码,要算数由于三位。
[0419.99-0426.99] 请同学们注意,从尾数D位移出的位,暂时保留,称为保留附加位。
[0426.99-0432.02] 保留附加位参与中间运算,以提高运算精度。
[0432.02-0437.41] 尾数运算结束,结果规格化后再进行舍入。
[0437.41-0440.41] 这样,我们就得到了对结后的结果。
[0440.41-0444.30] 第二步,进行尾数运算。
[0444.30-0450.37] 对于本例,也就是将二定值辅典数X的尾数MX的补码,
