[0003.34-0007.94] 同学们好,欢迎大家来到我的计算机组成员里,威克唐。
[0007.94-0011.74] 从本节课开始,我们要用几次课的时间,
[0011.74-0017.14] 给同学们介绍静态随机存取存储器SRAM的相关知识。
[0017.14-0021.20] 本节课,我们介绍SRAM的存储员。
[0021.20-0025.73] 静态随机存取存储器的英文缩写词为SRAM。
[0025.73-0031.33] 它是随机存取存储器RAM的一种。
[0031.33-0035.22] 在本章有关存储器分类的那一课中,
[0035.22-0039.12] 我们曾给同学们介绍过,按存取方式分类,
[0039.12-0042.52] 可将存储器分为顺序存取存储器,
[0042.52-0046.22] 直接存取存储器,随机存取存储器。
[0046.22-0051.22] 请同学们快速回忆一下这三种存取方式的区别。
[0051.22-0058.07] 静态随机存取存储器SRAM中静态的意思是指,
[0058.07-0060.67] 这种RAM只要保持通电,
[0060.67-0064.37] 其内部所存储的数据就可以保持不变,
[0064.47-0067.27] 而不需要进行周期性的刷新。
[0067.27-0071.07] 相比之下,动态随机存取存储器DRAM,
[0071.07-0073.67] 则需要进行周期性的刷新。
[0073.67-0075.50] 请同学们注意,
[0075.50-0081.50] 一旦断电,SRAM和DRAM内部存储的数据还是会消失的。
[0081.50-0086.60] 也就是说,SRAM和DRAM属于意识性存储器,
[0086.60-0092.56] 这于属于非意识性存储器的只读存储器ROM是不同的。
[0092.66-0095.66] 目前,SRAM内部的存储员,
[0095.66-0099.26] 也就是存储一个二进之位的单元,
[0099.26-0105.16] 一般采用多个金属氧化物半导体场效应经体馆来构建。
[0105.16-0110.73] 金属氧化物半导体场效应经体馆的英文缩写词为MOSFET,
[0110.73-0113.09] 常简称为MOSFET。
[0113.09-0119.59] 接下来,我们就给同学们介绍SRAM的存储员的构成和工作员力,
[0119.59-0121.22] 如同所示,
[0121.32-0126.52] 这是一个典型的由多个MOSFET构成的SRAM存储员。
[0126.52-0133.02] 其中,我们标记为橙色的两个MOSFETT1和T2作为工作馆,
[0133.02-0138.75] 标记为紫色的两个MOSFETT3和T4作为附载馆,
[0138.75-0141.15] 可看作是上达电阻,
[0141.15-0147.00] 标记为蓝色的四个MOSFETT5到T8作为门控管。
[0147.00-0150.50] 学习过模电和数电这两门课程的同学,
[0150.60-0152.84] 对MOSFETT并不陌生。
[0152.84-0154.34] 在模拟电路中,
[0154.34-0156.94] MOSFETT的应用一般测重于
[0156.94-0160.24] 利用其放大和阻矿变换的特性,
[0160.24-0163.40] 需要考虑其在不同工作区的行为。
