[0003.28-0007.50] 同学们好,欢迎大家来到我的计算机组成原理,微课堂。
[0007.50-0014.62] 在上集课中,我们给同学们介绍了开始读操作和写操作各自的基本流程,
[0014.62-0023.98] 进而引出了实现开始的关键技术,也就是数据的快速查找,地址硬射,替换策略,写入策略。
[0023.98-0032.78] 在进行数据访问时,首先需要对数据进行快速查找,而这取决于所采用的地址硬射方法。
[0032.98-0040.34] 因此,从本节课开始,我们要用几册的时间给同学们介绍三种地址硬射方法。
[0040.34-0044.70] 首先,我们介绍一些地址硬射的相关基本概念。
[0044.70-0050.89] 如都所示,这是采用同步动态随机存取存储器SD RAM的主存。
[0050.89-0062.89] 在开始主存系统中,主存被划分成若干个等长的数据夸,如都所示,数据夸用大写字母B来表示,
[0062.89-0069.36] 其下标用来表示数据夸的序号,每个数据夸包含若干个存储字,
[0069.36-0077.36] 一个存储字可以是一字节,二字节,四字节,八字节等,如都所示。
[0077.36-0088.51] 这是采用静态随机存取存储器SD RAM的开始,开始被划分成若干个等长的区域,成为行或槽,如都所示。
[0089.82-0094.12] 每个开始行都可存储一个主存数据夸的副本。
[0094.12-0101.12] 需要说明的是,为了简单起见,在我们之后的描述中省略副本二字。
[0101.12-0107.36] 通过之前的学习,我们知道,开始的访问速度远高于主存的访问速度,
[0107.36-0111.69] 但是开始的容量却远小于主存容量。
[0112.24-0121.23] 例如,在本例中,主存包含有M乘N个数据夸,但开始只能保存其中N个数据夸。
[0121.23-0126.03] 除数据夸外,每个开始行还包含有一个有效位。
[0126.03-0134.19] 我们知道,在系统启动或复位时,每个开始行都是空的,其中的信息无效。
[0134.19-0138.64] 只有在入了主存中的数据夸后,信息才有效。
[0138.80-0145.20] 为了表明开始行中的信息是否有效,每个开始行需要一个有效位。
[0145.20-0151.44] 将有效位清明,可以淘汰某开始行中的数据夸,成为冲刷。
[0151.44-0156.17] 在入一个新的主存数据夸后,再将有效位置移。
[0156.17-0162.46] 可能很多同学已经发现了,每个开始行都还有一些空前的空间。
[0162.46-0168.76] 当在入主存数据夸时,这些空间用于记录一些相关信息。
[0169.28-0175.04] 包括,主存数据夸地址标记,当数据标志位,淘汰技术,
[0175.04-0178.64] 主存数据夸地址标记,用于地址硬设,
[0178.64-0185.20] 当数据标志位,用于写入策略,淘汰技术,用于替换策略。
[0185.20-0189.76] 由于本节课,我们介绍的是地址硬设的相关知识。
[0189.76-0194.24] 因此,除特别需要,我们可以简单的认为,
[0194.40-0199.84] 这些空前的空间,仅用于记录主存数据夸地址标记。
[0199.84-0202.80] 接下来,请同学们思考一下,
[0202.80-0208.80] 当某个主存数据夸再入开始时,是随意放置在某个开始行呢?
[0208.80-0211.68] 还是应该按照一定的规则放置呢?
[0211.68-0217.44] 我想同学们都能给出正确回答。
[0217.44-0221.92] 那就是,将某个主存数据夸再入开始时,
[0221.92-0225.36] 他们之间应该采用某种硬设规则。
[0225.72-0230.92] 这样,CPU要访问主存中某个数据夸中的某个信息时,
[0230.92-0235.72] 可以据硬设规则到开始对应行中查找信息,
[0235.72-0239.02] 而不用在整个开始中查找。
[0239.02-0244.17] 本节课,我们就给同学们介绍地址硬设的其中一种规则,
[0244.17-0248.70] 即直接硬设,或称为直接硬设方式。
[0248.70-0250.54] 直接硬设方式规定,
[0250.54-0255.07] 每个主存数据夸硬设到开始中的一个固定行。
[0255.23-0262.33] 例如,主存数据夸硬,只能硬设,或者说再入到开始的第0行。
[0262.33-0268.09] 主存数据夸1,只能再入到开始的第1行,以此类推。
[0268.09-0273.60] 主存数据夸 bn-1,只能再入到开始的第n-1行。
[0273.60-0279.44] 例如,主存数据夸 bn,只能再入到开始的第0行。
[0279.44-0284.32] 主存数据夸 bn-1,只能再入到开始的第1行。
[0284.48-0291.16] 以此类推,主存数据夸 bn-1,只能再入到开始的第n-1行。
[0291.16-0294.36] 我想同学们不能发现,对于本地,
[0294.36-0299.88] 主存中的最后这N个数据夸也会分别硬设到相应的开始行,
[0299.88-0302.08] 我们就不在这一输了。
