[0003.18-0007.34] 同学们好,欢迎大家来到我的计算机组成原理维克堂。
[0007.34-0012.46] 在前两次课中,我们给同学们介绍了多种操作术群职方式,
[0012.46-0017.74] 并且也请同学们对这些操作术群职方式进行的总结,
[0017.74-0022.78] 为了加深同学们对这些操作术群职方式的理解和记忆。
[0022.78-0026.14] 本节课,我们安排了相应的习题课。
[0026.14-0031.18] 每道习题都是来自历年408考研整体的选择题部分。
[0031.42-0034.94] 在同学们挑战这些408考研整体之前,
[0034.94-0047.02] 请大家再次复习一遍,该表格中总结出的各种操作术群职方式规则和特点。
[0047.02-0051.50] 好的,首先请同学们挑战2009年的题16。
[0051.50-0057.26] 请同学们暂停播放视频,动手练习一下,然后给出你的答案。
[0057.26-0066.51] 本题的答案是选项C,大家都选对了吗?
[0066.67-0068.59] 我们来一起分析一下。
[0068.59-0071.23] 如读所示,这是主存。
[0071.23-0076.59] 这是题目给定的,主存中的某条采用相对选址的转移指令。
[0076.59-0080.19] 这是题目给定的,该指令的主存地址。
[0080.19-0085.78] 根据题目给定的,机器自长为16位,主存按字节编织。
[0085.78-0093.46] 该转移指令由两个字节组成等条件,就可以知道该指令的下一条指令的主存地址。
[0093.70-0099.57] 由于我们对这条指令并不关心,因此用移创新号来表示。
[0099.57-0107.01] 假设,该主存单元的地址,就是题目要求我们给出的,转移指令成熟转移后的目标地址。
[0107.01-0113.17] 而该主存单元的内容与本题无关,因此用移创新号来表示。
[0113.17-0122.16] 假设程序技术器PC的当前值,就是该转移指令的主存地址,可简称为PC指向该转移指令。
[0122.32-0132.69] 以便对该指令进行取指,在取指完成号,PC的内容会自动加上指令自长两字节,进而指向下一条指令。
[0132.69-0143.73] 在对之前取到的转移指令一码完成号,就知道了,这是一条相对寻职指令,应该将该相对寻职指令中的形式地址自断的值,
[0143.89-0159.57] 也就是题目给定的相对位移量,与PC的当前值相加,当该转移指令执行完成号,PC的当前值,就是题目要求我们给出的该转移指令成熟转移后的目标地址。
[0159.57-0172.62] 结果是16进制数2008,综上所说,本题的答案是选项C,再来挑战2011年的题16,请同学们暂停播放视频,
[0172.78-0186.96] 思考一下,然后给出你的答案,本题的答案是选项A,大家都选对了吗?我们来一起分析一下,
[0187.74-0196.54] 我们在理论课教学中就给同学们总结过,相对寻职,变质寻职,积极寻职,这三种操作数寻指方式,
[0196.86-0211.18] 他们各自计算操作数有效地址的方法是类似的,都是通过将相应计存器的内容,加上指令中的形式地址自断的值,也就是偏移量,可正可负,用补马表示。
[0211.18-0224.90] 因此,这三种操作数寻指方式统称为偏移寻职,对于相对寻指方式,相应的计存器为程序计入器PC,它并不在指令中显示给出。
[0225.44-0239.20] 对于变质寻职方式,相应的计存器为通用计存器组中的某个计存器或专用计存器,成为变质计存器,它在指令中由计存器编号自断的值显示给出。
[0239.20-0253.66] 对于计指寻职方式,相应的计存器为通用计存器组中的某个计存器或专用计存器,成为积指计存器,它在指令中由计存器编号自断的值显示给出。
