[0005.33-0009.57] 同學們好,歡迎大家來到我的計算機組成原理威克堂
[0009.57-0013.25] 在上級課中,我們首先給同學們介紹了
[0013.25-0017.89] 微程序控制器內部,產生下一個微地址的兩種方法
[0017.89-0021.57] 那就是下指自斷法和技術器法
[0021.57-0024.16] 之後,我們給同學們介紹了
[0024.16-0028.32] 如何實現這兩種方法相應的地質轉移邏輯
[0028.32-0033.78] 在此基礎上,本節課,我們給同學們介紹微指令設計
[0034.10-0037.30] 我們仍然以之前在多次課中使用過的
[0037.30-0042.10] 基於CPU內部單總線的數據通路的這幅示意圖
[0042.10-0046.98] 以及Mips32指令集中的這5條典型的指令為例
[0046.98-0051.04] 介紹如何設計相應的微指令的格式
[0051.04-0053.04] 以便我們在下次課中
[0053.04-0058.08] 為這5條典型的Mips32指令設計各自相應的微程序
[0058.08-0061.60] 進而實現這5條指令各自的功能
[0062.21-0067.41] 從基於CPU內部單總線的數據通路的這幅示意圖可以看出
[0067.41-0071.73] 這些都是接收微命令的微操作控制點
[0072.14-0073.90] 需要說明的是
[0073.90-0080.70] 控制指令計存器IR向CPU內部單總線輸出的這個微操作控制點
[0080.70-0083.74] 實際上還應細分為這兩個
[0083.74-0090.16] 其中,一個用於控制指令計存器中的立即數輸出到CPU內部單總線
[0090.38-0095.23] 我們在其名稱中的括號內用大寫字母I表示
[0095.23-0099.31] 另一個用於控制指令計存器中的分支目標立即
[0099.31-0101.87] 輸出到CPU內部單總線
[0101.87-0106.30] 我們在其名稱中的括號內用大寫字母A來表示
[0106.30-0108.91] 之前我們沒有進行細分
[0108.91-0113.39] 目的是盡量降低同學們初學數據通路時的難度
[0113.39-0117.34] 這樣共有22個微操作控制點
[0117.34-0121.31] 這是我們在有關微程序控制器的第一次課
[0121.39-0125.95] 也就是微程序控制器相關基本概念的那些課中
[0125.95-0129.68] 給同學們介紹過的微指令的一般格式
[0129.68-0130.96] 對於本例
[0130.96-0133.76] 微指令格式中的操作控制字段
