[0003.22-0007.82] 同学们好,欢迎大家来到我的计算机组成员里,威克唐。
[0007.82-0011.22] 本节课,我们对存储器进行分类。
[0011.22-0015.62] 随着信息的存储介质和电子元气垫的不断发展,
[0015.62-0020.22] 存储器的功能和结构相应的发生了很大的变化。
[0020.22-0023.22] 先后出现了多种类型的存储器。
[0023.22-0029.22] 大致可以按存储介质、存取方式、可改写性、可保存性,
[0029.22-0033.22] 以及功能和存取速度这几个角度进行分类。
[0033.22-0040.47] 按存储介质分类可分为磁存储器、光存储器、半导体存储器。
[0040.47-0044.47] 磁存储器以磁性材料作为存储介质,
[0044.47-0049.47] 利用磁化单元的不同磁化方向来存储二进致比特林和一。
[0049.47-0056.60] 主要包括如下图所示的磁芯存储器、磁带存储器、磁盘存储器。
[0056.60-0058.60] 磁芯存储器很早就被淘汰了。
[0058.60-0061.60] 现在很多动手能力强的硬夹爱好者,
[0061.60-0064.60] 试图自己构建一个磁芯存储器。
[0064.60-0068.60] 有兴趣的同学可自行搜索相关视频。
[0068.60-0071.92] 软盘存储器属于磁盘存储器,
[0071.92-0075.92] 在我国二十世纪九十年代被广泛应用。
[0075.92-0083.92] 常用的五寸软盘和三寸软盘的最大容量分别为1.2兆字节和1.44兆字节。
[0084.92-0087.92] 我还记得大概在1993年左右,
[0087.92-0091.92] 给自己的计算机安装Windows 3.1操作系统,
[0091.92-0093.92] 一共有六张安装盘,
[0093.92-0095.92] 安装过程非常缓慢,
[0095.92-0099.98] 主要是因为软盘的读写速度都很慢。
[0099.98-0101.98] 进入二十一世纪后,
[0101.98-0106.98] 随着U盘、DVD光盘等大容量、高速率存储器的流行,
[0106.98-0109.98] 软盘的使用频率大肆下降了,
[0109.98-0112.98] 最终在2009年被彻底淘汰。
[0112.98-0117.02] 目前,主流的磁盘存储器是机械硬盘,
[0117.02-0121.02] 相信同学们对这种磁盘存储器并不陌生。
[0121.02-0126.02] 我在1993年拥有了自己的第一台计算机,
[0126.02-0128.02] 当时配置的机械硬盘,
[0128.02-0131.02] 其容量只有40兆字节,
[0131.02-0133.02] 而2024年,
[0133.02-0135.02] 主流机械硬盘的容量,
[0135.02-0138.02] 至少都是4T字节容量起步。
[0138.02-0141.02] 比我当时使用的40兆字节的机械硬盘,
[0141.02-0143.02] 容量提高了10万倍,
[0143.02-0147.21] 相应的读写速度也有极大的提高。
[0147.21-0150.21] 实际上,随着半导体存储器的发展,
[0150.21-0153.21] 固态硬盘的应用近几年已经普及。
[0153.21-0156.21] 由于它的读写速度远高于机械硬盘,
[0156.21-0160.21] 但功耗却远低于机械硬盘,
[0160.21-0162.21] 并且不怕震动,
[0162.21-0165.21] 价格也比机械硬盘贵不了太多了。
[0165.21-0170.21] 因此,目前笔记本电脑已经不再使用机械硬盘,
[0170.21-0172.21] 而仅使用固态硬盘。
[0172.21-0176.21] 而台式电脑中,系统盘采用固态硬盘,
[0176.21-0179.21] 资料盘仍有用户采用机械硬盘。
[0179.21-0181.30] 请同学们注意,
[0181.30-0184.30] 机械硬盘属于磁存储器,
[0184.30-0187.30] 固态硬盘属于半导体存储器,
