[0003.47-0007.79] 同学们好,欢迎大家来到我的计算机组成原理威克唐
[0007.79-0012.39] 本节课,我们简单介绍一下运算器的相关知识
[0012.39-0018.71] 通过对本章中,一位运算,定点加减法运算和乘出法运算
[0018.71-0023.23] 伏点加减法运算和乘出法运算的学习,我们知道
[0023.23-0031.79] 计算机中的各类算数运算,实际上都可以利用基本的定点加法运算和一位运算来实现
[0032.10-0041.14] 将实现加法运算、一位运算、逻辑运算以及各种算数运算所需的数组逻辑电路集成在一起
[0041.14-0044.42] 就可以构成CPU中的运算器
[0044.42-0053.18] 运算器一般分为以下两种,一种是定点运算器,另一种是伏点运算器
[0053.18-0057.92] 定点运算器以算数逻辑单元AlU为核心
[0058.08-0063.44] 可以进行定点数的一位运算、算数运算以及逻辑运算
[0063.44-0071.22] 伏点运算器以伏点运算单元FPU为核心,负责进行伏点数的算数运算
[0071.22-0077.54] 经过之前的学习,我们知道伏点运算比定点运算复杂得多
[0077.54-0082.18] 因此,实现伏点运算的逻辑电路也比较复杂
[0082.18-0087.06] 早期,将其实现电路集成在一个单独的芯片中
[0087.25-0092.13] 我还记得1992年底,我拥有了自己的第一台计算机
[0092.13-0096.69] CPU为386SX,它焊接在主板上
[0096.69-0103.01] 当时主板上还有一个方形的空插座,就是用来安装伏点运算器的
[0103.01-0108.69] 成为387SX协处理器,根据应用需求可以选装
[0108.69-0113.63] 而目前,伏点运算器大多集成在CPU内部
[0114.10-0117.78] 接下来,我们举例说明,定点运算器的核心
[0117.78-0120.82] 也就是算数逻辑单元ALU
[0120.82-0126.18] 而伏点运算单元FPU的内容,已超出本课程的教学大纲
[0126.18-0130.22] 有兴趣的同学,可以自行查阅相关资料
[0130.22-0138.78] 如读所示,这是一个能够完成与或加法共三种运算的一位ALU
[0139.01-0147.10] 因此,与门或门一位全家器是其重要组成部分
[0147.10-0151.95] 另外,多路选择器用以选择输出运算结果
[0152.05-0159.44] 当给该ALU输入信号,也就是两个操作数A和B,以及近位输入C
[0159.44-0164.64] 与门或门以及一位全家器是并行运行的
[0164.86-0170.26] 他们的运算结果,分别送入到多路选择器的相应输入端
[0170.26-0177.79] 多路选择器在操作控制端ALUOP的控制下,选择相应的运算结果输出
[0177.79-0185.73] 例如,ALUOP输入0010,与运算结果从多路选择器输出
[0185.73-0193.10] ALUOP输入0110,或运算结果从多路选择器输出
[0193.26-0201.30] ALUOP输入1010,一位全家器的合数从多路选择器输出
[0201.30-0207.46] 我们可用符号来表示该ALU,以屏蔽其内部组成细节
[0207.46-0216.08] 再来看第2,也就是用N个我们之前刚刚介绍的一位ALU来构建N位ALU
[0216.08-0223.09] 如都所示,可能很多同学已经发现了
[0223.09-0226.29] ALU之间的这种串形连接方式
[0226.37-0233.81] 我们在之前的串形进位加法器的印加尔逻辑实现的纳结课中就已经学习过了
[0233.81-0241.65] 没错,ALU之间的这种串形连接,实际上就是将各ALU内部的一位全家器
[0241.65-0244.77] 按照串形进位加法器进行连接的
[0244.77-0249.07] 相信同学们都可以看懂,我们就不再坠述了
[0249.07-0256.42] 我们用该符号来表示这个N位ALU,以屏蔽其内部组成细节
[0256.58-0262.10] ALU的输出,除运算结果外,还包括若干状态标志位
[0262.10-0265.14] 常见的状态标志位如下所示
[0265.14-0269.89] VF标志位为1时,表示运算结果为0
[0269.89-0274.53] OF标志位为1时,表示有符号运算一出
[0274.53-0279.09] SF标志位为1时,表示运算结果为-
[0279.09-0283.25] CF标志位用于表示加法净位输出
[0283.25-0287.92] 减法借位输出或逻辑左移操作的一出位
[0287.92-0295.18] 请同学们注意,不同计算机利用这些标志的方法和时机可能不同
[0295.28-0300.80] 很多计算机将这些标志位暂存在一个状态计存器中
[0300.80-0303.68] 为后续指令提供执行依据
[0303.68-0307.28] 例如X86的EFLAX计存器
[0307.28-0314.08] X86中的条件分支指令会根据标志位的不同进行不同的操作
[0314.24-0318.16] 但是也有一些计算机没有状态计存器
[0318.16-0321.12] 例如MIF、RISC-5
[0321.12-0327.63] 其条件分支指令直接根据ALU当前状态标志位执行不同的分支
[0327.63-0333.23] 需要说明的是,定点运算器中除了核心ALU外
[0333.23-0338.11] 还包含有通用计存器组、缓冲计存器等功能部件
[0338.11-0341.79] 它们之间需要内部总线进行连接
[0341.95-0346.35] 我们会在后续总线系统那一张进行介绍
[0346.35-0350.03] 好的,本节课到这里就结束了
[0350.03-0354.75] 请同学们快速回忆一下本节课的主要内容
[0354.75-0365.68] 同学们,我们下节课见!
