[0003.47-0007.79] 同学们好,欢迎大家来到我的计算机组成员里威克唐
[0007.79-0011.83] 本节课,我们介绍HP-E754辅典数标准
[0011.83-0016.95] 在前两次课中,我们介绍了辅典数的表示形式和表示范围
[0016.95-0019.35] 以及辅典数规格化的问题
[0019.35-0023.51] 可能有的同学已经发现了,辅典数的上述表示形式
[0023.51-0029.67] 既没有规定接码和伪数的位数,也没有规定接码和伪数采用的机器码形式
[0029.67-0032.83] 也就是圆码、反码、补码和移码
[0033.22-0039.02] 实际上,直到20世纪80年代初,辅典数表示形式还没有统一标准
[0039.02-0043.14] 不同厂商、计算机内部辅典数表示形式可能不同
[0043.14-0045.94] 这就导致了不同体系结构的计算机之间
[0045.94-0051.30] 进行数据传送或程序移植时,必须进行数据格式转换
[0051.30-0055.26] 并且数据格式转换还会带来运算结果的不一致
[0055.26-0059.02] 因此,美国电器及电子工程师协会
[0059.02-0062.06] 其英文缩写词为HP-E
[0064.50-0069.34] 于1985年,发布了辅典数标准HP-E754
[0069.34-0075.46] 目前,几乎所有的计算机都采用HP-E754标准表示辅典数
[0075.46-0080.18] HP-E754标准主要包括两种基本的辅典数格式
[0080.18-0085.22] 一种是32位单经度辅典数,对应C元中的Float型
[0085.22-0090.10] 另一种是64位双经度辅典数,对应C元中的Double型
[0090.30-0095.82] 这两种辅典数格式均有符号,接码,以及尾数三部分构成
[0095.82-0101.50] 32位单经度辅典数有32位,也就是32个比特构成
[0101.50-0106.94] 64位双经度辅典数有64位,也就是64个比特构成
[0106.94-0112.98] 我们将它们各自的位边号标准出来,以展示它们各自的D位和高位
[0112.98-0116.88] 上述两种辅典数格式中的符号都占一位
[0117.08-0121.24] 而32位单经度辅典数格式中的接码占8位
[0121.24-0125.48] 64位双经度辅典数格式中的接码占11位
[0125.48-0129.72] 32位单经度辅典数格式中的尾数占23位
[0129.72-0134.15] 64位双经度辅典数格式中的尾数占52位
[0134.15-0138.47] 其中符号位用来表示辅典数的正副
[0138.47-0142.31] 许之零表示正数,许之一表示副数
[0142.31-0147.02] 接码为定点整数,用移码表示
[0147.10-0152.32] 尾数为定点小数,用圆码表示
[0152.32-0155.80] 下面,我们以32位单经度辅典数为例
[0155.80-0159.78] 介绍HRE754单经度辅典数标准
[0159.78-0164.78] 这是我们刚刚介绍过的HRE754单经度辅典数的格式
[0164.78-0168.74] 由于其接码为定点整数,用移码表示
[0168.74-0173.06] 因此,我们有必要先来复习一下之前学习过的移码
[0173.06-0177.58] 这是我们之前在移码拉解课中介绍过的主要内容
[0177.58-0181.74] 移码就是在帧值上加一个常数二的N次方
[0181.74-0186.02] 这样,在数轴上,移码所表示的范围对应于
[0186.02-0189.18] 帧值在数轴上的范围向轴的正方向
[0189.18-0193.23] 移动二的N次方的单元,如图所示
[0193.23-0197.79] 请同学们注意,移码只用于定点整数的表示
[0197.79-0203.79] 而HRE754单经度辅典数和双经度辅典数的接码为定点整数
[0203.79-0206.42] 因此,可以用移码表示
[0206.58-0210.46] 从移码的编码规则可以得出移码的定义
[0210.46-0213.58] 假设真至X为定点整数
[0213.58-0218.86] N为X的移码表示中,数值位的位数,也就是比特数量
[0218.86-0224.40] 则X的移码等于X加上偏一常数二的N次方
[0224.40-0227.49] 这是X的取值范围
[0227.49-0232.69] 这是我们之前在移码拉解课中得出的计算机自常为四位十
[0232.69-0235.65] 原码反码补码移码的对比图
[0235.65-0241.14] 我们来看看如何通过移码的定义式得出真至X的移码
[0241.14-0244.18] 由于本地中,计算机的自常为四位
[0244.18-0246.26] 因此,移码为四位
[0246.26-0250.35] 真至X的移码表示中,数值位的位数N为3
[0250.35-0256.62] 这样,我们将移码的定义式以及真至X的取值范围中的N替换为3
[0256.62-0261.58] 则0的移码等于0加上偏一常数二的三次方
[0261.66-0263.50] 得到十净值数8
[0263.50-0266.14] 相应的二净值数为100
[0266.14-0271.42] 这就是在数轴上,我们给出真至0的移码为100的原因
[0271.42-0275.74] 1的移码等于1加上偏一常数二的三次方
[0275.74-0277.50] 得到十净值数9
[0277.50-0280.06] 相应的二净值数为1001
[0280.06-0285.18] 这就是在数轴上,我们给出真至1的移码为1001的原因
[0285.18-0288.62] 相信同学们可以自行得出以下真值的移码
[0288.62-0290.46] 我们就不在这数了
[0290.54-0294.54] 根据这个例子,我们当时还得出了移码的优点
[0294.54-0298.38] 一个是真至0在移码中的表示是唯一的
[0298.38-0302.06] 另一个是,移码保持了真值原有的大小顺序
[0302.06-0303.98] 可以直接比较大小
[0303.98-0307.98] 换句话说,我们可以不考虑移码的符号位
[0307.98-0311.42] 而将移码看作是无符号二净值数
[0311.42-0315.02] 这样,当浮电数的接码用移码来表示时
[0315.02-0317.98] 就要等很方便的比较接码的大小
[0318.06-0321.58] 还有一个有点是,最小真值的移码为全0
[0321.58-0323.82] 最大真值的移码为全1
[0323.82-0325.74] 这要符合人们的习惯
[0325.74-0329.26] 在我们又浮现了一遍移码的相关知识的基础上
[0329.26-0332.70] 来看HP1754单净度浮电数的接码
[0332.70-0336.26] 因为它就是用移码来表示的定点整数
[0336.26-0340.10] 由于HP1754单净度浮电数的接码为8位
[0340.10-0343.14] 这相当于接码的真至x的移码表示中
[0343.14-0345.46] 数值位的位数n为7
[0345.54-0350.42] 因此,我们将真至x的移码的定义式中的n替换为7
[0350.42-0354.02] 将真至x的取值范围中的n也替换为7
[0354.02-0357.30] 接下来,我们根据真至x的取值范围
[0357.30-0361.22] 在数轴上画出真至x的各个取值
[0361.22-0363.78] 根据真至x的移码的定义式
[0363.78-0369.22] 我们可以得到真至x的各个取值所对应的移码
[0369.22-0372.66] 然而,在HP1754浮电数标准中
[0372.66-0375.30] 32位单净度浮电数的8位接码
[0375.30-0377.38] 尽管采用移码表示
[0377.38-0382.26] 但采用偏移常数是2的7字方-1等于127
[0382.26-0386.37] 而不是标准移码的2的7字方等于128
[0386.37-0393.01] 因此,我们需要将HP1754单净度浮电数的接码的真至x的移码定义式
[0393.01-0394.77] 进行相应修改
[0394.77-0398.91] 将偏移常数修改为2的7字方-1
[0398.91-0407.65] 进而,我们可以得出HP1754单净度浮电数的接码的真至x的各种取值所对应的移码
[0407.65-0409.49] 仔细对比可以发现
[0409.49-0415.28] 这种移码表示比标准移码表示在数轴上向右移动了一格
[0415.28-0421.68] 例如,原来表示最小真值-128的标准移码00000
[0421.68-0424.91] 现在用来表示真值-127
[0424.91-0428.11] 原来表示真值-127的标准移码
[0428.19-0431.26] 现在用来表示真值-126
[0431.26-0437.10] 原来表示最大真值-127的标准移码111111
[0437.10-0440.98] 现在用来表示最小真值-128
[0440.98-0444.02] 相信很多同学现在会有疑问了
[0444.02-0446.42] 那就是这样做的目的是什么
[0446.42-0453.36] 换句话说,为什么偏移常数不采用标准的128而采用127呢?
[0453.44-0464.24] 这样做的目的是,将8位全1和8位全0这两个接码对应到最小和第二小的两个真值-128和-127
[0464.24-0466.08] 作为特殊用途
[0466.08-0472.48] 而剩余其他8位接码所对应的真值,即-126到-127
[0472.48-0477.34] 用于HV754丹精度辅典数的规格化数的表示
[0477.34-0479.26] 这样做的另一原因是
