[0003.79-0007.63] 同學們好,歡迎大家來到我的計算機組成員裡威克堂
[0007.63-0012.75] 在上集課中,我們給同學們介紹了總線的幾個重要性能指標
[0012.75-0019.47] 其中,總線傳輸週期這個性能指標是指完成一次總線操作所耗費的時間
[0019.47-0023.95] 包括申請、群職、傳輸、結束這四個階段
[0023.95-0030.03] 本節課,我們對由這四個階段構成的總線傳輸過程做進一步的說明
[0030.19-0034.91] 在此集主上,我們還要給同學們介紹總線事務的相關概念
[0034.91-0038.77] 一個總線傳輸過程,從申請階段開始
[0038.77-0044.13] 當主設備需要使用總線進行數據傳輸時,會經歷以下過程
[0044.13-0052.45] 一,傳輸請求,也就是主設備通過控制總線向總線控制器發出總線請求信號
[0052.45-0058.85] 二,總線送財,也就是總線控制器收到一個或多個請求後
[0058.93-0066.85] 根據預設的仲裁規則,決定將下一個總線傳輸週期的總線使用權分配給哪一個請求主設備
[0066.85-0074.78] 三,獲得授權,也就是被授權的主設備收到總線控制器發回的總線許可信號
[0074.78-0077.02] 隨後獲得總線控制權
[0077.02-0081.30] 申請階段成功結束後,就進入群職階段
[0081.30-0087.62] 獲得總線使用權的主設備,按以下步驟,尋指並啟動目標從設備
[0087.89-0097.81] 一,啟動從設備,也就是主設備通過地質總線和控制總線發出目標從設備的地址以及相應的控制命令
[0097.81-0104.98] 二,從設備響應,也就是總線上所有從設備都會接收到地址與命令
[0104.98-0111.78] 與地址相匹配的從設備,會自動響應主設備的命令,準備進行後續的數據傳輸
[0111.78-0116.06] 群職階段成功結束後,就進入傳輸階段
[0116.40-0121.20] 主設備與從設備之間通過數據總線進行數據傳輸
[0121.20-0125.60] 若為寫操作,數據從主設備傳輸到從設備
[0125.60-0130.32] 若為讀操作,數據從從設備傳輸到主設備
[0130.32-0136.22] 一般情況下,一個總線傳輸週期只能傳輸一個總線寬度的數據
[0136.22-0140.78] 這裡的一般情況是指,非DDR,非突發模式
[0141.02-0146.14] 其中,雙倍數據率DDR,我們在上節課已給同學們介紹過了
[0146.14-0150.78] 而突發模式,會稍後在本節課中給同學們介紹
[0150.78-0156.54] 傳輸階段成功結束後,就進入結束階段,包含以下步驟
[0156.54-0163.26] 一,撤銷請求,也就是主設備撤銷總線請求,釋放總線控制權
[0163.26-0168.70] 這包括停止驅動地址總線,數據總線,以及控制總線
[0168.78-0172.94] 時期回歸高組狀態,不理解高組狀態的同學
[0172.94-0176.38] 可簡單認為,主設備不再影響這些總線
[0176.38-0183.84] 二,控制權交還,也就是總線控制器檢測到主設備已釋放總線
[0183.84-0188.32] 隨即收回總線控制權,從而可以根據新的總線請求
[0188.32-0191.68] 重新進行仲裁,並分配總線使用權
[0191.68-0194.48] 開啟下一個總線傳輸週期
[0194.48-0198.05] 在同學們對總線傳輸過程中的四個階段
[0198.13-0202.77] 有了進一步的了解號,我們給同學們介紹什麼是總線事務
[0202.77-0207.12] 總線事務通常是指,總線上的一段主從設備之間
[0207.12-0209.60] 完成一次信息交換的過程
[0209.60-0213.90] 總線事務的類型,一般暗期操作性質進行劃分
