[0003.25-0007.57] 同学们好,欢迎大家来到我的计算机组成员里维克堂
[0007.57-0011.57] 从本节课开始,我们进入第四章的学习
[0011.57-0014.33] 第四章的内容是存储系统
[0014.33-0018.13] 本节课,我们对存储器进行概述
[0018.38-0020.78] 不知同学们是否还记得
[0020.78-0024.14] 我们在第一章中就给同学们介绍过的
[0024.14-0027.74] 现代计算机是以存储器为中心
[0027.74-0032.54] 它是计算机中存放指令和数据的主要部件
[0032.99-0037.15] 存储器的容量越大,能存储的信息就越多
[0037.15-0039.78] 提高存储系统的访问速度
[0039.78-0043.97] 是提高计算机处理信息速度的重要措施
[0043.97-0048.53] 请同学们注意,存储器与存储系统的区别
[0048.53-0054.05] 在一个计算机系统中,往往包含有多种类型的存储器
[0054.05-0057.89] 这些存储器就构成了存储系统
[0058.38-0064.30] 综上所说,开发具有大容量、高速度和低成本的存储系统
[0064.30-0068.26] 是计算机技术发展的关键目标之一
[0068.26-0071.94] 在第一章有关计算机硬件的那节课中
[0071.94-0073.94] 我们给同学们介绍过
[0073.94-0081.54] 现代计算机的硬件有运算器、控制器、存储器、输入设备、输出设备
[0081.54-0083.68] 这五大部件构成
[0083.68-0087.76] 其中存储器要分为主存储器
[0087.84-0090.10] 它属于主机部分
[0090.10-0091.62] 辅助存储器
[0091.62-0094.00] 它属于外部设备
[0094.00-0096.00] 对于计算机
[0096.00-0100.56] 我们常说的内存,实际上就属于主存储器
[0100.56-0104.48] 而硬盘就属于辅助存储器
[0104.48-0106.32] 对于智能手机
[0106.32-0109.28] 厂家产品说明中的运行内存
[0109.28-0112.16] 实际上就属于主存储器
[0112.16-0116.99] 而机身内存实际上属于辅助存储器
[0117.07-0121.04] 我想大部分同学都知道以上知识
[0121.04-0123.92] 那么请同学们思考一下
[0123.92-0129.01] 主存储器和辅助存储器各自的作用是什么呢?
[0129.01-0134.82] 主存储器与辅助存储器的访问速度哪个更快呢?
[0134.82-0136.02] 断电号
[0136.02-0141.39] 主存储器和辅助存储器存储的内容会怎样?
[0141.39-0147.07] 主存储器和辅助存储器各自采用的存储介质是什么?
[0147.07-0150.24] 结构又是怎样的呢?
[0150.24-0155.97] 主存储器和辅助存储器各自的存取原理是什么呢?
[0155.97-0158.45] 我想对于前三个问题
[0158.45-0160.61] 很多同学是知道的
[0160.61-0164.53] 并且在购买整机或DIY组装机时
[0164.53-0167.36] 也已经实际应用过了
[0167.36-0170.08] 但是对于后面这两个问题
[0170.08-0173.92] 可能相当一部分同学没有完全搞走
[0173.92-0176.40] 从普通消费者的角度而言
[0176.48-0178.80] 这两个问题没有必要搞懂
[0178.80-0184.56] 或者说这两个问题对于普通消费者而言是透明的
[0184.56-0186.40] 也就是看不见的
[0186.40-0189.04] 当然也无需看见
[0189.04-0192.40] 然而对于计算机相关专业的学生而言
[0192.40-0195.78] 还是有必要搞懂这些问题的
[0195.78-0196.66] 另外
[0196.66-0199.30] 相信很多购买了新机的同学
[0199.30-0201.54] 都会使用一些工具软件
[0201.54-0204.74] 对自己的爱机进行性能测试
[0204.74-0206.59] 跑个分看看
[0206.59-0207.39] 例如
[0207.39-0210.62] 这款CPU测试工具
[0210.62-0214.58] 其中有一项给出了缓存的信息
[0214.58-0215.94] 这里的缓存
[0215.94-0220.34] 实际上是指CPU内部的高速缓冲存储器
[0220.34-0223.34] 也称为高速缓存Cache
[0223.34-0225.10] 那么它的作用
[0225.10-0226.38] 存取速度
[0226.38-0227.66] 存储介质
[0227.66-0228.78] 存取原理
[0228.78-0231.22] 有分别是什么呢?
[0231.22-0234.90] 以上我们提出的各种有关存储器的问题
[0234.90-0238.21] 都会在本章给同学们介绍
[0238.29-0239.73] 主要内容包括
[0239.73-0241.25] 存储器的分类
[0241.25-0243.92] 组成与工作原理
[0243.92-0245.60] 利用存储器芯片
[0245.60-0248.69] 构建主存的基本方法
[0248.69-0249.73] 高速缓存
[0249.73-0253.74] 以及虚拟存储器的工作原理
[0253.74-0254.54] 好的
[0254.54-0257.26] 本节课到这里就结束了
[0257.26-0258.14] 同学们
[0258.14-0259.74] 我们下节课见
