[0003.22-0007.46] 同学们好,欢迎大家来到我的计算机组成员里维克堂。
[0007.46-0010.82] 在前两次课中,我们给同学们介绍了
[0010.82-0015.22] 开始主存系统中有关地址应设的其中一种方式,
[0015.22-0017.22] 即直接应设方式。
[0017.22-0021.22] 本节课,我们介绍地址应设的另一种方式,
[0021.22-0023.22] 即全项面应设。
[0023.22-0025.41] 全项面应设的规则是,
[0025.41-0032.41] 每个主存数据化都可应设到开始中的任何一个开始行,如读所示。
[0032.41-0036.82] 主存中的数据块零,可以应设到开始的地零行,
[0036.82-0043.82] 也可以应设到开始的第一行,以此类推,还可以应设到开始的最后一行。
[0043.82-0049.02] 同理,主存中的任何一个数据块,例如该数据块,
[0049.02-0053.02] 可以应设到开始中的任何一个开始行。
[0053.02-0060.21] 更进一步地说,新的主存数据块可以再入到开始中的任何一个空行。
[0060.21-0064.37] 只有开始满时,才需要进行数据块替换。
[0064.37-0070.72] 以上两点,与我们之前学习过的直接应设方式是完全不同的。
[0070.72-0074.82] 在同学们了解了全项面应设规则之后,
[0074.82-0080.82] 请同学们思考一下,应该如何描述主存中某个信息的位置呢?
[0080.82-0087.49] 例如,主存中的这个信息,它的位置应该如何描述呢?
[0087.49-0092.49] 实际上,只要知道该信息所在主存数据块的手地址,
[0092.49-0096.62] 以下我们简称主存数据块地址,
[0096.62-0099.62] 以及信息在该数据块内的偏一辆,
[0099.62-0103.81] 就可以精确定位主存中的该信息。
[0103.81-0107.81] 这样,我们就得到了全项面应设方式下,
[0107.81-0111.00] 带访问信息的主存地址的构成。
[0111.00-0116.19] 它由主存数据块地址和数据块内偏一,两部分构成。
[0116.19-0121.19] 这与直接硬设方式下的主存地址的三级结构是不同的。
[0121.19-0127.58] 加设主存数据块的地址占S位,数据块内偏一占W位,
[0127.58-0129.58] 主存按字节编制。
[0129.58-0135.58] 这样,我们就可以得出,主存数据块的数量为2的S四方个,
[0135.58-0139.58] 每个主存数据块的大小为2的W四方字节,
[0139.58-0144.58] 因此,主存容量为主存数据块的数量2的S四方,
[0144.58-0148.58] 乘以一个主存数据块的大小,2的W四方字节,
[0148.58-0152.90] 等于2的S加W四方字节。
[0152.90-0154.90] 在全项面应设方式下,
[0154.90-0158.90] 在不考虑用于写入策略的当数据标志位,
[0158.90-0162.90] 用于替换策略的淘汰技术等信息的情况下,
[0162.90-0171.17] 每个开始行中的这部分空间仅用于存放主存数据块地址。
[0171.17-0174.17] 这与直接硬设方式是不同的。
[0174.17-0179.17] 直接硬设方式下,这部分空间用于存放主存分区号,
[0179.17-0184.49] 而全项面硬设方式下没有主存分区这个概念。
[0184.49-0187.49] 这样,我们还可以计算出开始的容量。
[0187.49-0193.58] 其中,一个有效位,加上主存数据块地址S位,
[0193.58-0197.58] 加上一个数据块的容量,2的W四方乘以8位,
[0197.58-0200.65] 这是一个开始行的容量。
[0200.65-0206.00] N就是由N个这样的开始行,组成的开始的总容量。
[0206.00-0210.00] 现在,我们已经得出了全项面硬设方式下,
[0210.00-0213.03] 带访的信息的主存地址的构成,
[0213.03-0216.03] 通过带访的信息的主存地址,
[0216.03-0220.03] 不但可以在主存中精确定位该信息的位置,
[0220.03-0224.29] 还应该可以在开始中快速查找该信息。
[0224.29-0226.29] 请同学们思考一下,
[0226.29-0229.29] 应该如何根据信息的主存地址,
[0229.29-0234.43] 在开始中进行快速查找呢?
[0234.43-0237.43] 由于本地中的开始包含有N行,
[0237.43-0241.43] 因此,可以采用N路并发比较,
[0241.43-0244.43] 也就是将带访的信息的主存地址中的
[0244.43-0247.43] 主存数据块地址部分的值,
[0247.43-0249.43] 同时与各开始行中的
[0249.43-0252.62] 主存数据块地址的值进行比较,
[0252.62-0255.62] 并且将各开始行中的有效位的值,
[0255.62-0259.04] 同时与1进行比较。
[0259.04-0262.04] 如果上述两个比较都匹配,
[0262.04-0264.07] 则数据命中,
[0264.07-0266.07] 若进行的是独操作,
[0266.07-0269.07] 则输出相应开始行数据块副本中,
[0269.07-0272.14] 块内偏移触的信息,
[0272.14-0274.14] 若进行的是写操作,
[0274.14-0275.14] 则写出数据,
[0275.14-0278.36] 同时将当数据标志位置移。
[0278.36-0280.36] 接下来,我们举例说明,
[0280.36-0283.36] 全相连硬设的硬件逻辑实现,
[0283.36-0285.81] 如同所示,
[0285.81-0287.81] 这是一个包含有4个太长的,
[0287.81-0290.81] 全相连硬设方式的硬件逻辑实现,
[0290.81-0294.00] 这是各开始行中的有效位,
[0294.00-0296.00] 用英文valid表示,
[0296.00-0299.16] 它们各自作为并发比较器的输入,
[0299.16-0302.16] 同时与1进行比较。
[0302.16-0305.77] 这是各开始行中的标记字段,
[0305.77-0307.93] 用英文太个表示,
[0307.93-0309.93] 在全相连硬设方式中,
[0309.93-0311.93] 太个实际上对应的是
[0311.93-0316.06] 主存地址中的主存数据块地址部分,
[0316.06-0318.06] 而在直接硬设方式中,
[0318.06-0321.06] 太个对应的是主存地址中的
[0321.06-0323.09] 主存分区号部分,
[0323.09-0325.09] 而全相连硬设方式中,
[0325.09-0327.47] 没有主存分区号的概念。
[0327.47-0329.47] 各开始行中的太子,
[0329.47-0331.47] 各自作为并发比较器的输入,
[0331.47-0333.47] 同时与主存地址中的
[0333.47-0336.47] 主存数据块地址部分进行比较。
[0336.47-0338.82] 这是并发比较器,
[0338.82-0340.82] 根据比较结果输出的,
[0340.82-0343.89] 相应的开始行选通信号,
[0343.89-0345.89] 用于选通某个开始行,
[0345.89-0347.98] 请同胸注意,
[0347.98-0351.98] 同一时刻,只可能有一路信号为有效信号,
[0351.98-0354.98] 也就是只可能选通一个开始行,
[0354.98-0357.14] 各开始行的选通信号,
[0357.14-0361.27] 还用于控制各开始行自己的三太门,
[0361.27-0363.27] 当某个开始行被选通,
[0363.27-0366.27] 该开始行的三太门被控制打开,
[0366.27-0369.34] 因此,该开始行中的
[0369.34-0372.34] 数换数本缓冲区中的内容,
[0372.34-0376.56] 通过三太门传送到自选择器的输入端,
[0376.56-0379.56] 需要说明的是,为了简单起见,
[0379.56-0382.56] 假设本利中数换数本缓冲区中,
[0382.56-0384.56] 可以保存四个存储字,
[0384.56-0387.56] 计为W0到W3,
[0387.56-0390.56] 一个存储字可以由一字节构成,
[0390.56-0394.56] 也可以由两个四个或八个字节构成,
[0394.56-0396.88] 依此类推。
[0396.88-0397.88] 为了方便描述,
[0397.88-0399.88] 我们以存储字为单位,
[0399.88-0402.88] 而不用字节单位或比特单位,
[0402.88-0406.07] 并发比较器根据比较结果,
[0406.07-0409.07] 不但输出开始选冲信号,
[0409.07-0411.14] 还会输出命中信号,
[0411.14-0414.14] 命中信号除了向外提供冲之外,
[0414.14-0417.14] 还会对内部自选择器的输出使能OE
[0417.14-0418.14] 进行控制,
[0418.14-0421.49] 主存地址中的块内偏移部分,
[0421.49-0423.49] 用于控制自选择器,
[0423.49-0427.49] 将自己的哪个数据输入端的信号进行输出。
[0427.49-0431.49] 在本利中,自选择器有四个数据输入端,
[0431.49-0435.49] 分别用于输入被选冲开始行中的,
[0435.49-0439.68] 数据块数等缓冲区中的四个存储字。
[0439.68-0441.68] 因此,本利中,
[0441.68-0445.68] 主存地址中的块内偏移部分占两位,
[0445.68-0448.68] 因为二的二次方共有四个组合,
[0448.68-0451.68] 每个组合用来指示输出
[0451.68-0454.87] 四个存储字中的相应一个。
[0454.87-0455.87] 接下来,
[0455.87-0457.87] 我们通过几次访问过程的举例,
