[0003.18-0007.34] 同学们好,欢迎大家来到我的计算机组成员里维克堂。
[0007.34-0014.34] 在上节课中,我们给同学们介绍了指令的一般格式,以及什么是指令字长。
[0014.34-0020.90] 同学们已经知道了,指令一般由操作码自断和地址码自断两部分构成。
[0020.90-0028.94] 本节课,我们对指令中的地址码自断做进一步介绍,如读所示,这是指令的一般格式。
[0028.94-0038.38] 根据指令类型和寻指方式,地址码自断中的内容可能是操作书本身,也可能是操作书的地址,
[0038.38-0048.22] 包括操作书所在的主存地址、计算器编号、外部设备端口的地址,用于计算地址的偏一辆。
[0048.79-0062.42] 按照指令的地址码自断中所包含的操作书地址数量,指令可分为三地址指令,二地址指令,一地址指令,零地址指令。
[0062.42-0075.10] 我们首先来看三地址指令。三地址指令的地址码自断包含有三个地址码,前两个是原操作书的地址,第三个是目的操作书的地址。
[0075.54-0091.54] 三地址指令所执行的操作,可以用下面的表达式来表达。这是原操作书一,将原操作书一的地址A1用跨号扩起来,表示地址A1中所存放的内容,也就是原操作书一。
[0091.54-0099.58] 这种表示方法,我们在第一章中有关计算机基本工作原理的那些课中就给同学们介绍过了。
[0100.05-0112.48] 从里,这是原操作书二。操作码OP指定原操作书一与原操作书二所要执行的操作,而操作结果,成为目的操作书。
[0112.48-0122.39] 这是存放目的操作书的地址。由于三地址指令中,参与运算的有两个操作书,因此成为双目运算。
[0122.99-0141.37] 我们来进一步举例说明,三地址指令,假设三地址指令的操作码字段为八位,地址码字段中三个地址码也各为八位,则指令字长为三十二位,而操作书的寻止范围为二的八字方等于二百五十六。
[0142.06-0150.18] 不难看出,如果操作书的寻止范围更大,则需要地址码的位数就会更大,指令就会更长。
[0150.18-0158.10] 因此,三地址指令的地址码字段中的三个地址码,全部用于存储单元地址的情况并不多见。
[0158.50-0165.93] 缴维常见的是全部为寄存器,例如密普斯的指令,这样可以减少指令常做。
[0166.79-0175.46] 再来看二地址指令,二地址指令的地址码字段包含有两个地址码,分别是两个原操作书的地址。
[0176.23-0184.83] 其中,第一个地址码还作为目的操作书的地址,二地址指令所执行的操作可由下面的表达式来表达。
[0185.78-0195.94] 这是原操作书一,这是原操作书二,操作码OP,指令原操作书一与原操作书二所要执行的操作。
[0196.95-0202.39] 这是存放目的操作书的地址,也是运算前存放原操作书一的地址。
[0203.15-0207.15] 不能看出,二地址指令同样是为双目运算类设计的。
[0207.94-0218.94] 这一点与三地址指令是相同的,但是二地址指令为了压缩指令自查,将运算结果直接存放到原操作书一的地址中。
[0219.65-0228.61] 根据二地址指令的地址码字段中的两个地址码所指向的数据存储位置的不同,二地址指令又可分为三种类型。
[0229.25-0234.21] 分别是,原操作书和目的操作书都存放在存存器中。
[0235.41-0240.69] 原操作书和目的操作书分别存放在存存器和存存器中。
[0241.92-0245.76] 原操作书和目的操作书都存放在存存器中。
[0246.93-0250.53] 需要说明的是,这里的存存器是指主存。
[0251.28-0255.12] 我们知道,主存的访问速度比存存器慢得多。
[0255.84-0260.00] 因此,这是三种类型,二地址指令访问速度的对比。
[0261.14-0269.14] 在英特尔X86系列计算机中,主要采用计存器、计存器型指令和计存器存存器型指令。
[0270.03-0274.59] 而在MIFS计算机中,主要采用计存器、计存器型指令。
[0275.89-0277.33] 再来看一地址指令。
[0278.18-0281.78] 一地址指令的地址码字段仅包含有一个地址码。
[0282.50-0288.66] 一种情况是,该地址码既作为原操作书的地址,也作为目的操作书的地址。
[0289.46-0294.90] 这种情况下,一地址指令所执行的操作可由下面的表达式来表达。
[0295.84-0297.12] 这是原操作书。
[0298.22-0301.90] 操作码OP指定原操作书所要执行的操作。
[0302.99-0308.59] 这是存放目的操作书的地址,也是运算前存放原操作书的地址。
[0309.66-0316.26] 很显然,这种情况下,一地址指令为单目运算,例如逻辑求反操作。
[0317.26-0323.66] 再来看一地址指令的另一种情况,也就是地址码仅作为原操作书的地址。
[0324.54-0329.98] 这种情况下,一地址指令所执行的操作可由下面的表达式来表达。
[0331.10-0332.30] 这是原操作书。
[0333.57-0337.17] 操作码OP指定原操作书所要执行的操作。
[0338.26-0344.74] 这是由操作码OP约定的,引含于CPU内相应计存器中的另一个原操作书。
[0345.63-0348.99] 本地得出的是X86架构中的AL计存器。
[0349.97-0352.21] 这是存放目的操作书的计存器。
[0352.77-0358.37] 它也是由操作码OP约定的,引含于CPU内的相应计存器。
[0359.07-0362.67] 本地得出的是X86架构中的AL计存器。
[0363.31-0370.67] 不难看出,这种情况下,一地址指令为双密运算,只不过引含了其中一个原操作书。
[0371.42-0376.46] 例如,X86架构中的这条指令,就是双密运算的一地址指令。
[0377.10-0384.14] 它将AL计存器中的数据与BL计存器中的数据相乘,结果存放在AX计存器中。
[0384.86-0388.70] 其中AL计存器中的原操作书为引含操作书。
[0389.42-0395.58] 中上所说,引含操作书的双密运算进一步缩短了双密运算类指令的程度。
[0396.35-0404.40] 再来看零地址指令,零地址指令只包含操作码字段,而没有地址码字段,分为两类。
[0405.04-0419.89] 一类是指令本身不需要操作书,例如以下X86指令,空指令NOT,等待指令Wait,停止指令HLT,程序返回指令Rat,
[0421.09-0430.72] 另一类是指令需要一个操作书,而该操作书引含于CPU内的某个计存器中,例如以下X86指令,
[0431.66-0442.56] 用于将加法运算结果调整为YASOBCD格式的指令DAA,用于将加法运算结果调整为YASOBCD格式的指令DAA-4。
[0443.76-0449.04] 至此,我们就给同学们介绍了指令中的地址码字段的相关知识。
[0449.04-0475.92] 好的,本节课到这里就结束了,请同学们快速回忆一下本节课的主要内容,同学们,我们下节课见!
