[0003.98-0008.08] 同學們好,歡迎大家來到我的計算機組成原理威克堂
[0008.08-0015.18] 通過前兩次課的學習,同學們已經對指令流水線的相關基本概念和原理有了初步的認識
[0015.18-0022.88] 從本節課開始,我們要用四次課的時間,給同學們介紹流水線的衝突與處理方案的相關知識
[0022.88-0026.18] 首先,我們來看看什麼是流水線衝突
[0026.18-0032.58] 在理想狀態下,流水線的所有階段,也就是功能段,應具有相同的延遲
[0032.58-0035.18] 無資源衝突且相互獨立
[0035.18-0041.88] 進入流水線的所有帶處理對象,都需要通過相同的階段,且不受其它功能段的影響
[0041.88-0047.28] 那麼,這種理想狀態下的流水線一般僅是和工業生產流水線
[0047.28-0053.38] 然而,在計算機指令流水線中,由於指令之間存在複雜的相互依賴
[0053.38-0058.68] 往往無法達到理想狀態,這種依賴關係被稱為指令相關
[0058.88-0063.08] 主要分為結構相關,控制相關,和數據相關三類
[0063.08-0068.48] 結構相關是指,多條指令在同一時鐘週期,爭搶同一操作部件
[0068.48-0070.98] 例如存儲器、計存器
[0070.98-0077.28] 控制相關是指,由分支跳轉指令引起,導致下一條載入流水線的相鄰指令
[0077.28-0080.88] 可能因為分支跳轉,而不能進入執行階段
[0080.88-0086.87] 數據相關是指,當前指令需要用到前續指令尚未產出的數據
[0086.97-0090.04] 導致當前指令無法繼續執行
[0090.04-0094.94] 當上述相關性,導致指令流水線出現阻塞或暫停
[0094.94-0099.54] 下一條指令不能在預期的時鐘週期內進入到流水線中時
[0099.54-0103.24] 便產生了流水線衝突,也稱為冒險
[0103.24-0109.34] 相應的,衝突也分為結構衝突、控制衝突和數據衝突三種類型
[0109.34-0114.04] 本節課呢,我們給同學們介紹,結構衝突及其解決方案
[0114.04-0116.34] 控制衝突及其解決方案
[0116.44-0121.04] 而數據衝突及其解決方案,在後續三節課中進行介紹
[0121.04-0124.27] 首先來看結構衝突及其解決方案
[0124.27-0128.27] 結構衝突是指,多條指令在同一時鐘週期
[0128.27-0132.77] 爭搶同一操作部件引起的衝突,也稱為資源衝突
[0132.77-0138.67] 例如,計算下一個PC值、計算分支目標地址、運算器運算等
[0138.67-0143.77] 都需要使用運算器,因此可以採用增加加法部件的方案
[0143.77-0145.57] 來避免運算衝突
[0145.77-0153.17] 例如,在我們上節課舉例的,由單週期MIPS處理器專用數據通路改造而來的流水線架構中
[0153.17-0158.07] 執行功能段要完成運算任務和計算分支目標地址的任務
[0158.07-0161.57] 因此,除了用ALU完成運算任務外
[0161.57-0166.37] 還需要增加一個獨立的加法部件,來計算分支目標地址
[0166.37-0172.00] 而取指功能段要完成取指令任務和計算下一個PC值的任務
[0172.20-0178.10] 因此,還需要在該功能段中增加一個加法部件,來計算下一個PC值
[0178.10-0182.70] 這樣,在流水線中各功能段並行處理的各條指令
[0182.70-0186.90] 在同一時鐘週期內,就不會爭搶同一運算部件
[0186.90-0192.40] 相應的功能段都有自己獨立的運算部件,進而避免了運算衝突
[0192.40-0197.33] 另外,取指令和訪問數據都需要使用存儲器
[0197.33-0201.03] 可以採用獨立的指令存儲器和數據存儲器
[0201.03-0204.53] 也就是Half結構,來避免仿存衝突
[0204.53-0210.73] 例如在本例中,在指令流水線的取指功能段設置有獨立的指令存儲器
[0210.73-0214.73] 而在仿存功能段設置有獨立的數據存儲器
[0214.73-0220.43] 實際上,在現代CPU中,一級高速貫存通常也採用Half結構
[0220.43-0223.73] 也就是指令開始和數據開始分離
[0223.73-0228.83] 需要說明的是,解決取指令和訪問數據這種結構衝突
[0228.83-0232.23] 還有另一種方案,可比喻為插入氣泡
[0232.23-0236.73] 也就是停頓流水線一個時鐘週期,來延緩取指令
[0236.73-0240.23] 但是,這樣就會造成流水線性能損失
[0240.23-0242.63] 因此,往往不採用這種方案
[0242.63-0246.53] 而採用指令存儲器和數據存儲器分離的方案
[0246.53-0251.99] 而稍後要介紹的控制衝突,其基本的解決方案就是插入氣泡
[0251.99-0255.29] 另外,可能有的同學會產生這樣的疑問
[0255.29-0259.69] 那就是,一馬功能段會對計存器組進行獨操作
[0259.69-0263.49] 而寫回功能段會對計存器組進行寫操作
[0263.49-0265.49] 這也是一種結構衝突啊
[0265.49-0270.89] 但是,為什麼沒有設置多個計存器組來解決這種結構衝突呢?
[0270.89-0276.57] 這是因為,密布斯計存器組的讀寫邏輯完全獨立
[0276.57-0281.37] 讀寫地址和數據都是通過不同的端口進入計存器組
[0281.37-0284.47] 因此,讀寫操作可並發進行
[0284.47-0286.87] 實際上並不存在結構衝突
[0286.87-0293.77] 例如,這兩個輸入端口,用於輸入要讀取的RS計存器和RT計存器的編號
[0293.77-0298.27] 而這個輸入端口,用於輸入要寫入的計存器的編號
[0298.27-0305.93] 這兩個輸出端口,用於輸出從給令編號的RS計存器和RT計存器讀取到的內容
[0305.93-0311.33] 而這個輸入端口,用於輸入帶寫入到給令編號的計存器的內容
