[0002.96-0007.36] 同学们好,欢迎大家来到我的计算机组成原理,微课堂。
[0007.36-0011.96] 本节课,我们介绍辅典除法运算的相关知识。
[0011.96-0015.62] 假设X和Y是两个辅典数,
[0015.62-0019.52] EX和EY分别是它们各自的接码,
[0019.52-0023.91] MX和MY分别是它们各自的尾数,
[0023.91-0028.21] 则X和Y各自可表示为以下形式,
[0028.21-0033.26] 因此X除以外可得如下形式,
[0034.51-0037.71] 不难看出,两个辅典数的除法运算,
[0037.71-0041.41] 实际上需要将它们各自的接码相见,
[0041.41-0043.54] 尾数相除,
[0043.54-0047.64] 尾数相除才用定点小数除法,
[0047.64-0049.31] 这就需要确保,
[0049.31-0053.31] 背除数X的尾数MX的绝对值,
[0053.31-0057.21] 小于除数Y的尾数MY的绝对值,
[0057.21-0059.97] 否则需要做相应调整,
[0059.97-0065.58] 尾数相处的结果可能需要规格化和手足处理,
[0065.78-0069.78] 接码相见才用定点整数前法运算,
[0069.78-0074.46] 当两个接码一号时可能会发生一出,
[0074.46-0075.76] 综上所说,
[0075.76-0079.55] 辅典除法运算包含以下四个步骤,
[0079.55-0082.67] 步骤一,尾数调整,
[0082.67-0085.46] 步骤二,接码相见,
[0085.46-0088.32] 步骤三,尾数相除,
[0088.32-0092.01] 步骤四,规格化和手足,
[0092.01-0094.21] 在执行步骤一时,
[0094.21-0096.71] 如果发现背除数X的尾数,
[0096.81-0098.81] MX的绝对值,
[0098.81-0103.01] 大于除数Y的尾数MY的绝对值,
[0103.01-0105.93] 则需要进行尾数调整,
[0105.93-0110.23] 也就是将尾数MX至右移移位,
[0110.23-0114.49] 相应的将接码EX加1即可,
[0114.49-0119.19] 这是因为操作数在运算前是规格化数,
[0119.19-0122.88] 因此最多只做一字调整,
[0122.88-0124.88] 尾数调整的目的在于,
[0124.98-0128.42] 防止伤的尾数出现混乱,
[0128.42-0130.92] 在进行接码相见时,
[0130.92-0133.62] 才用定点整数减法运算,
[0133.62-0135.52] 可能会发生一出,
[0135.52-0138.22] 因此因做一出判断,
[0138.22-0141.87] 以便通知计算机做一出处理,
[0141.87-0144.27] 在进行尾数相除时,
[0144.27-0146.57] 才用定点小数除法,
[0146.57-0151.26] 运算结果可能需要进行规格化和舍入处理,
[0151.26-0154.16] 而规格化和舍入处理,
[0154.26-0157.54] 与辅典加减法是相同的,
[0157.54-0160.14] 对于HP1754辅典说,
[0160.14-0163.97] 接码运算才用以码的运算规则,
[0163.97-0165.47] 尾数相除时,
[0165.47-0168.49] 隐藏位也要参与运算,
[0168.49-0174.44] 才用HP1754的规格化和一出检测与处理方法,
[0174.44-0176.44] 需要特别注意的是,
[0176.44-0179.34] HP1754辅典处法运算中,
[0179.34-0182.86] 不存在向右规格化操作,
[0182.86-0185.72] 不知同学们是否已经发现了,
[0185.72-0188.42] 辅典处法运算所涉及到的,
[0188.42-0190.72] 定点整数减法运算,
[0190.72-0193.42] 定点小数除法运算,
[0193.42-0195.82] 辅典加减法的一出判断,
[0195.82-0198.02] 规格化和舍入处理,
[0198.02-0200.02] 我们在之前的几节课中,
[0200.02-0202.22] 都已经学习过了,
[0202.22-0205.18] 因此就不再追数了,
[0205.18-0208.58] 好的,本节课到这里就结束了,
[0208.58-0211.08] 同学们,我们下节课见!
