[0003.92-0007.92] 同學們好,歡迎大家來到我的計算機組成員裡威克堂
[0007.92-0013.12] 在上幾課中,我們給同學們介紹了RAW衝突的其中一種解決方案
[0013.12-0014.72] 那就是插入氣泡
[0014.72-0018.72] 首先,我們通過對CPU時生週期進行了功能劃分
[0018.72-0022.72] 解決了一碼功能段與寫入功能段的RAW衝突
[0022.72-0028.72] 這樣就不用插入氣泡,來解決一碼功能段與寫入功能段的RAW衝突
[0028.92-0031.52] 在此基礎上,我們給同學們介紹了
[0031.52-0034.32] 如何檢測出於一碼功能段的指令
[0034.32-0037.72] 與出於執行功能段的指令之間的RAW相關
[0037.72-0039.92] 以及出於一碼功能段的指令
[0039.92-0043.32] 與出於仿存功能段的指令之間的RAW相關
[0043.32-0047.92] 竟然給出了當檢測到上述RAW相關時的處理邏輯
[0047.92-0051.52] 也就是實現插入氣泡的組合邏輯設計
[0051.52-0055.12] 通過上幾課的學習,同學們應該可以感受到
[0055.12-0056.92] 上述插入氣泡的解決方案
[0057.12-0059.72] 實際上是通過暫緩一碼功能段
[0059.72-0063.32] 取操作數的縱作來解決RAW衝突的
[0063.32-0066.12] 相鄰的指令如果存在RAW相關
[0066.12-0069.72] 就需要插入兩個氣泡來消除相關性
[0069.72-0073.52] 然而,如果某個程序中存在大量的RAW相關
[0073.52-0077.32] 就需要頻繁插入氣泡來解決RAW衝突
[0077.32-0080.32] 這會顯著降低指令流水線的吞吐量
[0080.32-0082.52] 影響指令流水線的性能
[0082.52-0086.42] 因此,本節課我們給同學們介紹RAW衝突的
[0086.42-0089.72] 另一種解決方案,那就是數據旁路
[0089.72-0093.32] 數據旁路也稱為數據轉發或重定向
[0093.32-0095.12] 與插入氣泡的方案不同
[0095.12-0097.72] 數據旁路這種方案的核心思想是
[0097.72-0101.32] 與其讓指令流水線空轉,也就是插入氣泡
[0101.32-0104.42] 等待上一條指令將結果寫回計存氣號
[0104.42-0107.82] 再從計存氣讀出,不如超進道
[0107.82-0110.02] 既然上一條指令在執行功能段
[0110.02-0112.52] 末尾就已經計算出的結果
[0112.52-0115.42] 那麼就可以在內部將這個結果
[0115.42-0119.22] 直接立刻傳送給下一條指令所需的輸入端口
[0119.22-0123.32] 如同所示,我們還是基於之前給同學們介紹過的
[0123.32-0126.32] 由單週期密不自處理器的專用數據通路
[0126.32-0129.32] 改造成的流水線架構進行分析
[0129.32-0132.12] 進而得出如何通過數據旁路技術
[0132.12-0136.02] 解決由RAW相關引起的RAW衝突
[0136.02-0138.82] 如同所示,假設在某個時鐘週期
[0138.92-0141.62] 這條加法指令及其後面的簡法指令
[0141.62-0145.52] 分別進入到執行功能段和一碼功能段進行處理
[0145.52-0148.42] 我們給出指令中相關計存器的名稱
[0148.42-0151.42] 其中RS計存器和RT計存器
[0151.42-0154.72] 是兩個用於存放原操作數的計存器
[0154.72-0158.12] 由指令在一碼功能段處理時進行讀取
[0158.12-0160.82] 而RT計存器是目的計存器
[0160.82-0165.12] 用於存放指令在執行功能段處理時得到的運算結果
[0165.12-0167.82] 或是在仿存功能段處理時得到的
[0167.82-0170.52] 從數據存儲器中讀取到的數據
[0170.52-0172.12] 這些計存器的編號
[0172.12-0174.42] 在指令處於一碼功能段處理時
[0174.42-0177.72] 就被送入到了相應器件的輸入端口
[0177.72-0180.22] 通過之前的學習,我們不能發現
[0180.22-0183.12] 這對相鄰指令存在RAW相關
[0183.12-0186.52] 具體來說就是,前一條指令需要將運算結果
[0186.52-0188.22] 寫回到計存器R3
[0188.22-0191.82] 而後一條指令需要從R3中讀取該結果
[0191.82-0195.12] 作為參與運算的其中一個原操作數
[0195.12-0197.52] 我們再來回憶一下上節課學習過的
[0197.52-0199.12] 採用插入氣泡方案
[0199.12-0203.32] 來解決由RAW相關引起的RAW衝突
[0203.32-0206.72] 那就是,將後一條指令阻塞在一碼功能段
[0206.72-0210.32] 而將前一條指令仍然向前足夠功能段處理
[0210.32-0213.42] 相應的,前一條指令後面要插入氣泡
[0213.42-0215.22] 也就是空操作指令
[0215.22-0218.52] 這樣,當前一條指令進入寫回功能段時
[0218.52-0221.62] 其後面插入了兩個空操作指令
[0221.62-0224.42] 這就使得被阻塞在一碼功能段的指令
[0224.42-0226.92] 與位於執行功能段的空操作指令
[0226.92-0229.52] 以及位於仿存功能段的空操作指令
[0229.52-0232.48] 都不會產生RAW衝突
[0232.48-0236.08] 好的,接下來我們回到本力的初始狀態
[0236.08-0239.58] 但不採用插入氣泡的方案,繼續往下分析
[0239.58-0242.88] 這是前一條指令在執行功能段進行處理時
[0242.88-0244.48] 得到的運算結果
[0244.48-0247.28] 該運算結果實際上就是後一條指令
[0247.28-0249.68] 所需的其中一個原操作數
[0249.68-0252.18] 當該指令進入到寫回功能段時
[0252.18-0255.28] 才能將其寫入到基存器R3中
[0255.38-0259.08] 然而,後一條指令當前在一碼功能段進行處理時
[0259.08-0262.48] 就已經讀取了其所需的兩個原操作數
[0262.48-0265.78] 很顯然,從基存器R3讀出的原操作數
[0265.78-0270.18] 實際上並不是該指令真正所需要的那個原操作數
[0270.18-0271.98] 當下一個時鐘到來時
[0271.98-0275.48] 這兩條指令各自進入下一個功能段進行處理
[0275.48-0278.18] 與此同時,他們各自所需的數據
[0278.18-0281.08] 也被所存到相應的流水基存器中
[0281.08-0283.88] 即便他們各自當前所在功能段使用
[0283.88-0288.34] 如讀所示,需要說明的是
[0288.34-0290.84] 實際上指令在一碼功能段處理時
[0290.84-0292.34] 產生的控制信號
[0292.34-0295.14] 也會隨著指令向後逐擊傳遞
[0295.14-0298.74] 這是通過逐擊流水基存器的所存來實現的
[0298.74-0300.04] 為了簡單起見
[0300.04-0302.44] 以及將重點放在數據旁路上
[0302.44-0306.84] 我們對控制信號的逐擊所存和使用就不再敘述了
[0306.84-0310.14] 可以看到,位於執行功能段進行處理的指令
[0310.14-0315.34] 所需的所存在該流水基存器中的其中一個原操作數是錯誤的
[0315.34-0317.84] 而真正所需的正確的原操作數
[0317.84-0321.14] 實際上所存在後面這個流水基存器中
[0321.14-0326.34] 因此,可以想辦法將其重定向到執行功能段的合適位置
[0326.34-0330.14] 共該指令在執行功能段中進行處理時使用
[0330.14-0332.89] 這就是所謂的數據旁路
[0332.89-0334.39] 再來看這個例子
[0334.39-0338.19] 可以發現,當前位於一碼功能段進行處理的指令
[0338.19-0342.69] 與位於仿存功能段進行處理的指令存在ROW相關
[0342.69-0346.49] 我們知道,所存在該流水基存器中的其中一個數據
[0346.49-0348.29] 是最前面這條指令
[0348.29-0352.39] 之前在執行功能段進行處理時得到的運算結果
